#                p[0],                 p[1],                 p[2],               energy,             variance,                error,         elapsed time,        accept. ratio,             MC steps
  4.3000000000000e+00,  1.0000000000000e+00,  1.0000000000000e+00,  3.3473076981681e-01,  1.6469353225962e+00,  4.5372559474259e-04,  5.5713824420000e+00,  9.1016650000000e-01,              8000000
  4.3500000000000e+00,  1.0000000000000e+00,  1.0000000000000e+00,  3.3526512835979e-01,  1.7479785015716e+00,  4.6743696120059e-04,  5.8380490670000e+00,  9.0826850000000e-01,              8000000
  4.3000000000000e+00,  1.0500000000000e+00,  1.0000000000000e+00,  3.1674600939753e-01,  4.2666509471802e-01,  2.3093968225438e-04,  6.1045513830000e+00,  9.0590450000000e-01,              8000000
  4.3000000000000e+00,  1.0500000000000e+00,  1.0500000000000e+00,  3.0704530360406e-01,  2.7764599095520e-01,  1.8629479023687e-04,  5.8694854530000e+00,  9.1155875000000e-01,              8000000
  4.2500000000000e+00,  1.0666666666667e+00,  1.0333333333333e+00,  3.0643668433006e-01,  1.9460761355050e-01,  1.5596779056527e-04,  5.8331269140000e+00,  9.0625112500000e-01,              8000000
  4.2000000000000e+00,  1.1000000000000e+00,  1.0500000000000e+00,  3.0127668137733e-01,  3.6011604017407e-02,  6.7092849858803e-05,  6.0757174030000e+00,  8.9250587500000e-01,              8000000
  4.2333333333333e+00,  1.1333333333333e+00,  1.0666666666667e+00,  3.0084590138176e-01,  2.1160834740409e-02,  5.1430577894392e-05,  5.8931535390000e+00,  9.1215225000000e-01,              8000000
  4.2000000000000e+00,  1.2000000000000e+00,  1.1000000000000e+00,  3.0616154392425e-01,  9.4549072071909e-02,  1.0871354105625e-04,  5.3085244900000e+00,  9.0644312500000e-01,              8000000
  4.1888888888889e+00,  1.1388888888889e+00,  1.1111111111111e+00,  3.0096465740715e-01,  8.6367168721604e-02,  1.0390330163282e-04,  5.7768071020000e+00,  9.0266862500000e-01,              8000000
  4.1148148148148e+00,  1.1981481481481e+00,  1.1018518518519e+00,  3.0599896065625e-01,  9.3172051890385e-02,  1.0791898112148e-04,  5.5676015170000e+00,  8.9861150000000e-01,              8000000
