#                p[0],                 p[1],                 p[2],               energy,             variance,                error,          energies[0],       energiesVar[0],          energies[1],       energiesVar[1],          energies[2],       energiesVar[2],          energies[3],       energiesVar[3],             gradE[0],          gradVarE[0],             gradE[1],          gradVarE[1],             gradE[2],          gradVarE[2],         elapsed time,        accept. ratio,             MC steps
  4.0000000000000e+00,  0.0000000000000e+00,  1.0000000000000e+00,  1.4666399189763e-01,  9.1159417132081e-01,  3.3756372941283e-04,  1.4666399189763e-01,  9.1159417132081e-01,  9.4820352895937e-02,  8.8450231156591e-02,  7.6891898082454e-02,  1.8571055272405e-03, -2.5048259080757e-02,  1.5024537781700e+00, -6.3168204489619e-04, -3.4703605104059e-01,                 -nan,                 -nan, -3.0687838728772e-01, -1.9934689831084e+01,  4.2659947300000e+00,  9.0626612500000e-01,              8000000
  4.0008052000704e+00,  0.0000000000000e+00,  1.3168457322033e+00,  1.4617490151421e-01,  5.5434960816300e-02,  8.3242838142614e-05,  1.4617490151421e-01,  5.5434960816300e-02,  9.9526359541605e-02,  6.7828599422825e-02,  7.8811774972461e-02,  1.8548765492427e-03, -3.2163232999860e-02,  9.7569226428407e-03,  1.7193486787852e-03, -2.2827490949976e-02,                 -nan,                 -nan,  7.7278409385893e-02, -1.0454090597217e+00,  3.4637030160000e+00,  8.9909700000000e-01,              8000000
  3.9996678622051e+00,  0.0000000000000e+00,  1.2550618255354e+00,  1.4134179494582e-01,  3.8051429708335e-02,  6.8966866780664e-05,  1.4134179494582e-01,  3.8051429708335e-02,  9.8640330031610e-02,  6.0139078924023e-02,  7.8402557996341e-02,  1.8541301520330e-03, -3.5701093082131e-02,  1.3310697728928e-02,  3.0359851370210e-03, -1.4933523506856e-02,                 -nan,                 -nan,  7.4083545540975e-02, -6.4424199216562e-01,  3.1115416180000e+00,  8.9959425000000e-01,              8000000
  3.9979557544469e+00,  0.0000000000000e+00,  1.1620545414534e+00,  1.3514928834345e-01,  9.2485606039589e-03,  3.4001030506367e-05,  1.3514928834345e-01,  9.2485606039589e-03,  9.7162998267505e-02,  7.4496756651242e-02,  7.7811770860157e-02,  1.8524149947837e-03, -3.9825480784211e-02,  4.3333724605655e-02,  4.6659961814675e-03, -3.3318602271223e-03,                 -nan,                 -nan,  4.8454603336765e-02, -1.5428624545933e-01,  3.2824847340000e+00,  9.0369112500000e-01,              8000000
  3.9406026721876e+00,  0.0000000000000e+00,  8.9173289513431e-01,  2.3031212477057e-01,  1.7386817547009e+01,  1.4742293557571e-03,  2.3031212477057e-01,  1.7386817547009e+01,  9.4798808706225e-02,  8.7053945607846e-02,  7.5326487458091e-02,  1.8125611052820e-03,  6.0186828606255e-02,  1.9532022657904e+01, -3.3395324458297e-02, -6.5504129243352e+00,                 -nan,                 -nan, -1.5013110508713e+00, -3.8520896820918e+02,  3.2158114640000e+00,  8.9562862500000e-01,              8000000
  3.9757191965508e+00,  0.0000000000000e+00,  1.0572472198213e+00,  1.3578472026861e-01,  1.5025423705777e-01,  1.3704663305686e-04,  1.3578472026861e-01,  1.5025423705777e-01,  9.6401520926038e-02,  1.1140537531955e-01,  7.6692298667335e-02,  1.8325882561226e-03, -3.7309099324766e-02,  5.0026999158968e-01,  3.4594328158493e-03, -5.1914308498417e-02,                 -nan,                 -nan, -9.8824539565781e-02, -4.1364158769024e+00,  3.2614308980000e+00,  8.9664800000000e-01,              8000000
  3.9864563241794e+00,  0.0000000000000e+00,  1.1078544043519e+00,  1.3357105883652e-01,  6.3989755519869e-03,  2.8282007425187e-05,  1.3357105883652e-01,  6.3989755519869e-03,  9.6961649998687e-02,  7.3570580438277e-02,  7.7263151109351e-02,  1.8485623621978e-03, -4.0653742271516e-02,  1.1747044097471e-01,  4.7885638964087e-03, -2.2374524141575e-03,                 -nan,                 -nan,  7.0666292437842e-05, -9.9353808428968e-02,  3.4908119970000e+00,  9.0175262500000e-01,              8000000
  3.9800703874860e+00,  0.0000000000000e+00,  1.1066761396292e+00,  1.3357532059361e-01,  7.1477925225466e-03,  2.9891036538038e-05,  1.3357532059361e-01,  7.1477925225466e-03,  9.7001084921057e-02,  7.5178249926496e-02,  7.7171037112232e-02,  1.8464890908132e-03, -4.0596801439677e-02,  1.2284563110262e-01,  4.6907345446078e-03, -2.5200566897055e-03,                 -nan,                 -nan, -1.7407844816762e-03, -1.1578060901286e-01,  3.3652142830000e+00,  9.0497637500000e-01,              8000000
  3.9853009597260e+00,  0.0000000000000e+00,  1.1076412288629e+00,  1.3357780851533e-01,  6.4829879958612e-03,  2.8467059902327e-05,  1.3357780851533e-01,  6.4829879958612e-03,  9.6948348401682e-02,  7.3850554781424e-02,  7.7293133668165e-02,  1.8448544347210e-03, -4.0663673554521e-02,  1.1818964458594e-01,  4.7653064269787e-03, -2.2269895674321e-03,                 -nan,                 -nan,  6.4263785485014e-05, -1.0319101705442e-01,  3.4379369050000e+00,  9.0309325000000e-01,              8000000
  3.9863621058395e+00,  0.0000000000000e+00,  1.1078370201918e+00,  1.3360242946265e-01,  6.1915589408735e-03,  2.7819864622409e-05,  1.3360242946265e-01,  6.1915589408735e-03,  9.6957395082196e-02,  7.0331461777335e-02,  7.7218038549607e-02,  1.8378197735345e-03, -4.0573004169153e-02,  1.1241460812060e-01,  4.7251793363629e-03, -2.2755384939320e-03,                 -nan,                 -nan,  3.2779261790837e-04, -9.5203188867857e-02,  3.3544445300000e+00,  9.0310462500000e-01,              8000000
  3.9864553819960e+00,  0.0000000000000e+00,  1.1078542305103e+00,  1.3357307466723e-01,  6.7734928284204e-03,  2.9097879708882e-05,  1.3357307466723e-01,  6.7734928284204e-03,  9.6945913629486e-02,  8.1863110514512e-02,  7.7271171302218e-02,  1.8460207749132e-03, -4.0644010264469e-02,  1.2971536065571e-01,  4.7629040973117e-03, -2.6272306205473e-03,                 -nan,                 -nan, -6.3557348944586e-05, -1.1626382024308e-01,  3.5995353010000e+00,  9.0183262500000e-01,              8000000
