#                p[0],                 p[1],                 p[2],               energy,             variance,                error,         elapsed time,        accept. ratio,             MC steps
  4.7000000000000e+00,  1.1200000000000e+00,  1.0000000000000e+00,  3.4277621717480e-01,  1.6125720946994e-01,  1.1592282255519e-04,  2.7076490790000e+00,  8.9968300000000e-01,             12000000
  5.2000000000000e+00,  1.1200000000000e+00,  1.0000000000000e+00,  3.4435445509368e-01,  1.3981312844015e-01,  1.0794023363269e-04,  2.3735308050000e+00,  9.0417308333333e-01,             12000000
  4.7000000000000e+00,  1.1700000000000e+00,  1.0000000000000e+00,  3.4554035674249e-01,  1.8993698848863e-01,  1.2580970699454e-04,  2.3480535390000e+00,  9.0150866666667e-01,             12000000
  4.7000000000000e+00,  1.1200000000000e+00,  1.0500000000000e+00,  3.4377963802028e-01,  3.2496130542897e-01,  1.6456034998063e-04,  2.3888329940000e+00,  9.0997441666667e-01,             12000000
  5.0333333333333e+00,  1.1533333333333e+00,  9.5000000000000e-01,  3.4515567324544e-01,  1.1349773596675e-01,  9.7252993084511e-05,  2.3853979290000e+00,  9.0152925000000e-01,             12000000
  5.2000000000000e+00,  1.1700000000000e+00,  9.0000000000000e-01,  3.5060417492766e-01,  7.9100039602803e-02,  8.1189100049823e-05,  2.4464958740000e+00,  9.0095466666667e-01,             12000000
  5.2555555555556e+00,  1.0922222222222e+00,  9.6666666666667e-01,  3.4493842302735e-01,  1.3209941124710e-01,  1.0492037109442e-04,  2.4836565710000e+00,  9.0547858333333e-01,             12000000
  5.1166666666667e+00,  1.1116666666667e+00,  9.7500000000000e-01,  3.4356996722689e-01,  1.4148718872883e-01,  1.0858452495976e-04,  2.5233951660000e+00,  9.0400916666667e-01,             12000000
  4.7000000000000e+00,  1.1366666666667e+00,  9.5000000000000e-01,  3.4331310682173e-01,  1.3545144285858e-01,  1.0624321266893e-04,  2.6601039440000e+00,  9.0409391666667e-01,             12000000
  4.4500000000000e+00,  1.1450000000000e+00,  9.2500000000000e-01,  3.4621855929830e-01,  1.1048419511342e-01,  9.5953198276302e-05,  2.6623820370000e+00,  9.0850316666667e-01,             12000000
  5.2000000000000e+00,  1.1477777777778e+00,  9.1666666666667e-01,  3.4749954558558e-01,  8.6036615190021e-02,  8.4674186931448e-05,  2.6920962640000e+00,  9.0648691666667e-01,             12000000
  4.8250000000000e+00,  1.1269444444444e+00,  9.7916666666667e-01,  3.4253165003927e-01,  1.4162855989979e-01,  1.0863875915919e-04,  2.6715892570000e+00,  9.0278908333333e-01,             12000000
  4.7277777777778e+00,  1.0968518518519e+00,  9.8611111111111e-01,  3.4261282675885e-01,  1.5915527702181e-01,  1.1516483730643e-04,  2.7174615080000e+00,  9.0500966666667e-01,             12000000
  4.3851851851852e+00,  1.1286419753086e+00,  9.6851851851852e-01,  3.4395731825815e-01,  1.4260979698700e-01,  1.0901444743206e-04,  3.8029631230000e+00,  9.0312633333333e-01,             12000000
