#                p[0],                 p[1],                 p[2],               energy,             variance,                error,         elapsed time,        accept. ratio,             MC steps
  1.6000000000000e+01,  1.1000000000000e+00,  1.1000000000000e+00,  7.0664114225790e-02,  1.0417279705814e-02,  3.6085453623680e-05,  6.5401858120000e+00,  9.0882987500000e-01,              8000000
  1.6500000000000e+01,  1.1000000000000e+00,  1.1000000000000e+00,  7.0768899295969e-02,  1.1009535389776e-02,  3.7097060850180e-05,  5.6242838820000e+00,  9.0546812500000e-01,              8000000
  1.6500000000000e+01,  1.1000000000000e+00,  1.1000000000000e+00,  7.0858455830316e-02,  1.6618802240045e-02,  4.1606793115284e-05,  7.3786801210000e+00,  9.0264125000000e-01,              9600000
  1.6000000000000e+01,  1.1500000000000e+00,  1.1000000000000e+00,  7.1007715699934e-02,  9.5267562243323e-03,  3.1501911688572e-05,  7.2781856800000e+00,  9.0280354166667e-01,              9600000
  1.6000000000000e+01,  1.1000000000000e+00,  1.1500000000000e+00,  7.1343653124260e-02,  1.9265207925955e-02,  4.4797237551963e-05,  7.1335519290000e+00,  9.0721291666667e-01,              9600000
  1.6333333333333e+01,  1.1333333333333e+00,  1.0500000000000e+00,  7.1101905471393e-02,  2.0870096003925e-03,  1.4744383112705e-05,  6.4166800400000e+00,  8.9488114583333e-01,              9600000
  1.5722222222222e+01,  1.1555555555556e+00,  1.0666666666667e+00,  7.1003208593155e-02,  5.3139026922911e-03,  2.3527250805119e-05,  6.3314884190000e+00,  9.0122604166667e-01,              9600000
  1.6037037037037e+01,  1.1092592592593e+00,  1.0444444444444e+00,  7.0789782537830e-02,  3.0126919675671e-03,  1.7715024130802e-05,  6.4001937170000e+00,  8.9931812500000e-01,              9600000
  1.6055555555556e+01,  1.0888888888889e+00,  1.0166666666667e+00,  7.1442283650929e-02,  1.5020597140844e-02,  3.9555600558007e-05,  6.5985428480000e+00,  9.0293562500000e-01,              9600000
  1.6524691358025e+01,  1.0728395061728e+00,  1.0629629629630e+00,  7.1070714536518e-02,  1.8146613623910e-02,  4.3477261326936e-05,  6.3746514110000e+00,  9.1079791666667e-01,              9600000
  1.5922839506173e+01,  1.1348765432099e+00,  1.0657407407407e+00,  7.0814646448356e-02,  2.6794902200339e-03,  1.6706692209617e-05,  6.8457424070000e+00,  9.0735312500000e-01,              9600000
  1.5639917695473e+01,  1.0960905349794e+00,  1.0901234567901e+00,  7.0496092468686e-02,  9.3888131735583e-03,  3.1273013482005e-05,  6.7928067920000e+00,  8.9958697916667e-01,              9600000
  1.5733196159122e+01,  1.1268175582990e+00,  1.0335390946502e+00,  7.1067254485836e-02,  3.9965002615983e-03,  2.0403482805226e-05,  6.7715114010000e+00,  9.1022854166667e-01,              9600000
