#                p[0],                 p[1],                 p[2],               energy,             variance,                error,      -(ℏ/4)⟨∇ᵢ²ln(ψ)⟩,  Var -(ℏ/4)⟨∇ᵢ²ln(ψ)⟩,    (ℏ/2)⟨|∇ᵢln(ψ)|²⟩, Var (ℏ/2)⟨|∇ᵢln(ψ)|²⟩,         elapsed time,        accept. ratio,    Monte Carlo steps 
 1.60000000000000e+01, 0.00000000000000e+00, 1.00000000000000e+00, 3.52195937473754e-02, 2.10670229566587e-01, 1.62276858164753e-04, 2.15000028463018e-02, 2.52096085431013e-03, 2.14091538580549e-02, 1.97310593339659e-02, 3.41849262800000e+00, 9.05324250000000e-01,              8000000
 1.65000000000000e+01, 0.00000000000000e+00, 1.00000000000000e+00, 3.55413914786556e-02, 2.96252362329899e-01, 1.92435821226812e-04, 2.07985341765049e-02, 2.48171670589554e-03, 2.07716891421223e-02, 2.51748762183611e-02, 3.05865937600000e+00, 9.06914500000000e-01,              8000000
 1.60000000000000e+01, 0.00000000000000e+00, 1.05000000000000e+00, 3.43327926367304e-02, 1.11851086132496e-01, 1.18242910005471e-04, 2.16339344082053e-02, 2.47681630189184e-03, 2.15913717701879e-02, 2.16909134155844e-02, 3.04764151900000e+00, 9.00291750000000e-01,              8000000
 1.55000000000000e+01, 0.00000000000000e+00, 1.05000000000000e+00, 3.41860844183329e-02, 1.29495274350787e-01, 1.27227785070119e-04, 2.23910436336235e-02, 2.61727253129688e-03, 2.23395717181242e-02, 2.44087266151749e-02, 2.95575603300000e+00, 9.06163625000000e-01,              8000000
 1.55000000000000e+01, 0.00000000000000e+00, 1.10000000000000e+00, 3.41091612518405e-02, 1.06028490456060e-01, 1.15124112622020e-04, 2.24938108267264e-02, 2.56187126772539e-03, 2.25114073817639e-02, 3.24386276309403e-02, 3.31241866900000e+00, 9.08601375000000e-01,              8000000
 1.52500000000000e+01, 0.00000000000000e+00, 1.15000000000000e+00, 3.43388473657338e-02, 5.37966286263835e-02, 8.20035278405627e-05, 2.30438477841414e-02, 2.56426209326570e-03, 2.31043567626540e-02, 2.80571280685025e-02, 3.51467384500000e+00, 9.01634625000000e-01,              8000000
 1.57500000000000e+01, 0.00000000000000e+00, 1.15000000000000e+00, 3.42979862837470e-02, 4.46331777014827e-02, 7.46936892427020e-05, 2.22293669343137e-02, 2.34799093398253e-03, 2.22053301729080e-02, 2.38417075550036e-02, 3.90103697500000e+00, 9.09584750000000e-01,              8000000
 1.58750000000000e+01, 0.00000000000000e+00, 1.20000000000000e+00, 3.47476983580792e-02, 3.47687490749548e-02, 6.59249090584837e-05, 2.22230957916592e-02, 2.27132313066457e-03, 2.22031456229166e-02, 2.47637949925307e-02, 3.46047028600000e+00, 9.02244375000000e-01,              8000000
 1.51250000000000e+01, 0.00000000000000e+00, 1.30000000000000e+00, 3.60049316579505e-02, 3.89784845416583e-02, 6.98019381371842e-05, 2.36608054087811e-02, 2.33885027640806e-03, 2.37611634617754e-02, 3.57203484565541e-02, 3.57563108300000e+00, 8.99777125000000e-01,              8000000
 1.53437500000000e+01, 0.00000000000000e+00, 1.23750000000000e+00, 3.50677750681882e-02, 2.76163532055802e-02, 5.87540990118777e-05, 2.31286663230584e-02, 2.26304612945774e-03, 2.30949346844094e-02, 2.36278872645965e-02, 3.30788329500000e+00, 9.07074500000000e-01,              8000000
 1.59687500000000e+01, 0.00000000000000e+00, 1.28750000000000e+00, 3.57799052999697e-02, 2.75516402546949e-02, 5.86852198755092e-05, 2.22508634645502e-02, 2.10276876177103e-03, 2.22504798167493e-02, 2.62470652837676e-02, 3.32574559000000e+00, 9.10816000000000e-01,              8000000
 1.54296875000000e+01, 0.00000000000000e+00, 1.18437500000000e+00, 3.45625479720633e-02, 4.76306415794682e-02, 7.71610665908237e-05, 2.28349181186417e-02, 2.40603351715298e-03, 2.28409517042027e-02, 2.95228410249617e-02, 3.35897543700000e+00, 8.94162000000000e-01,              8000000
 1.54296875000000e+01, 0.00000000000000e+00, 1.18437500000000e+00, 3.45920530509932e-02, 3.73076637947038e-02, 6.23395137823113e-05, 2.28752796003254e-02, 2.40889273033277e-03, 2.29039932516882e-02, 2.49089441586527e-02, 4.10313315000000e+00, 9.08826979166667e-01,              9600000
 1.48984375000000e+01, 0.00000000000000e+00, 1.22187500000000e+00, 3.50123721381423e-02, 3.87703232859352e-02, 6.35497863276103e-05, 2.38448052589406e-02, 2.52519092132366e-03, 2.39286165704961e-02, 3.00157970515229e-02, 3.91075147100000e+00, 9.00634062500000e-01,              9600000
 1.56308593750000e+01, 0.00000000000000e+00, 1.20546875000000e+00, 3.48274260246971e-02, 4.01395819850171e-02, 6.46622490853250e-05, 2.25734318381186e-02, 2.29976480719246e-03, 2.25837823059941e-02, 2.80849652120756e-02, 3.92220283000000e+00, 9.02290520833333e-01,              9600000
 1.53867187500000e+01, 0.00000000000000e+00, 1.21093750000000e+00, 3.48575133241905e-02, 4.33394140006756e-02, 6.71901949077173e-05, 2.29989042515739e-02, 2.38643934816499e-03, 2.30272121604998e-02, 3.05482890707379e-02, 3.88918221000000e+00, 8.94407916666667e-01,              9600000
 1.56093750000000e+01, 0.00000000000000e+00, 1.21875000000000e+00, 3.49452671641705e-02, 3.42311514800345e-02, 5.97138589092760e-05, 2.26340596522803e-02, 2.27389612559877e-03, 2.26336290166801e-02, 2.62439764487565e-02, 4.12738212300000e+00, 8.95895520833333e-01,              9600000
 1.55664062500000e+01, 0.00000000000000e+00, 1.24531250000000e+00, 3.51848134283119e-02, 2.85853453094615e-02, 5.45677572967979e-05, 2.27773963237772e-02, 2.21051608184034e-03, 2.27420611329850e-02, 2.45837972084311e-02, 4.09004532800000e+00, 9.10836666666667e-01,              9600000
 1.53007812500000e+01, 0.00000000000000e+00, 1.26406250000000e+00, 3.54239948258160e-02, 2.51264657953619e-02, 5.11599470974791e-05, 2.32586003455264e-02, 2.26312710239934e-03, 2.32547919406445e-02, 2.38145184546928e-02, 4.75435285900000e+00, 8.97718645833333e-01,              9600000
 1.55322265625000e+01, 0.00000000000000e+00, 1.23007812500000e+00, 3.52736596861391e-02, 3.98306621050092e-02, 6.44129435952521e-05, 2.28312275873945e-02, 2.42177862534919e-03, 2.29740242883654e-02, 3.11667582906276e-02, 4.20220595400000e+00, 8.94362187500000e-01,              9600000
 1.54550781250000e+01, 0.00000000000000e+00, 1.24140625000000e+00, 3.51445352638542e-02, 2.61964528883815e-02, 5.22378902318334e-05, 2.29417937147699e-02, 2.22909437712511e-03, 2.29155927552483e-02, 2.29809790648265e-02, 5.17920045300000e+00, 8.98197083333333e-01,              9600000
 1.54765625000000e+01, 0.00000000000000e+00, 1.22812500000000e+00, 3.49962994133377e-02, 2.67088802862470e-02, 5.27463271689830e-05, 2.28821497659401e-02, 2.28442754375356e-03, 2.28632243777908e-02, 2.27176173729393e-02, 4.44263581700000e+00, 9.09086145833333e-01,              9600000
 1.53652343750000e+01, 0.00000000000000e+00, 1.22421875000000e+00, 3.49439735881655e-02, 3.21497413551016e-02, 5.78699524032672e-05, 2.30381194663088e-02, 2.28722925051111e-03, 2.30171625649587e-02, 2.54498167164666e-02, 4.12369771800000e+00, 8.99572916666667e-01,              9600000
 1.53652343750000e+01, 0.00000000000000e+00, 1.22421875000000e+00, 3.49892477368442e-02, 3.29044609338758e-02, 5.34442701477077e-05, 2.30267994663311e-02, 2.30769476107363e-03, 2.30317821656448e-02, 2.60810366579460e-02, 5.25597445800000e+00, 9.02702777777778e-01,             11520000
 1.54326171875000e+01, 0.00000000000000e+00, 1.23710937500000e+00, 3.50136033118388e-02, 2.43612533591244e-02, 4.59857818447011e-05, 2.29806495084421e-02, 2.22697418134207e-03, 2.29125388468396e-02, 2.15925273832009e-02, 4.74043095200000e+00, 9.04645486111111e-01,             11520000
 1.55654296875000e+01, 0.00000000000000e+00, 1.22773437500000e+00, 3.51082231071376e-02, 2.89157144519003e-02, 5.01003458798741e-05, 2.27284792034766e-02, 2.29739518956370e-03, 2.27680177415628e-02, 2.41410374180701e-02, 4.72476113000000e+00, 9.05354427083333e-01,             11520000
 1.53991699218750e+01, 0.00000000000000e+00, 1.23505859375000e+00, 3.52440903507932e-02, 2.99097740343522e-02, 5.09542397803468e-05, 2.30449023527781e-02, 2.39425170457066e-03, 2.31438342641264e-02, 2.56949495414372e-02, 5.96146469500000e+00, 9.05665538194444e-01,             11520000
 1.54545898437500e+01, 0.00000000000000e+00, 1.23261718750000e+00, 3.50331398835633e-02, 2.55314644936880e-02, 4.70773083291890e-05, 2.28909867881286e-02, 2.20937708131760e-03, 2.28494936253780e-02, 2.20095277168594e-02, 5.48264072100000e+00, 9.00905729166667e-01,             11520000
 1.53881835937500e+01, 0.00000000000000e+00, 1.23730468750000e+00, 3.51809719668320e-02, 3.24230794448303e-02, 5.30518936893906e-05, 2.30373641465910e-02, 2.34041818090249e-03, 2.30756589881244e-02, 2.71011446367761e-02, 4.90744304400000e+00, 9.06925260416667e-01,             11520000
 1.54990234375000e+01, 0.00000000000000e+00, 1.23242187500000e+00, 3.51163161391296e-02, 2.87013327735431e-02, 4.99142778831096e-05, 2.28688163628801e-02, 2.30225688648098e-03, 2.28951805457615e-02, 2.43603076004816e-02, 4.97583511400000e+00, 8.99042187500000e-01,             11520000
 1.54713134765625e+01, 0.00000000000000e+00, 1.23364257812500e+00, 3.50264176193586e-02, 2.31568433248098e-02, 4.48346144147920e-05, 2.28931745962662e-02, 2.20826005508902e-03, 2.28438525410138e-02, 2.06055697115457e-02, 4.60578264000000e+00, 9.04041579861111e-01,             11520000
 1.54493408203125e+01, 0.00000000000000e+00, 1.23813476562500e+00, 3.51242182434438e-02, 2.47612975026251e-02, 4.63618181911771e-05, 2.29347730638187e-02, 2.23731230526799e-03, 2.29167026703890e-02, 2.19940992241103e-02, 5.01253758300000e+00, 8.97226562500000e-01,             11520000
 1.54532775878906e+01, 0.00000000000000e+00, 1.23399658203125e+00, 3.51436395974156e-02, 3.46260771344981e-02, 5.48245917665570e-05, 2.28949889817300e-02, 2.25989249014050e-03, 2.29103828477292e-02, 2.76468218904497e-02, 4.92804194300000e+00, 9.01450868055556e-01,             11520000
 1.54519653320312e+01, 0.00000000000000e+00, 1.23537597656250e+00, 3.51429530656950e-02, 2.93219378562335e-02, 5.04510367145793e-05, 2.29482372750763e-02, 2.30324669068133e-03, 2.29724344114145e-02, 2.47766830825709e-02, 5.18786282400000e+00, 9.06672743055556e-01,             11520000
 1.54629516601562e+01, 0.00000000000000e+00, 1.23312988281250e+00, 3.51409152777812e-02, 3.78387874696743e-02, 5.73115779564101e-05, 2.29063614334119e-02, 2.32793191323358e-03, 2.29427075736056e-02, 2.98360091932422e-02, 4.98076100700000e+00, 9.12732899305556e-01,             11520000
 1.54603271484375e+01, 0.00000000000000e+00, 1.23588867187500e+00, 3.52115684723312e-02, 3.25543236235413e-02, 5.31591586453064e-05, 2.29398855558733e-02, 2.33460088724397e-03, 2.30018614939019e-02, 2.70193432984469e-02, 5.67763355800000e+00, 9.03888715277778e-01,             11520000
 1.54609832763672e+01, 0.00000000000000e+00, 1.23519897460937e+00, 3.50494045001384e-02, 2.82643746568637e-02, 4.95328652968856e-05, 2.29124882995710e-02, 2.23774878873528e-03, 2.28728025587616e-02, 2.38529772150805e-02, 5.02667692100000e+00, 9.03136111111111e-01,             11520000
 1.54803314208984e+01, 0.00000000000000e+00, 1.23346557617187e+00, 3.51089754700795e-02, 3.31076837675239e-02, 5.36090559756238e-05, 2.29036157309227e-02, 2.30376594371719e-03, 2.29197094396497e-02, 2.68311834264148e-02, 5.23355605400000e+00, 9.13375954861111e-01,             11520000
 1.54590568542480e+01, 0.00000000000000e+00, 1.23489837646484e+00, 3.50960931878541e-02, 3.09456685559725e-02, 5.18291033208108e-05, 2.29211740637623e-02, 2.27052516661444e-03, 2.29146890020594e-02, 2.56077783350495e-02, 4.88710942900000e+00, 9.00983072916667e-01,             11520000
 1.54616394042969e+01, 0.00000000000000e+00, 1.23450927734375e+00, 3.50617393877567e-02, 2.54996763699301e-02, 4.70479922396127e-05, 2.29266619076542e-02, 2.24976425418491e-03, 2.29012624171280e-02, 2.22272320035801e-02, 5.21460256800000e+00, 9.05393142361111e-01,             11520000
 1.54661483764648e+01, 0.00000000000000e+00, 1.23442077636719e+00, 3.50913548857032e-02, 2.79922977457058e-02, 4.92938835667521e-05, 2.29147153775413e-02, 2.26111101333516e-03, 2.29059006429425e-02, 2.37555332517613e-02, 4.97683121100000e+00, 8.96912673611111e-01,             11520000
 1.54668045043945e+01, 0.00000000000000e+00, 1.23373107910156e+00, 3.51278962352664e-02, 2.82667901506713e-02, 4.95349818088321e-05, 2.28973212499918e-02, 2.24262332448265e-03, 2.29051130275965e-02, 2.37139452499948e-02, 5.02326681800000e+00, 8.95308593750000e-01,             11520000
 1.54663124084473e+01, 0.00000000000000e+00, 1.23424835205078e+00, 3.50810210563629e-02, 2.84259425664414e-02, 4.96742361458157e-05, 2.29052688174495e-02, 2.26237408587601e-03, 2.28921582930518e-02, 2.40623683355739e-02, 4.82882554900000e+00, 9.08593836805556e-01,             11520000
 1.54664764404297e+01, 0.00000000000000e+00, 1.23407592773437e+00, 3.50904017889111e-02, 2.88389542231092e-02, 5.00338030033520e-05, 2.29229068564134e-02, 2.28439157931211e-03, 2.29222629968269e-02, 2.43579626044868e-02, 5.74186539600000e+00, 9.07030815972222e-01,             11520000
 1.54664764404297e+01, 0.00000000000000e+00, 1.23407592773437e+00, 3.51029810726927e-02, 2.67329891652383e-02, 4.39751063685387e-05, 2.28918696995440e-02, 2.23993186411747e-03, 2.28846169053936e-02, 2.29296908642067e-02, 5.67896107000000e+00, 9.03916377314815e-01,             13824000
 1.54664764404297e+01, 0.00000000000000e+00, 1.23407592773437e+00, 3.50608217586766e-02, 2.92299050525206e-02, 4.19764992694341e-05, 2.28867004468620e-02, 2.23297042394908e-03, 2.28561378572267e-02, 2.43387965747815e-02, 6.93242911900000e+00, 9.05787579571759e-01,             16588800
 1.54664764404297e+01, 0.00000000000000e+00, 1.23407592773437e+00, 3.51737866291311e-02, 3.63112605207183e-02, 4.27093098968531e-05, 2.29148290178326e-02, 2.31932327372610e-03, 2.29627309669810e-02, 2.88197338025542e-02, 8.13146327800000e+00, 9.11333148469650e-01,             19906560
 1.54687309265137e+01, 0.00000000000000e+00, 1.23403167724609e+00, 3.50846475128256e-02, 2.56359712926707e-02, 3.58861426935631e-05, 2.28948245599665e-02, 2.23224311388137e-03, 2.28764532213130e-02, 2.22310037488843e-02, 8.49472058900000e+00, 9.05041704845036e-01,             19906560
 1.54735679626465e+01, 0.00000000000000e+00, 1.23359832763672e+00, 3.50723609656575e-02, 3.12989308920351e-02, 3.96521411048667e-05, 2.28723092866781e-02, 2.24681501409329e-03, 2.28528482548231e-02, 2.55600206115502e-02, 8.58569486500000e+00, 9.03465541007587e-01,             19906560
 1.54717950820923e+01, 0.00000000000000e+00, 1.23371772766113e+00, 3.50876604143726e-02, 3.48614130978140e-02, 4.18479689662658e-05, 2.28960436622326e-02, 2.29439741786709e-03, 2.28951147408990e-02, 2.79111758687838e-02, 8.94149068600000e+00, 9.18773409368570e-01,             19906560
 1.54688949584961e+01, 0.00000000000000e+00, 1.23385925292969e+00, 3.51701991542186e-02, 3.94472461747245e-02, 4.45153955326608e-05, 2.28870487319683e-02, 2.30510325978713e-03, 2.29278078824948e-02, 3.05580473297512e-02, 8.32634555300000e+00, 8.99790420846193e-01,             19906560
 1.54700222015381e+01, 0.00000000000000e+00, 1.23383712768555e+00, 3.51406315383917e-02, 3.54416615356704e-02, 4.21947995702438e-05, 2.28974404531573e-02, 2.29052144699783e-03, 2.29224843946943e-02, 2.81771276049797e-02, 7.95834098200000e+00, 8.99359356915509e-01,             19906560
 1.54724407196045e+01, 0.00000000000000e+00, 1.23362045288086e+00, 3.50983984013827e-02, 2.67490139250750e-02, 3.66569038007229e-05, 2.28914199031127e-02, 2.25480048952193e-03, 2.28883827400965e-02, 2.29637984733888e-02, 8.41833571100000e+00, 9.04454511477623e-01,             19906560
 1.54737319946289e+01, 0.00000000000000e+00, 1.23342590332031e+00, 3.50546380369065e-02, 2.73423359849376e-02, 3.70612189473124e-05, 2.28710014170558e-02, 2.22917373369776e-03, 2.28401334632793e-02, 2.32074535618930e-02, 8.43677036400000e+00, 9.02802593717850e-01,             19906560
 1.54726047515869e+01, 0.00000000000000e+00, 1.23344802856445e+00, 3.51038215469190e-02, 3.05359767842961e-02, 3.91658719570111e-05, 2.28907421438091e-02, 2.27322970202722e-03, 2.28952132044002e-02, 2.52965535576620e-02, 8.57089228000000e+00, 9.03181865676440e-01,             19906560
 1.54724817276001e+01, 0.00000000000000e+00, 1.23357734680176e+00, 3.51594997581534e-02, 3.29302412644296e-02, 4.06723576358459e-05, 2.29091114477183e-02, 2.32948441035212e-03, 2.29555475148673e-02, 2.70509662667210e-02, 8.67101022900000e+00, 8.98424338509516e-01,             19906560
