#                 r,             density,       density error,           density A,     density error A,           density B,     density error B,  radial probability,   probability error, radial probability A,probability error A, radial probability B,probability error B
 2.557500000000e+00,  8.479037746398e-03,  1.369503026842e-05,  4.221082095109e-03,  9.662769315578e-06,  4.257955651290e-03,  9.704882441683e-06,  6.969545454545e-01,  1.125695377376e-03,  3.469618181818e-01,  7.942541592094e-04,  3.499927272727e-01,  7.977157471325e-04
 2.612500000000e+00,  8.022264733231e-03,  1.304060975902e-05,  4.012520848149e-03,  9.222699428080e-06,  4.009743885082e-03,  9.219507478507e-06,  6.880745454545e-01,  1.118501063075e-03,  3.441563636364e-01,  7.910365623504e-04,  3.439181818182e-01,  7.907627868862e-04
 2.667500000000e+00,  7.531698775293e-03,  1.237508166513e-05,  3.765727389157e-03,  8.750362421300e-06,  3.765971386137e-03,  8.750645902710e-06,  6.734836363636e-01,  1.106578376112e-03,  3.367309090909e-01,  7.824563991233e-04,  3.367527272727e-01,  7.824817479983e-04
 2.722500000000e+00,  7.108433586351e-03,  1.177946062567e-05,  3.531183347717e-03,  8.302303082711e-06,  3.577250238634e-03,  8.356282436264e-06,  6.621163636364e-01,  1.097200042784e-03,  3.289127272727e-01,  7.733195591060e-04,  3.332036363636e-01,  7.783474759954e-04
 2.777500000000e+00,  6.712886238676e-03,  1.122037065830e-05,  3.357859082882e-03,  7.935673539183e-06,  3.355027155794e-03,  7.932326467637e-06,  6.507909090909e-01,  1.087775803347e-03,  3.255327272727e-01,  7.693358733027e-04,  3.252581818182e-01,  7.690113863895e-04
 2.832500000000e+00,  6.298148058746e-03,  1.065720733573e-05,  3.145449346451e-03,  7.531445365336e-06,  3.152698712295e-03,  7.540119289892e-06,  6.350036363636e-01,  1.074500845098e-03,  3.171363636364e-01,  7.593494388277e-04,  3.178672727273e-01,  7.602239774354e-04
 2.887500000000e+00,  5.880284336166e-03,  1.010146418572e-05,  2.940159520914e-03,  7.142834904181e-06,  2.940124815252e-03,  7.142792747022e-06,  6.161200000000e-01,  1.058403600626e-03,  3.080618181818e-01,  7.484065717872e-04,  3.080581818182e-01,  7.484021546762e-04
 2.942500000000e+00,  5.515956154425e-03,  9.600665362655e-06,  2.759306538759e-03,  6.790330372801e-06,  2.756649615666e-03,  6.787060397101e-06,  6.001727272727e-01,  1.044616264710e-03,  3.002309090909e-01,  7.388331206472e-04,  2.999418181818e-01,  7.384773255358e-04
 2.997500000000e+00,  5.145708899749e-03,  9.102717111736e-06,  2.580301917357e-03,  6.445902050084e-06,  2.565406982393e-03,  6.427270460858e-06,  5.810127272727e-01,  1.027806779925e-03,  2.913472727273e-01,  7.278202484471e-04,  2.896654545455e-01,  7.257165168369e-04
 3.052500000000e+00,  4.802127875750e-03,  8.635133105150e-06,  2.409743866617e-03,  6.116987848499e-06,  2.392384009133e-03,  6.094914552722e-06,  5.622981818182e-01,  1.011118356365e-03,  2.821654545455e-01,  7.162597986580e-04,  2.801327272727e-01,  7.136751581812e-04
