#                 r,            density,      density error,          density A,    density error A,          density B,    density error B, radial probability,  probability error,     radial prob. A,      prob. error A,     radial prob. B,      prob. error B
 2.750000000000e-02, 5.452641175800e-03, 8.845352004545e-04, 3.874245045963e-03, 7.455988067312e-04, 1.578396129837e-03, 4.759043393835e-04, 6.909090909091e-05, 1.120802545994e-05, 4.909090909091e-05, 9.447549859467e-06, 2.000000000000e-05, 6.030226891555e-06
 8.250000000000e-02, 5.596131733058e-03, 3.386933001289e-04, 2.890309796195e-03, 2.434079947343e-04, 2.705821936863e-03, 2.355115701013e-04, 4.963636363636e-04, 3.004129389429e-05, 2.563636363636e-04, 2.158971288552e-05, 2.400000000000e-04, 2.088931871468e-05
 1.375000000000e-01, 5.143003657507e-03, 1.970803283723e-04, 2.461995877162e-03, 1.363573402152e-04, 2.681007780345e-03, 1.422931185995e-04, 1.238181818182e-03, 4.744723036618e-05, 5.927272727273e-04, 3.282812742776e-05, 6.454545454545e-04, 3.425717032985e-05
 1.925000000000e-01, 4.991144518674e-03, 1.391268241511e-04, 2.354020763664e-03, 9.554675538281e-05, 2.637123755010e-03, 1.011290795675e-04, 2.340000000000e-03, 6.522687678055e-05, 1.103636363636e-03, 4.479521816275e-05, 1.236363636364e-03, 4.741238112875e-05
 2.475000000000e-01, 4.951600377506e-03, 1.079243737559e-04, 2.361713434212e-03, 7.453501506978e-05, 2.589886943294e-03, 7.805255908138e-05, 3.827272727273e-03, 8.341868906876e-05, 1.825454545455e-03, 5.761083461002e-05, 2.001818181818e-03, 6.032967281104e-05
 3.025000000000e-01, 5.116778662658e-03, 8.982335666724e-05, 2.538679089948e-03, 6.326956782102e-05, 2.578099572711e-03, 6.375889891388e-05, 5.900000000000e-03, 1.035725481355e-04, 2.927272727273e-03, 7.295419144632e-05, 2.972727272727e-03, 7.351842406966e-05
 3.575000000000e-01, 5.115946797353e-03, 7.602786770745e-05, 2.557973398676e-03, 5.375982081509e-05, 2.557973398676e-03, 5.375982081509e-05, 8.232727272727e-03, 1.223462097546e-04, 4.116363636364e-03, 8.651183456997e-05, 4.116363636364e-03, 8.651183456997e-05
 4.125000000000e-01, 5.208112888876e-03, 6.649798772089e-05, 2.575188521676e-03, 4.675981914535e-05, 2.632924367200e-03, 4.728109225074e-05, 1.115272727273e-02, 1.423997399942e-04, 5.514545454545e-03, 1.001321440946e-04, 5.638181818182e-03, 1.012484057624e-04
 4.675000000000e-01, 5.073085508215e-03, 5.791857730636e-05, 2.578201302989e-03, 4.128955535066e-05, 2.494884205226e-03, 4.061692031823e-05, 1.394909090909e-02, 1.592544613852e-04, 7.089090909091e-03, 1.135308601145e-04, 6.860000000000e-03, 1.116813649304e-04
 5.225000000000e-01, 5.148716526848e-03, 5.221274263042e-05, 2.636308061207e-03, 3.736156799603e-05, 2.512408465641e-03, 3.647305484695e-05, 1.768000000000e-02, 1.792915350636e-04, 9.052727272727e-03, 1.282945989987e-04, 8.627272727273e-03, 1.252435643585e-04
 5.775000000000e-01, 5.023470022673e-03, 4.666589201017e-05, 2.521705654288e-03, 3.306319818533e-05, 2.501764368385e-03, 3.293220920106e-05, 2.106909090909e-02, 1.957228602298e-04, 1.057636363636e-02, 1.386713815685e-04, 1.049272727273e-02, 1.381219966204e-04
 6.325000000000e-01, 5.122287600653e-03, 4.302772529676e-05, 2.578854221751e-03, 3.053021088595e-05, 2.543433378901e-03, 3.031981806465e-05, 2.576727272727e-02, 2.164476536645e-04, 1.297272727273e-02, 1.535798712706e-04, 1.279454545455e-02, 1.525215064093e-04
 6.875000000000e-01, 5.023087354073e-03, 3.920221490825e-05, 2.481866525535e-03, 2.755589051174e-05, 2.541220828538e-03, 2.788344583830e-05, 2.985090909091e-02, 2.329686248517e-04, 1.474909090909e-02, 1.637575308974e-04, 1.510181818182e-02, 1.657041074918e-04
 7.425000000000e-01, 5.163299156321e-03, 3.680286614578e-05, 2.580731448452e-03, 2.601892833958e-05, 2.582567707869e-03, 2.602818327513e-05, 3.578727272727e-02, 2.550838462056e-04, 1.788727272727e-02, 1.803394411924e-04, 1.790000000000e-02, 1.804035879506e-04
