# r, density, density error estimate, radial probability, probability error estimate
3.987500000e+00, 1.505235874e-03, 3.700938468e-06, 3.007618182e-01, 7.394860847e-04
4.042500000e+00, 1.402899750e-03, 3.524306444e-06, 2.881000000e-01, 7.237528458e-04
4.097500000e+00, 1.303996615e-03, 3.352198541e-06, 2.751254545e-01, 7.072680533e-04
4.152500000e+00, 1.189198656e-03, 3.158843517e-06, 2.576854545e-01, 6.844844836e-04
4.207500000e+00, 1.087249292e-03, 2.980925164e-06, 2.418763636e-01, 6.631554920e-04
4.262500000e+00, 1.009904682e-03, 2.835871260e-06, 2.305818182e-01, 6.474871963e-04
4.317500000e+00, 9.371942893e-04, 2.697076452e-06, 2.195381818e-01, 6.317913663e-04
4.372500000e+00, 8.605800955e-04, 2.551976615e-06, 2.067600000e-01, 6.131290833e-04
4.427500000e+00, 7.816880787e-04, 2.401978442e-06, 1.925600000e-01, 5.917001698e-04
4.482500000e+00, 7.191809809e-04, 2.275672690e-06, 1.815909091e-01, 5.746001125e-04
4.537500000e+00, 6.571655298e-04, 2.148977232e-06, 1.700290909e-01, 5.560070158e-04
4.592500000e+00, 6.108415729e-04, 2.047039657e-06, 1.618981818e-01, 5.425498416e-04
4.647500000e+00, 5.554205240e-04, 1.928869085e-06, 1.507563636e-01, 5.235479723e-04
4.702500000e+00, 5.085732988e-04, 1.824144429e-06, 1.413272727e-01, 5.069109169e-04
4.757500000e+00, 4.664993272e-04, 1.726863534e-06, 1.326854545e-01, 4.911682817e-04
4.812500000e+00, 4.275480103e-04, 1.634304822e-06, 1.244345455e-01, 4.756517929e-04
4.867500000e+00, 3.861121617e-04, 1.535543745e-06, 1.149581818e-01, 4.571814476e-04
4.922500000e+00, 3.601624332e-04, 1.466475951e-06, 1.096690909e-01, 4.465404205e-04
4.977500000e+00, 3.179964720e-04, 1.362734955e-06, 9.900545455e-02, 4.242757563e-04
5.032500000e+00, 2.943621632e-04, 1.296787367e-06, 9.368363636e-02, 4.127152581e-04
5.087500000e+00, 2.675110296e-04, 1.222863641e-06, 8.700909091e-02, 3.977415582e-04
5.142500000e+00, 2.458931485e-04, 1.159873342e-06, 8.171636364e-02, 3.854545455e-04
5.197500000e+00, 2.231813490e-04, 1.093317118e-06, 7.576363636e-02, 3.711496546e-04
5.252500000e+00, 2.021747916e-04, 1.029696366e-06, 7.009272727e-02, 3.569892468e-04
5.307500000e+00, 1.801118005e-04, 9.618179129e-07, 6.375818182e-02, 3.404760886e-04
5.362500000e+00, 1.640740234e-04, 9.085826270e-07, 5.929090909e-02, 3.283316203e-04
5.417500000e+00, 1.489724516e-04, 8.569705956e-07, 5.494363636e-02, 3.160656904e-04
5.472500000e+00, 1.360119073e-04, 8.106149155e-07, 5.118727273e-02, 3.050701044e-04
