# r, density, density error estimate, radial probability, probability error estimate
2.750000000e-02, 9.743008838e-02, 3.739023626e-03, 1.234545455e-03, 4.737750626e-05
8.250000000e-02, 8.650430738e-02, 1.331623674e-03, 7.672727273e-03, 1.181118674e-04
1.375000000e-01, 9.272510853e-02, 8.368228604e-04, 2.232363636e-02, 2.014657037e-04
1.925000000e-01, 8.932481095e-02, 5.885682789e-04, 4.187818182e-02, 2.759386685e-04
2.475000000e-01, 8.813378211e-02, 4.553212793e-04, 6.812181818e-02, 3.519344417e-04
3.025000000e-01, 8.862985981e-02, 3.738358924e-04, 1.021963636e-01, 4.310586622e-04
3.575000000e-01, 8.783090905e-02, 3.150166360e-04, 1.413400000e-01, 5.069337414e-04
4.125000000e-01, 8.699178713e-02, 2.717737052e-04, 1.862854545e-01, 5.819800911e-04
4.675000000e-01, 8.609631810e-02, 2.386020023e-04, 2.367327273e-01, 6.560664147e-04
5.225000000e-01, 8.490246260e-02, 2.120250427e-04, 2.915436364e-01, 7.280654770e-04
5.775000000e-01, 8.551083499e-02, 1.925343565e-04, 3.586436364e-01, 8.075142964e-04
6.325000000e-01, 8.440172408e-02, 1.746594414e-04, 4.245763636e-01, 8.786108495e-04
6.875000000e-01, 8.278548494e-02, 1.591484225e-04, 4.919727273e-01, 9.457779167e-04
7.425000000e-01, 8.281346342e-02, 1.473901538e-04, 5.739872727e-01, 1.021573895e-03
7.975000000e-01, 8.092344405e-02, 1.356544861e-04, 6.470200000e-01, 1.084619749e-03
8.525000000e-01, 7.965457367e-02, 1.259068584e-04, 7.277127273e-01, 1.150266947e-03
9.075000000e-01, 7.957420774e-02, 1.182188675e-04, 8.237745455e-01, 1.223834916e-03
9.625000000e-01, 7.773081782e-02, 1.101667465e-04, 9.051545455e-01, 1.282862244e-03
1.017500000e+00, 7.656723200e-02, 1.034303306e-04, 9.963854545e-01, 1.345960593e-03
1.072500000e+00, 7.568982273e-02, 9.756354743e-05, 1.094301818e+00, 1.410545876e-03
1.127500000e+00, 7.324720715e-02, 9.129555915e-05, 1.170361818e+00, 1.458742808e-03
1.182500000e+00, 7.267584645e-02, 8.670985898e-05, 1.277263636e+00, 1.523908633e-03
1.237500000e+00, 7.041116596e-02, 8.155555400e-05, 1.355230909e+00, 1.569731250e-03
1.292500000e+00, 6.860060989e-02, 7.707515296e-05, 1.440338182e+00, 1.618269661e-03
1.347500000e+00, 6.755401586e-02, 7.336355880e-05, 1.541625455e+00, 1.674202906e-03
1.402500000e+00, 6.556709448e-02, 6.944260367e-05, 1.620903636e+00, 1.716711251e-03
1.457500000e+00, 6.404561755e-02, 6.604259082e-05, 1.709889091e+00, 1.763204258e-03
1.512500000e+00, 6.221792301e-02, 6.272666064e-05, 1.788809091e+00, 1.803435656e-03
1.567500000e+00, 6.018419085e-02, 5.952852333e-05, 1.858454545e+00, 1.838207895e-03
1.622500000e+00, 5.869318849e-02, 5.679395026e-05, 1.941818182e+00, 1.878983372e-03
1.677500000e+00, 5.675645347e-02, 5.401810788e-05, 2.007192727e+00, 1.910351099e-03
1.732500000e+00, 5.451036125e-02, 5.125801383e-05, 2.056230909e+00, 1.933546393e-03
1.787500000e+00, 5.284971396e-02, 4.891835699e-05, 2.122163636e+00, 1.964301234e-03
1.842500000e+00, 5.098602624e-02, 4.661392633e-05, 2.175245455e+00, 1.988716102e-03
1.897500000e+00, 4.902298031e-02, 4.438299354e-05, 2.218214545e+00, 2.008262273e-03
1.952500000e+00, 4.719271981e-02, 4.232001628e-05, 2.260974545e+00, 2.027526278e-03
2.007500000e+00, 4.531968138e-02, 4.033555257e-05, 2.295276364e+00, 2.042848441e-03
2.062500000e+00, 4.348607347e-02, 3.845758389e-05, 2.324736364e+00, 2.055916678e-03
