#                 r,            density,      density error,          density A,    density error A,          density B,    density error B, radial probability,  probability error,     radial prob. A,      prob. error A,     radial prob. B,      prob. error B
 1.182500000000e+00, 7.137532748782e-02, 8.593052942526e-05, 3.551675790354e-02, 6.061639273485e-05, 3.585856958428e-02, 6.090737902028e-05, 1.254407272727e+00, 1.510212069833e-03, 6.242000000000e-01, 1.065321121028e-03, 6.302072727273e-01, 1.070435147479e-03
 1.237500000000e+00, 7.034551360101e-02, 8.151752335758e-05, 3.528535768546e-02, 5.773378575837e-05, 3.506015591555e-02, 5.754925365598e-05, 1.353967272727e+00, 1.568999259938e-03, 6.791509090909e-01, 1.111224475392e-03, 6.748163636364e-01, 1.107672714738e-03
 1.292500000000e+00, 6.865733066199e-02, 7.710701025128e-05, 3.407983001640e-02, 5.432492267905e-05, 3.457750064559e-02, 5.472014076925e-05, 1.441529090909e+00, 1.618938536039e-03, 7.155400000000e-01, 1.140605899591e-03, 7.259890909091e-01, 1.148903897325e-03
 1.347500000000e+00, 6.706251488501e-02, 7.309618693286e-05, 3.348938943149e-02, 5.165453062423e-05, 3.357312545352e-02, 5.171906814816e-05, 1.530409090909e+00, 1.668101310913e-03, 7.642490909091e-01, 1.178789125184e-03, 7.661600000000e-01, 1.180261912381e-03
 1.402500000000e+00, 6.513493121953e-02, 6.921337163988e-05, 3.244556115120e-02, 4.884956168848e-05, 3.268937006833e-02, 4.903275575168e-05, 1.610220000000e+00, 1.711044338196e-03, 8.020963636364e-01, 1.207624538006e-03, 8.081236363636e-01, 1.212153332908e-03
 1.457500000000e+00, 6.373875070055e-02, 6.588418329479e-05, 3.193785174103e-02, 4.663717585554e-05, 3.180089895952e-02, 4.653707593566e-05, 1.701696363636e+00, 1.758975096023e-03, 8.526763636364e-01, 1.245118733759e-03, 8.490200000000e-01, 1.242446267358e-03
 1.512500000000e+00, 6.224694996527e-02, 6.274129108433e-05, 3.115990096808e-02, 4.439074640830e-05, 3.108704899719e-02, 4.433882317160e-05, 1.789643636364e+00, 1.803856291577e-03, 8.958690909091e-01, 1.276265212470e-03, 8.937745454545e-01, 1.274772382859e-03
 1.567500000000e+00, 6.025084300861e-02, 5.956147721937e-05, 3.016322246358e-02, 4.214273964417e-05, 3.008762054503e-02, 4.208989265651e-05, 1.860512727273e+00, 1.839225492761e-03, 9.314236363636e-01, 1.301344504987e-03, 9.290890909091e-01, 1.299712619221e-03
 1.622500000000e+00, 5.871522591532e-02, 5.680461141713e-05, 2.934890240487e-02, 4.016096662824e-05, 2.936632351045e-02, 4.017288435919e-05, 1.942547272727e+00, 1.879336088152e-03, 9.709854545455e-01, 1.328694133039e-03, 9.715618181818e-01, 1.329088421836e-03
 1.677500000000e+00, 5.654299134162e-02, 5.391643060609e-05, 2.831858895295e-02, 3.815641360012e-05, 2.822440238867e-02, 3.809290735133e-05, 1.999643636364e+00, 1.906755281225e-03, 1.001487272727e+00, 1.349402071442e-03, 9.981563636364e-01, 1.347156172114e-03
 1.732500000000e+00, 5.501713307592e-02, 5.149573030622e-05, 2.730104265678e-02, 3.627537081215e-05, 2.771609041914e-02, 3.655007130241e-05, 2.075347272727e+00, 1.942513494853e-03, 1.029845454545e+00, 1.368373589701e-03, 1.045501818182e+00, 1.378735796552e-03
 1.787500000000e+00, 5.287724385758e-02, 4.893109634108e-05, 2.643033579058e-02, 3.459408768621e-05, 2.644690806700e-02, 3.460493153149e-05, 2.123269090909e+00, 1.964812778918e-03, 1.061301818182e+00, 1.389114707078e-03, 1.061967272727e+00, 1.389550138274e-03
 1.842500000000e+00, 5.117076979825e-02, 4.669830078290e-05, 2.563124050935e-02, 3.305026269998e-05, 2.553952928891e-02, 3.299108108979e-05, 2.183127272727e+00, 1.992315816845e-03, 1.093520000000e+00, 1.410041907823e-03, 1.089607272727e+00, 1.407517009571e-03
 1.897500000000e+00, 4.915972026072e-02, 4.444484924841e-05, 2.450735139035e-02, 3.138086603756e-05, 2.465236887037e-02, 3.147357417655e-05, 2.224401818182e+00, 2.011061148287e-03, 1.108920000000e+00, 1.419935978070e-03, 1.115481818182e+00, 1.424130878933e-03
 1.952500000000e+00, 4.723131539460e-02, 4.233731801488e-05, 2.363131224765e-02, 2.994692547135e-05, 2.360000314695e-02, 2.992708057105e-05, 2.262823636364e+00, 2.028355194089e-03, 1.132161818182e+00, 1.434739012175e-03, 1.130661818182e+00, 1.433788255054e-03
 2.007500000000e+00, 4.540300426492e-02, 4.037261518445e-05, 2.266407683700e-02, 2.852420860650e-05, 2.273892742792e-02, 2.857127193887e-05, 2.299496363636e+00, 2.044725526651e-03, 1.147852727273e+00, 1.444647001408e-03, 1.151643636364e+00, 1.447030587327e-03
 2.062500000000e+00, 4.362259186053e-02, 3.851790266325e-05, 2.180182398900e-02, 2.723035561190e-05, 2.182076787153e-02, 2.724218344452e-05, 2.332034545455e+00, 2.059141279737e-03, 1.165510909091e+00, 1.455716573994e-03, 1.166523636364e+00, 1.456348882004e-03
 2.117500000000e+00, 4.178421149902e-02, 3.671843832729e-05, 2.101231579472e-02, 2.603844566644e-05, 2.077189570430e-02, 2.588905290795e-05, 2.354470909091e+00, 2.069023005756e-03, 1.184009090909e+00, 1.467223160141e-03, 1.170461818182e+00, 1.458805126360e-03
 2.172500000000e+00, 3.996642705881e-02, 3.500176969395e-05, 1.995885906503e-02, 2.473490212943e-05, 2.000756799378e-02, 2.476506608826e-05, 2.370543636364e+00, 2.076073057203e-03, 1.183827272727e+00, 1.467110501339e-03, 1.186716363636e+00, 1.468899627511e-03
 2.227500000000e+00, 3.818280521163e-02, 3.336713316411e-05, 1.915098865616e-02, 2.363091717986e-05, 1.903181655547e-02, 2.355727761925e-05, 2.380867272727e+00, 2.080588759649e-03, 1.194149090909e+00, 1.473492506017e-03, 1.186718181818e+00, 1.468900752770e-03
 2.282500000000e+00, 3.618386414033e-02, 3.169931681469e-05, 1.808403134179e-02, 2.240990708359e-05, 1.809983279855e-02, 2.241969560506e-05, 2.369012727273e+00, 2.075402579686e-03, 1.183989090909e+00, 1.467210768096e-03, 1.185023636364e+00, 1.467851637514e-03
 2.337500000000e+00, 3.453499168927e-02, 3.023999837674e-05, 1.724913254855e-02, 2.137153495409e-05, 1.728585914071e-02, 2.139427483069e-05, 2.371332727273e+00, 2.076418563196e-03, 1.184405454545e+00, 1.467468726348e-03, 1.186927272727e+00, 1.469030151759e-03
 2.392500000000e+00, 3.294729729838e-02, 2.885772638808e-05, 1.648440349015e-02, 2.041215380728e-05, 1.646289380824e-02, 2.039883205572e-05, 2.370023636364e+00, 2.075845342095e-03, 1.185785454545e+00, 1.468323381861e-03, 1.184238181818e+00, 1.467365097915e-03
 2.447500000000e+00, 3.109349320502e-02, 2.740416935574e-05, 1.557257780113e-02, 1.939376547955e-05, 1.552091540389e-02, 1.936156911519e-05, 2.340685454545e+00, 2.062957036765e-03, 1.172287272727e+00, 1.459942260830e-03, 1.168398181818e+00, 1.457518552396e-03
 2.502500000000e+00, 2.938802587943e-02, 2.605650143689e-05, 1.469263833206e-02, 1.842386703399e-05, 1.469538754737e-02, 1.842559064575e-05, 2.312841818182e+00, 2.050650370529e-03, 1.156312727273e+00, 1.449960957012e-03, 1.156529090909e+00, 1.450096605502e-03
 2.557500000000e+00, 2.778403656517e-02, 2.479061969727e-05, 1.389420813385e-02, 1.753099687302e-05, 1.388982843132e-02, 1.752823361360e-05, 2.283774545455e+00, 2.037723571874e-03, 1.142067272727e+00, 1.441001717700e-03, 1.141707272727e+00, 1.440774585061e-03
