#                 r,           dens_tot,           dens_err,             dens_A,         dens_err_A,             dens_B,         dens_err_B,         dens_alike,     dens_alike_err,        dens_unlike,    dens_unlike_err,           prob_tot,           prob_err,             prob_A,         prob_err_A,             prob_B,         prob_err_B,         prob_alike,     prob_alike_err,        prob_unlike,    prob_unlike_err
 2.750000000000e-02, 5.309150618543e-03, 8.728189851400e-04, 3.874245045963e-03, 7.455988067312e-04, 1.434905572579e-03, 4.537569836618e-04, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 6.727272727273e-05, 1.105956823691e-05, 4.909090909091e-05, 9.447549859467e-06, 1.818181818182e-05, 5.749595745761e-06, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 8.250000000000e-02, 7.010538654601e-03, 3.790865144805e-04, 3.033800353453e-03, 2.493768528971e-04, 3.976738301148e-03, 2.855131707997e-04, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 6.218181818182e-04, 3.362407637983e-05, 2.690909090909e-04, 2.211913647381e-05, 3.527272727273e-04, 2.532434232215e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 1.375000000000e-01, 6.819577537047e-03, 2.269413303564e-04, 3.360699893672e-03, 1.593124537570e-04, 3.458877643375e-03, 1.616227381956e-04, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.641818181818e-03, 5.463628800479e-05, 8.090909090909e-04, 3.835458747223e-05, 8.327272727273e-04, 3.891079010733e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 1.925000000000e-01, 7.174527862895e-03, 1.668043846327e-04, 3.467042113205e-03, 1.159552342397e-04, 3.707485749691e-03, 1.199086585077e-04, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 3.363636363636e-03, 7.820295697311e-05, 1.625454545455e-03, 5.436333231900e-05, 1.738181818182e-03, 5.621681757724e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 2.475000000000e-01, 6.953411266465e-03, 1.278926841028e-04, 3.519047109145e-03, 9.098279703257e-05, 3.434364157320e-03, 8.988141794139e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 5.374545454545e-03, 9.885292522959e-05, 2.720000000000e-03, 7.032392583932e-05, 2.654545454545e-03, 6.947262972561e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 3.025000000000e-01, 6.805552144232e-03, 1.035911484627e-04, 3.323935106590e-03, 7.239644371796e-05, 3.481617037642e-03, 7.409373102235e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 7.847272727273e-03, 1.194477651320e-04, 3.832727272727e-03, 8.347811115090e-05, 4.014545454545e-03, 8.543520090524e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 3.575000000000e-01, 6.841223025170e-03, 8.791777225793e-05, 3.411007813871e-03, 6.207992131201e-05, 3.430215211299e-03, 6.225446207857e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.100909090909e-02, 1.414797827452e-04, 5.489090909091e-03, 9.990077722048e-05, 5.520000000000e-03, 1.001816531924e-04, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 4.125000000000e-01, 7.037829758052e-03, 7.730145837357e-05, 3.581320535585e-03, 5.514293848638e-05, 3.456509222467e-03, 5.417353414508e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.507090909091e-02, 1.655344462417e-04, 7.669090909091e-03, 1.180838754991e-04, 7.401818181818e-03, 1.160079792069e-04, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 4.675000000000e-01, 6.910690386647e-03, 6.759934878946e-05, 3.406082306154e-03, 4.745799249340e-05, 3.504608080493e-03, 4.813949423556e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.900181818182e-02, 1.858729682621e-04, 9.365454545455e-03, 1.304917590254e-04, 9.636363636364e-03, 1.323656343506e-04, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 5.225000000000e-01, 6.751468987438e-03, 5.978966969841e-05, 3.395060712685e-03, 4.239852890244e-05, 3.356408274752e-03, 4.215648644698e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 2.318363636364e-02, 2.053096834436e-04, 1.165818181818e-02, 1.455908452303e-04, 1.152545454545e-02, 1.447597039954e-04, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 5.775000000000e-01, 6.844196126851e-03, 5.447018964158e-05, 3.469350240891e-03, 3.878124408025e-05, 3.374845885960e-03, 3.824940087345e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 2.870545454545e-02, 2.284551061745e-04, 1.455090909091e-02, 1.626536146143e-04, 1.415454545455e-02, 1.604229945802e-04, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 6.325000000000e-01, 6.830439675214e-03, 4.968676684266e-05, 3.448833494597e-03, 3.530632556298e-05, 3.381606180617e-03, 3.496052308701e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 3.436000000000e-02, 2.499454485937e-04, 1.734909090909e-02, 1.776057478036e-04, 1.701090909091e-02, 1.758662151177e-04, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 6.875000000000e-01, 6.734571740642e-03, 4.539209543818e-05, 3.381053621017e-03, 3.216260884432e-05, 3.353518119625e-03, 3.203137400418e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 4.002181818182e-02, 2.697534840345e-04, 2.009272727273e-02, 1.911340665736e-04, 1.992909090909e-02, 1.903541718581e-04, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 7.425000000000e-01, 6.779469765582e-03, 4.217119056498e-05, 3.367962092567e-03, 2.972361280379e-05, 3.411507673015e-03, 2.991514926519e-05, 0.000000000000e+00, 0.000000000000e+00, 7.869683213414e-07, 4.543563721701e-07, 4.698909090909e-02, 2.922921667507e-04, 2.334363636364e-02, 2.060169294175e-04, 2.364545454545e-02, 2.073444851863e-04, 0.000000000000e+00, 0.000000000000e+00, 5.454545454545e-06, 3.149183286489e-06
 7.975000000000e-01, 6.698348422486e-03, 3.902840908987e-05, 3.328253242515e-03, 2.751092312855e-05, 3.370095179972e-03, 2.768331310918e-05, 0.000000000000e+00, 0.000000000000e+00, 7.049456854192e-06, 1.266119827422e-06, 5.355636363636e-02, 3.120500065880e-04, 2.661090909091e-02, 2.199624310522e-04, 2.694545454545e-02, 2.213407679059e-04, 0.000000000000e+00, 0.000000000000e+00, 5.636363636364e-05, 1.012320793242e-05
 8.525000000000e-01, 6.582455175181e-03, 3.619411683161e-05, 3.304064121492e-03, 2.564296633815e-05, 3.278391053689e-03, 2.554314723367e-05, 0.000000000000e+00, 0.000000000000e+00, 2.985240442259e-05, 2.437438614351e-06, 6.013636363636e-02, 3.306642450813e-04, 3.018545454545e-02, 2.342704518886e-04, 2.995090909091e-02, 2.333585189084e-04, 0.000000000000e+00, 0.000000000000e+00, 2.727272727273e-04, 2.226808857076e-05
 9.075000000000e-01, 6.719819108011e-03, 3.435416712176e-05, 3.380194938783e-03, 2.436528560227e-05, 3.339624169228e-03, 2.421862209437e-05, 0.000000000000e+00, 0.000000000000e+00, 9.080124614729e-05, 3.993434239468e-06, 6.956545454545e-02, 3.556439857893e-04, 3.499272727273e-02, 2.522362791033e-04, 3.457272727273e-02, 2.507179772817e-04, 0.000000000000e+00, 0.000000000000e+00, 9.400000000000e-04, 4.134115273055e-05
