#                 r,             density,       density error,           density A,     density error A,           density B,     density error B,  radial probability,   probability error,      radial prob. A,      prob. error A,      radial prob. B,      prob. error B
 1.182500000000e+00,  2.454940321282e-02,  5.039574852004e-05,  1.230791030784e-02,  3.568334771396e-05,  1.224149290498e-02,  3.558693812089e-05,  4.314509090909e-01,  8.856953191403e-04,  2.163090909091e-01,  6.271277829903e-04,  2.151418181818e-01,  6.254334034482e-04
 1.237500000000e+00,  2.407212324916e-02,  4.768589886153e-05,  1.206199194582e-02,  3.375532480314e-05,  1.201013130334e-02,  3.368268097505e-05,  4.633254545455e-01,  9.178289150792e-04,  2.321618181818e-01,  6.497017751971e-04,  2.311636363636e-01,  6.483035713778e-04
 1.292500000000e+00,  2.335033875185e-02,  4.496731945254e-05,  1.166490767946e-02,  3.178271985537e-05,  1.168543107238e-02,  3.181066703704e-05,  4.902636363636e-01,  9.441336927322e-04,  2.449163636364e-01,  6.673098825425e-04,  2.453472727273e-01,  6.678966614778e-04
 1.347500000000e+00,  2.271190211256e-02,  4.253843994714e-05,  1.139503052232e-02,  3.013093101241e-05,  1.131687159024e-02,  3.002741862801e-05,  5.183000000000e-01,  9.707541585611e-04,  2.600418181818e-01,  6.876069413445e-04,  2.582581818182e-01,  6.852447231307e-04
 1.402500000000e+00,  2.190117483469e-02,  4.013439609218e-05,  1.096051628728e-02,  2.839216644203e-05,  1.094065854742e-02,  2.836643499652e-05,  5.414254545455e-01,  9.921743381863e-04,  2.709581818182e-01,  7.018911879126e-04,  2.704672727273e-01,  7.012550731980e-04
 1.457500000000e+00,  2.113274718237e-02,  3.793650973098e-05,  1.056538611464e-02,  2.682390978817e-05,  1.056736106773e-02,  2.682641672391e-05,  5.642018181818e-01,  1.012828459120e-03,  2.820745454545e-01,  7.161444057712e-04,  2.821272727273e-01,  7.162113359100e-04
 1.512500000000e+00,  2.061419874366e-02,  3.610585573684e-05,  1.032442701074e-02,  2.555214670966e-05,  1.028977173292e-02,  2.550922611562e-05,  5.926727272727e-01,  1.038068772702e-03,  2.968345454545e-01,  7.346422078493e-04,  2.958381818182e-01,  7.334082105525e-04
 1.567500000000e+00,  1.988618969998e-02,  3.421839895668e-05,  9.936647490111e-03,  2.418821599534e-05,  9.949542209865e-03,  2.420390534855e-05,  6.140745454545e-01,  1.056645244892e-03,  3.068381818182e-01,  7.469187394260e-04,  3.072363636364e-01,  7.474032179807e-04
 1.622500000000e+00,  1.907001046753e-02,  3.237305543314e-05,  9.595841712848e-03,  2.296411763740e-05,  9.474168754683e-03,  2.281806344134e-05,  6.309163636364e-01,  1.071037189437e-03,  3.174709090909e-01,  7.597498500893e-04,  3.134454545455e-01,  7.549177613795e-04
 1.677500000000e+00,  1.853254323034e-02,  3.086734342042e-05,  9.282209297989e-03,  2.184527022389e-05,  9.250333932349e-03,  2.180772933342e-05,  6.554036363636e-01,  1.091624008167e-03,  3.282654545455e-01,  7.725582702889e-04,  3.271381818182e-01,  7.712306362009e-04
 1.732500000000e+00,  1.771122697924e-02,  2.921773650761e-05,  8.859541766550e-03,  2.066464142322e-05,  8.851685212693e-03,  2.065547679136e-05,  6.681000000000e-01,  1.102146665706e-03,  3.341981818182e-01,  7.795082153841e-04,  3.339018181818e-01,  7.791625086438e-04
 1.787500000000e+00,  1.703716046316e-02,  2.777468539745e-05,  8.517742561872e-03,  1.963870273835e-05,  8.519417901291e-03,  1.964063399390e-05,  6.841218181818e-01,  1.115283753688e-03,  3.420272727273e-01,  7.885859297471e-04,  3.420945454545e-01,  7.886634787060e-04
 1.842500000000e+00,  1.623565610573e-02,  2.630419556843e-05,  8.086270358285e-03,  1.856368676329e-05,  8.149385747444e-03,  1.863599308480e-05,  6.926709090909e-01,  1.122230659398e-03,  3.449890909091e-01,  7.919929876975e-04,  3.476818181818e-01,  7.950778328759e-04
 1.897500000000e+00,  1.565517741822e-02,  2.508105109389e-05,  7.799722368741e-03,  1.770338475380e-05,  7.855455049480e-03,  1.776652166951e-05,  7.083727272727e-01,  1.134879030216e-03,  3.529254545455e-01,  8.010509625661e-04,  3.554472727273e-01,  8.039078110051e-04
 1.952500000000e+00,  1.496924157258e-02,  2.383461937865e-05,  7.486328555419e-03,  1.685554362893e-05,  7.482913017161e-03,  1.685169813099e-05,  7.171672727273e-01,  1.141902139357e-03,  3.586654545455e-01,  8.075388586715e-04,  3.585018181818e-01,  8.073546232006e-04
 2.007500000000e+00,  1.424964983311e-02,  2.261760853810e-05,  7.117662953539e-03,  1.598502413642e-05,  7.131986879570e-03,  1.600110056655e-05,  7.216927272727e-01,  1.145499277626e-03,  3.604836363636e-01,  8.095830985071e-04,  3.612090909091e-01,  8.103973109857e-04
