# r, density, density error estimate, radial probability, probability error estimate
2.750000000e-02, 2.424990418e-02, 1.865377244e-03, 3.072727273e-04, 2.363636364e-05
8.250000000e-02, 2.738619779e-02, 7.492530358e-04, 2.429090909e-03, 6.645697048e-05
1.375000000e-01, 2.888691482e-02, 4.670737294e-04, 6.954545455e-03, 1.124483352e-04
1.925000000e-01, 2.585932529e-02, 3.166790940e-04, 1.212363636e-02, 1.484687685e-04
2.475000000e-01, 2.697387246e-02, 2.518943309e-04, 2.084909091e-02, 1.946983257e-04
3.025000000e-01, 2.727266679e-02, 2.073742213e-04, 3.144727273e-02, 2.391168323e-04
3.575000000e-01, 2.643389825e-02, 1.728185702e-04, 4.253818182e-02, 2.781045644e-04
4.125000000e-01, 2.685565873e-02, 1.510032218e-04, 5.750909091e-02, 3.233604544e-04
4.675000000e-01, 2.670048485e-02, 1.328744158e-04, 7.341636364e-02, 3.653550294e-04
5.225000000e-01, 2.622700285e-02, 1.178423372e-04, 9.006000000e-02, 4.046547350e-04
5.775000000e-01, 2.552527946e-02, 1.051920496e-04, 1.070563636e-01, 4.411892268e-04
6.325000000e-01, 2.548312781e-02, 9.597160854e-05, 1.281909091e-01, 4.827777751e-04
6.875000000e-01, 2.522557878e-02, 8.785081796e-05, 1.499090909e-01, 5.220746915e-04
7.425000000e-01, 2.527060209e-02, 8.141900537e-05, 1.751527273e-01, 5.643221634e-04
7.975000000e-01, 2.443773809e-02, 7.454653889e-05, 1.953909091e-01, 5.960337225e-04
8.525000000e-01, 2.457111605e-02, 6.992886354e-05, 2.244781818e-01, 6.388600385e-04
9.075000000e-01, 2.361868623e-02, 6.440632233e-05, 2.445072727e-01, 6.667523361e-04
9.625000000e-01, 2.344235993e-02, 6.049988795e-05, 2.729800000e-01, 7.045049842e-04
1.017500000e+00, 2.271048942e-02, 5.632999154e-05, 2.955363636e-01, 7.330339985e-04
1.072500000e+00, 2.235220697e-02, 5.301869624e-05, 3.231618182e-01, 7.665291528e-04
1.127500000e+00, 2.195007257e-02, 4.997722039e-05, 3.507236364e-01, 7.985482696e-04
1.182500000e+00, 2.154458473e-02, 4.721092334e-05, 3.786418182e-01, 8.297226461e-04
1.237500000e+00, 2.097200929e-02, 4.450950812e-05, 4.036563636e-01, 8.566916955e-04
1.292500000e+00, 2.058574247e-02, 4.222150157e-05, 4.322181818e-01, 8.864825095e-04
1.347500000e+00, 2.002294803e-02, 3.994098903e-05, 4.569363636e-01, 9.114786824e-04
1.402500000e+00, 1.940262988e-02, 3.777577004e-05, 4.796581818e-01, 9.338660424e-04
1.457500000e+00, 1.881551429e-02, 3.579624238e-05, 5.023363636e-01, 9.556876283e-04
1.512500000e+00, 1.847063068e-02, 3.417710523e-05, 5.310436364e-01, 9.826158376e-04
1.567500000e+00, 1.791247326e-02, 3.247593579e-05, 5.531272727e-01, 1.002838945e-03
1.622500000e+00, 1.713819121e-02, 3.068956391e-05, 5.670036364e-01, 1.015340191e-03
1.677500000e+00, 1.660603726e-02, 2.921895953e-05, 5.872727273e-01, 1.033328890e-03
1.732500000e+00, 1.607113521e-02, 2.783207085e-05, 6.062327273e-01, 1.049876813e-03
1.787500000e+00, 1.552781549e-02, 2.651586031e-05, 6.235145455e-01, 1.064736028e-03
1.842500000e+00, 1.507183560e-02, 2.534388429e-05, 6.430181818e-01, 1.081260360e-03
1.897500000e+00, 1.447667432e-02, 2.411854687e-05, 6.550472727e-01, 1.091327193e-03
1.952500000e+00, 1.396590823e-02, 2.302199284e-05, 6.690981818e-01, 1.102969695e-03
2.007500000e+00, 1.341975961e-02, 2.194911203e-05, 6.796618182e-01, 1.111642371e-03
2.062500000e+00, 1.282949787e-02, 2.088871516e-05, 6.858563636e-01, 1.116696723e-03
2.117500000e+00, 1.229827332e-02, 1.992049687e-05, 6.929872727e-01, 1.122486908e-03
2.172500000e+00, 1.176999612e-02, 1.899461522e-05, 6.981181818e-01, 1.126634717e-03
2.227500000e+00, 1.132461535e-02, 1.817174813e-05, 7.061400000e-01, 1.133089100e-03
2.282500000e+00, 1.079286707e-02, 1.731254217e-05, 7.066254545e-01, 1.133478519e-03
2.337500000e+00, 1.028389595e-02, 1.650178493e-05, 7.061400000e-01, 1.133089100e-03
2.392500000e+00, 9.819839602e-03, 1.575449225e-05, 7.063781818e-01, 1.133280180e-03
2.447500000e+00, 9.357873999e-03, 1.503385930e-05, 7.044509091e-01, 1.131733111e-03
2.502500000e+00, 8.856816608e-03, 1.430440252e-05, 6.970327273e-01, 1.125758514e-03
2.557500000e+00, 8.406263901e-03, 1.363613280e-05, 6.909727273e-01, 1.120854161e-03
2.612500000e+00, 8.001808479e-03, 1.302397279e-05, 6.863200000e-01, 1.117074100e-03
2.667500000e+00, 7.547985574e-03, 1.238845459e-05, 6.749400000e-01, 1.107774181e-03
2.722500000e+00, 7.217647254e-03, 1.186960526e-05, 6.722890909e-01, 1.105596582e-03
2.777500000e+00, 6.798931811e-03, 1.129205287e-05, 6.591327273e-01, 1.094725144e-03
2.832500000e+00, 6.411487025e-03, 1.075267120e-05, 6.464309091e-01, 1.084125881e-03
2.887500000e+00, 6.007324410e-03, 1.020999920e-05, 6.294309091e-01, 1.069775600e-03
2.942500000e+00, 5.721140800e-03, 9.777599580e-06, 6.224981818e-01, 1.063867885e-03
2.997500000e+00, 5.369052411e-03, 9.298165264e-06, 6.062309091e-01, 1.049875239e-03
3.052500000e+00, 5.022511111e-03, 8.831055804e-06, 5.881036364e-01, 1.034059640e-03
3.107500000e+00, 4.745466610e-03, 8.432112232e-06, 5.758672727e-01, 1.023245525e-03
