#                 r,           dens_tot,           dens_err,             dens_A,         dens_err_A,             dens_B,         dens_err_B,         dens_alike,     dens_alike_err,        dens_unlike,    dens_unlike_err,           prob_tot,           prob_err,             prob_A,         prob_err_A,             prob_B,         prob_err_B,         prob_alike,     prob_alike_err,        prob_unlike,    prob_unlike_err
 9.075000000000e-01, 8.869139049939e-02, 1.248076956342e-04, 4.425445492595e-02, 8.816153249621e-05, 4.443693557343e-02, 8.834310996018e-05, 2.769701454048e-03, 2.205551039203e-05, 4.327724383589e-03, 2.756959777532e-05, 9.181581818182e-01, 1.292044315183e-03, 4.581345454545e-01, 9.126729429683e-04, 4.600236363636e-01, 9.145526838680e-04, 2.867272727273e-02, 2.283248374684e-04, 4.480181818182e-02, 2.854082185917e-04
 9.625000000000e-01, 8.689126123640e-02, 1.164774772890e-04, 4.356242162672e-02, 8.247264297119e-05, 4.332883960968e-02, 8.225123632485e-05, 5.827683959841e-03, 3.016490078393e-05, 9.022573821225e-03, 3.753350545991e-05, 1.011825454545e+00, 1.356349012839e-03, 5.072727272727e-01, 9.603718288178e-04, 5.045527272727e-01, 9.577936077472e-04, 6.786181818182e-02, 3.512621869301e-04, 1.050654545455e-01, 4.370676139610e-04
 1.017500000000e+00, 8.539700098447e-02, 1.092314626102e-04, 4.306882349322e-02, 7.757252775815e-05, 4.232817749125e-02, 7.690263559319e-05, 9.422174011491e-03, 3.628290065219e-05, 1.462541825963e-02, 4.520438725686e-05, 1.111289090909e+00, 1.421451940740e-03, 5.604636363636e-01, 1.009467579167e-03, 5.508254545455e-01, 1.000750131874e-03, 1.226127272727e-01, 4.721569986826e-04, 1.903236363636e-01, 5.882541756814e-04
 1.072500000000e+00, 8.366304343146e-02, 1.025736165979e-04, 4.172104278974e-02, 7.243465839253e-05, 4.194200064172e-02, 7.262621486441e-05, 1.373560529783e-02, 4.156164611873e-05, 2.072577105999e-02, 5.105334323419e-05, 1.209576363636e+00, 1.482980024163e-03, 6.031909090909e-01, 1.047239582809e-03, 6.063854545455e-01, 1.050009051515e-03, 1.985854545455e-01, 6.008863975910e-04, 2.996472727273e-01, 7.381146409200e-04
 1.127500000000e+00, 8.274864889519e-02, 9.703637709246e-05, 4.142234428516e-02, 6.865488670879e-05, 4.132630461004e-02, 6.857525071214e-05, 1.764945233381e-02, 4.481462169587e-05, 2.647816118866e-02, 5.489060640033e-05, 1.322178181818e+00, 1.550471002818e-03, 6.618563636364e-01, 1.096984597254e-03, 6.603218181818e-01, 1.095712153792e-03, 2.820072727273e-01, 7.160590030631e-04, 4.230745454545e-01, 8.770555548430e-04
 1.182500000000e+00, 8.081280592711e-02, 9.143522201056e-05, 4.055641111642e-02, 6.477436869847e-05, 4.025639481069e-02, 6.453433957077e-05, 2.111142325695e-02, 4.673391744119e-05, 3.162709822670e-02, 5.720093190386e-05, 1.420269090909e+00, 1.606955953975e-03, 7.127709090909e-01, 1.138396726734e-03, 7.074981818182e-01, 1.134178262258e-03, 3.710290909091e-01, 8.213393617181e-04, 5.558400000000e-01, 1.005295072015e-03
 1.237500000000e+00, 7.901814333853e-02, 8.639650706254e-05, 3.945640808423e-02, 6.105082646760e-05, 3.956173525430e-02, 6.113225842573e-05, 2.407901910873e-02, 4.769272858137e-05, 3.629328674797e-02, 5.855256490766e-05, 1.520892727273e+00, 1.662906943918e-03, 7.594327272727e-01, 1.175068839200e-03, 7.614600000000e-01, 1.176636191553e-03, 4.634581818182e-01, 9.179603693349e-04, 6.985509090909e-01, 1.126983833949e-03
 1.292500000000e+00, 7.757002537176e-02, 8.195913640649e-05, 3.878193850677e-02, 5.795156431717e-05, 3.878808686499e-02, 5.795615785825e-05, 2.646036885043e-02, 4.786833853810e-05, 4.027122674076e-02, 5.905379832198e-05, 1.628660000000e+00, 1.720813760986e-03, 8.142654545455e-01, 1.216750855610e-03, 8.143945454545e-01, 1.216847301584e-03, 5.555618181818e-01, 1.005043480002e-03, 8.455345454545e-01, 1.239893357184e-03
 1.347500000000e+00, 7.563155425468e-02, 7.762584082608e-05, 3.768830078552e-02, 5.479716412280e-05, 3.794325346916e-02, 5.498219682820e-05, 2.854936249522e-02, 4.769282107995e-05, 4.303242772535e-02, 5.855348231498e-05, 1.725960000000e+00, 1.771470883449e-03, 8.600709090909e-01, 1.250506013283e-03, 8.658890909091e-01, 1.254728576885e-03, 6.515145454545e-01, 1.088380402629e-03, 9.820272727273e-01, 1.336227575015e-03
 1.402500000000e+00, 7.430729480634e-02, 7.392626280412e-05, 3.707072295247e-02, 5.221539338360e-05, 3.723657185387e-02, 5.233206498868e-05, 3.007954822092e-02, 4.703473277570e-05, 4.496049718612e-02, 5.750406932240e-05, 1.836972727273e+00, 1.827553121861e-03, 9.164363636364e-01, 1.290832264039e-03, 9.205363636364e-01, 1.293716537476e-03, 7.436054545455e-01, 1.162759612885e-03, 1.111481818182e+00, 1.421575194303e-03
 1.457500000000e+00, 7.203702687162e-02, 7.004179757273e-05, 3.590825657193e-02, 4.945116792689e-05, 3.612877029969e-02, 4.960277611068e-05, 3.068089625204e-02, 4.571023082295e-05, 4.655318562481e-02, 5.630592478035e-05, 1.923243636364e+00, 1.869975029665e-03, 9.586781818182e-01, 1.320246658647e-03, 9.645654545455e-01, 1.324294292029e-03, 8.191181818182e-01, 1.220371166950e-03, 1.242876363636e+00, 1.503254870809e-03
