# r, density, density error estimate, radial probability, probability error estimate
2.750000000e-02, 6.241839241e-02, 2.992732850e-03, 7.909090909e-04, 3.792118839e-05
8.250000000e-02, 6.368930877e-02, 1.142604444e-03, 5.649090909e-03, 1.013463092e-04
1.375000000e-01, 6.224469331e-02, 6.856240235e-04, 1.498545455e-02, 1.650644753e-04
1.925000000e-01, 6.268210478e-02, 4.930404880e-04, 2.938727273e-02, 2.311523415e-04
2.475000000e-01, 6.289355786e-02, 3.846359076e-04, 4.861272727e-02, 2.972991370e-04
3.025000000e-01, 6.306173469e-02, 3.153362666e-04, 7.271454545e-02, 3.636045441e-04
3.575000000e-01, 6.238901639e-02, 2.654995993e-04, 1.003981818e-01, 4.272495158e-04
4.125000000e-01, 6.197093960e-02, 2.293835920e-04, 1.327054545e-01, 4.912052978e-04
4.675000000e-01, 6.104895027e-02, 2.009189475e-04, 1.678618182e-01, 5.524520846e-04
5.225000000e-01, 6.097925095e-02, 1.796875794e-04, 2.093945455e-01, 6.170229780e-04
5.775000000e-01, 5.976533437e-02, 1.609616225e-04, 2.506636364e-01, 6.750941165e-04
6.325000000e-01, 5.983339375e-02, 1.470578547e-04, 3.009872727e-01, 7.397631964e-04
6.875000000e-01, 5.807604384e-02, 1.332980364e-04, 3.451309091e-01, 7.921557573e-04
7.425000000e-01, 5.839855822e-02, 1.237710458e-04, 4.047654545e-01, 8.578678162e-04
7.975000000e-01, 5.713175457e-02, 1.139818660e-04, 4.567945455e-01, 9.113372247e-04
8.525000000e-01, 5.601326051e-02, 1.055818957e-04, 5.117290909e-01, 9.645810121e-04
9.075000000e-01, 5.495916663e-02, 9.824731768e-05, 5.689527273e-01, 1.017083824e-03
9.625000000e-01, 5.419087182e-02, 9.198499189e-05, 6.310381818e-01, 1.071140583e-03
1.017500000e+00, 5.343074189e-02, 8.640165106e-05, 6.953054545e-01, 1.124362813e-03
1.072500000e+00, 5.161459724e-02, 8.056661372e-05, 7.462290909e-01, 1.164809068e-03
1.127500000e+00, 5.100787764e-02, 7.618557411e-05, 8.150163636e-01, 1.217311765e-03
1.182500000e+00, 4.946461941e-02, 7.153535991e-05, 8.693309091e-01, 1.257219811e-03
1.237500000e+00, 4.832004369e-02, 6.756105665e-05, 9.300345455e-01, 1.300373754e-03
1.292500000e+00, 4.715626219e-02, 6.390283029e-05, 9.900927273e-01, 1.341703617e-03
1.347500000e+00, 4.568210316e-02, 6.032923937e-05, 1.042494545e+00, 1.376751477e-03
1.402500000e+00, 4.429445388e-02, 5.707654841e-05, 1.095016364e+00, 1.411006323e-03
1.457500000e+00, 4.307413550e-02, 5.416112520e-05, 1.149992727e+00, 1.445993039e-03
1.512500000e+00, 4.144840791e-02, 5.119745110e-05, 1.191670909e+00, 1.471962765e-03
1.567500000e+00, 4.017435315e-02, 4.863605523e-05, 1.240561818e+00, 1.501854501e-03
1.622500000e+00, 3.937461127e-02, 4.651749984e-05, 1.302678182e+00, 1.538995057e-03
1.677500000e+00, 3.790613341e-02, 4.414550469e-05, 1.340550909e+00, 1.561206357e-03
1.732500000e+00, 3.636900000e-02, 4.186855030e-05, 1.371905455e+00, 1.579358589e-03
1.787500000e+00, 3.496388088e-02, 3.978875567e-05, 1.403963636e+00, 1.597704966e-03
1.842500000e+00, 3.342835630e-02, 3.774397311e-05, 1.426172727e+00, 1.610292310e-03
1.897500000e+00, 3.211849880e-02, 3.592479968e-05, 1.453312727e+00, 1.625541995e-03
1.952500000e+00, 3.112629350e-02, 3.436940601e-05, 1.491241818e+00, 1.646617369e-03
2.007500000e+00, 2.969834510e-02, 3.265206947e-05, 1.504112727e+00, 1.653708080e-03
2.062500000e+00, 2.833742945e-02, 3.104467548e-05, 1.514900000e+00, 1.659627560e-03
2.117500000e+00, 2.699965048e-02, 2.951597728e-05, 1.521385455e+00, 1.663176290e-03
2.172500000e+00, 2.580601498e-02, 2.812566587e-05, 1.530641818e+00, 1.668228139e-03
2.227500000e+00, 2.454974433e-02, 2.675521624e-05, 1.530785455e+00, 1.668306411e-03
2.282500000e+00, 2.339404285e-02, 2.548854653e-05, 1.531643636e+00, 1.668773985e-03
2.337500000e+00, 2.203764996e-02, 2.415653981e-05, 1.513207273e+00, 1.658700078e-03
2.392500000e+00, 2.086507390e-02, 2.296477410e-05, 1.500903636e+00, 1.651943008e-03
2.447500000e+00, 1.980396725e-02, 2.187046337e-05, 1.490821818e+00, 1.646385472e-03
2.502500000e+00, 1.864162045e-02, 2.075261013e-05, 1.467098182e+00, 1.633233370e-03
2.557500000e+00, 1.774668739e-02, 1.981291433e-05, 1.458730909e+00, 1.628569316e-03
2.612500000e+00, 1.663038388e-02, 1.877589039e-05, 1.426398182e+00, 1.610419585e-03
2.667500000e+00, 1.574673143e-02, 1.789356242e-05, 1.408070909e+00, 1.600040289e-03
2.722500000e+00, 1.469684123e-02, 1.693754457e-05, 1.368940000e+00, 1.577650728e-03
2.777500000e+00, 1.384649182e-02, 1.611470786e-05, 1.342369091e+00, 1.562264726e-03
2.832500000e+00, 1.294260662e-02, 1.527734400e-05, 1.304923636e+00, 1.540320885e-03
2.887500000e+00, 1.208645483e-02, 1.448220304e-05, 1.266385455e+00, 1.517405354e-03
2.942500000e+00, 1.129588347e-02, 1.373887054e-05, 1.229067273e+00, 1.494880520e-03
2.997500000e+00, 1.059905859e-02, 1.306417790e-05, 1.196761818e+00, 1.475103582e-03
3.052500000e+00, 9.923565330e-03, 1.241326545e-05, 1.161985455e+00, 1.453513270e-03
3.107500000e+00, 9.213241461e-03, 1.174906061e-05, 1.118036364e+00, 1.425760635e-03
3.162500000e+00, 8.483360222e-03, 1.107800789e-05, 1.066227273e+00, 1.392334386e-03
3.217500000e+00, 7.964361831e-03, 1.055031366e-05, 1.036116364e+00, 1.372533400e-03
3.272500000e+00, 7.397565770e-03, 9.997084759e-06, 9.955618182e-01, 1.345404176e-03
3.327500000e+00, 6.874976134e-03, 9.478209695e-06, 9.565927273e-01, 1.318809882e-03
3.382500000e+00, 6.296601368e-03, 8.923274095e-06, 9.053181818e-01, 1.282978199e-03
3.437500000e+00, 5.840404847e-03, 8.456445618e-06, 8.672563636e-01, 1.255718819e-03
3.492500000e+00, 5.385112719e-03, 7.992271340e-06, 8.254418182e-01, 1.225072776e-03
3.547500000e+00, 4.932954960e-03, 7.530790128e-06, 7.801363636e-01, 1.190978485e-03
3.602500000e+00, 4.538207995e-03, 7.112916562e-06, 7.401345455e-01, 1.160042746e-03
3.657500000e+00, 4.215628625e-03, 6.752373689e-06, 7.086781818e-01, 1.135123687e-03
3.712500000e+00, 3.890453212e-03, 6.390625790e-06, 6.738309091e-01, 1.106863635e-03
3.767500000e+00, 3.506859476e-03, 5.978824253e-06, 6.255218182e-01, 1.066448497e-03
3.822500000e+00, 3.249930910e-03, 5.672827101e-06, 5.967418182e-01, 1.041626192e-03
3.877500000e+00, 2.974943889e-03, 5.350540619e-06, 5.620818182e-01, 1.010923806e-03
3.932500000e+00, 2.701349844e-03, 5.027266039e-06, 5.249709091e-01, 9.769813519e-04
3.987500000e+00, 2.509888163e-03, 4.778997130e-06, 5.015018182e-01, 9.548934431e-04
4.042500000e+00, 2.252599001e-03, 4.465831047e-06, 4.625945455e-01, 9.171046787e-04
4.097500000e+00, 2.066183020e-03, 4.219644802e-06, 4.359363636e-01, 8.902873526e-04
4.152500000e+00, 1.886253480e-03, 3.978331190e-06, 4.087290909e-01, 8.620578876e-04
4.207500000e+00, 1.725875033e-03, 3.755702469e-06, 3.839490909e-01, 8.355173584e-04
4.262500000e+00, 1.550612204e-03, 3.513968931e-06, 3.540363636e-01, 8.023107125e-04
4.317500000e+00, 1.411154769e-03, 3.309525749e-06, 3.305636364e-01, 7.752578883e-04
4.372500000e+00, 1.280116487e-03, 3.112474396e-06, 3.075563636e-01, 7.477923431e-04
4.427500000e+00, 1.172797828e-03, 2.942144084e-06, 2.889054545e-01, 7.247638544e-04
4.482500000e+00, 1.061579535e-03, 2.764820683e-06, 2.680454545e-01, 6.981084242e-04
4.537500000e+00, 9.412443670e-04, 2.571849919e-06, 2.435290909e-01, 6.654172866e-04
4.592500000e+00, 8.581924848e-04, 2.426354853e-06, 2.274563636e-01, 6.430839951e-04
4.647500000e+00, 7.817659762e-04, 2.288390695e-06, 2.121927273e-01, 6.211319978e-04
4.702500000e+00, 7.041446930e-04, 2.146413538e-06, 1.956745455e-01, 5.964661774e-04
4.757500000e+00, 6.432432314e-04, 2.027776662e-06, 1.829563636e-01, 5.767563904e-04
4.812500000e+00, 5.647227091e-04, 1.878270958e-06, 1.643581818e-01, 5.466562520e-04
4.867500000e+00, 5.090656826e-04, 1.763162593e-06, 1.515654545e-01, 5.249510013e-04
4.922500000e+00, 4.625780646e-04, 1.661951159e-06, 1.408545455e-01, 5.060624206e-04
4.977500000e+00, 4.148267569e-04, 1.556444452e-06, 1.291527273e-01, 4.845855348e-04
5.032500000e+00, 3.710519447e-04, 1.455945553e-06, 1.180909091e-01, 4.633689068e-04
5.087500000e+00, 3.338870815e-04, 1.366177077e-06, 1.085981818e-01, 4.443548578e-04
5.142500000e+00, 2.958169421e-04, 1.272180911e-06, 9.830727273e-02, 4.227771232e-04
5.197500000e+00, 2.685620922e-04, 1.199332368e-06, 9.116909091e-02, 4.071387767e-04
5.252500000e+00, 2.383398032e-04, 1.118005567e-06, 8.263090909e-02, 3.876054908e-04
5.307500000e+00, 2.183252718e-04, 1.058945921e-06, 7.728545455e-02, 3.748586510e-04
5.362500000e+00, 1.903882565e-04, 9.787338140e-07, 6.880000000e-02, 3.536819321e-04
5.417500000e+00, 1.683809212e-04, 9.110860117e-07, 6.210181818e-02, 3.360243990e-04
5.472500000e+00, 1.477178303e-04, 8.447779805e-07, 5.559272727e-02, 3.179271708e-04
