# r, density, density error estimate, radial probability, probability error estimate
2.750000000e-02, 3.314631873e-02, 2.180867659e-03, 4.200000000e-04, 2.763397119e-05
8.250000000e-02, 3.509369058e-02, 8.481587804e-04, 3.112727273e-03, 7.522967587e-05
1.375000000e-01, 3.552524112e-02, 5.179685342e-04, 8.552727273e-03, 1.247012960e-04
1.925000000e-01, 3.452693057e-02, 3.659230649e-04, 1.618727273e-02, 1.715558363e-04
2.475000000e-01, 3.441891531e-02, 2.845413145e-04, 2.660363636e-02, 2.199323713e-04
3.025000000e-01, 3.477359626e-02, 2.341616494e-04, 4.009636364e-02, 2.700045913e-04
3.575000000e-01, 3.380614932e-02, 1.954373896e-04, 5.440181818e-02, 3.145034128e-04
4.125000000e-01, 3.464320543e-02, 1.715052202e-04, 7.418545455e-02, 3.672637263e-04
4.675000000e-01, 3.358208037e-02, 1.490169233e-04, 9.233818182e-02, 4.097408978e-04
5.225000000e-01, 3.328292597e-02, 1.327509890e-04, 1.142890909e-01, 4.558490398e-04
5.775000000e-01, 3.295817703e-02, 1.195306429e-04, 1.382309091e-01, 5.013271643e-04
6.325000000e-01, 3.228139957e-02, 1.080171179e-04, 1.623890909e-01, 5.433717812e-04
6.875000000e-01, 3.189131176e-02, 9.877827356e-05, 1.895218182e-01, 5.870137341e-04
7.425000000e-01, 3.145669774e-02, 9.083946392e-05, 2.180290909e-01, 6.296161759e-04
7.975000000e-01, 3.086775235e-02, 8.378176112e-05, 2.468018182e-01, 6.698735541e-04
8.525000000e-01, 3.043731253e-02, 7.783002691e-05, 2.780709091e-01, 7.110439305e-04
9.075000000e-01, 2.975295146e-02, 7.228790853e-05, 3.080109091e-01, 7.483447299e-04
9.625000000e-01, 2.910250813e-02, 6.740919099e-05, 3.388909091e-01, 7.849619668e-04
1.017500000e+00, 2.851074939e-02, 6.311473392e-05, 3.710163636e-01, 8.213252745e-04
1.072500000e+00, 2.798116170e-02, 5.932007747e-05, 4.045436364e-01, 8.576327211e-04
1.127500000e+00, 2.719538639e-02, 5.562906169e-05, 4.345345455e-01, 8.888547744e-04
1.182500000e+00, 2.652475195e-02, 5.238405289e-05, 4.661672727e-01, 9.206393754e-04
1.237500000e+00, 2.581649233e-02, 4.938344595e-05, 4.969000000e-01, 9.505022596e-04
1.292500000e+00, 2.508235724e-02, 4.660522204e-05, 5.266290909e-01, 9.785230902e-04
1.347500000e+00, 2.431945846e-02, 4.401814682e-05, 5.549854545e-01, 1.004522007e-03
1.402500000e+00, 2.367608904e-02, 4.172900302e-05, 5.853036364e-01, 1.031595090e-03
1.457500000e+00, 2.270297109e-02, 3.932065479e-05, 6.061236364e-01, 1.049782347e-03
1.512500000e+00, 2.196739881e-02, 3.727208865e-05, 6.315781818e-01, 1.071598790e-03
1.567500000e+00, 2.139422423e-02, 3.549213855e-05, 6.606418182e-01, 1.095977619e-03
1.622500000e+00, 2.056327949e-02, 3.361664860e-05, 6.803200000e-01, 1.112180495e-03
1.677500000e+00, 1.973732923e-02, 3.185487723e-05, 6.980109091e-01, 1.126548154e-03
1.732500000e+00, 1.900582318e-02, 3.026673581e-05, 7.169345455e-01, 1.141716846e-03
1.787500000e+00, 1.823385088e-02, 2.873358010e-05, 7.321745455e-01, 1.153787869e-03
1.842500000e+00, 1.758583960e-02, 2.737610493e-05, 7.502745455e-01, 1.167962130e-03
