#                 r,            density,      density error,          density A,    density error A,          density B,    density error B, radial probability,  probability error,     radial prob. A,      prob. error A,     radial prob. B,      prob. error B
 2.750000000000e-02, 6.155744906364e-02, 2.972021646879e-03, 2.984603590964e-02, 2.069450246953e-03, 3.171141315400e-02, 2.133140488787e-03, 7.800000000000e-04, 3.765875486765e-05, 3.781818181818e-04, 2.622219109428e-05, 4.018181818182e-04, 2.702921590422e-05
 8.250000000000e-02, 6.172143827194e-02, 1.124813862214e-03, 3.257235649754e-02, 8.171226158239e-04, 2.914908177439e-02, 7.729921444217e-04, 5.474545454545e-03, 9.976832667868e-05, 2.889090909091e-03, 7.247684155634e-05, 2.585454545455e-03, 6.856257321805e-05
 1.375000000000e-01, 6.148192771772e-02, 6.814101504468e-04, 3.026895544683e-02, 4.781163305195e-04, 3.121297227089e-02, 4.855147450103e-04, 1.480181818182e-02, 1.640499823048e-04, 7.287272727273e-03, 1.151068493916e-04, 7.514545454545e-03, 1.168880229851e-04
 1.925000000000e-01, 6.229817058895e-02, 4.915282074872e-04, 3.138177268462e-02, 3.488586816129e-04, 3.091639790433e-02, 3.462623268837e-04, 2.920727272727e-02, 2.304433384401e-04, 1.471272727273e-02, 1.635555355931e-04, 1.449454545455e-02, 1.623382857131e-04
 2.475000000000e-01, 6.104935135270e-02, 3.789546762516e-04, 2.982251286747e-02, 2.648615162494e-04, 3.122683848522e-02, 2.710258730510e-04, 4.718727272727e-02, 2.929079058720e-04, 2.305090909091e-02, 2.047211366754e-04, 2.413636363636e-02, 2.094857931237e-04
 3.025000000000e-01, 6.037798821937e-02, 3.085533628970e-04, 2.949755884202e-02, 2.156671518695e-04, 3.088042937735e-02, 2.206645811170e-04, 6.962000000000e-02, 3.557833866018e-04, 3.401272727273e-02, 2.486791553670e-04, 3.560727272727e-02, 2.544415372296e-04
 3.575000000000e-01, 5.952372463007e-02, 2.593312480182e-04, 2.911502496046e-02, 1.813712240533e-04, 3.040869966960e-02, 1.853568862602e-04, 9.578727272727e-02, 4.173232292671e-04, 4.685272727273e-02, 2.918677386412e-04, 4.893454545455e-02, 2.982815797639e-04
 4.125000000000e-01, 6.026009065246e-02, 2.261951033552e-04, 3.037075285867e-02, 1.605817134621e-04, 2.988933779379e-02, 1.593039173512e-04, 1.290418181818e-01, 4.843774226812e-04, 6.503636363636e-02, 3.438719731009e-04, 6.400545454545e-02, 3.411356822717e-04
 4.675000000000e-01, 5.885757834805e-02, 1.972799680355e-04, 2.947243146333e-02, 1.396014012054e-04, 2.938514688472e-02, 1.393945284778e-04, 1.618363636364e-01, 5.424462497652e-04, 8.103818181818e-02, 3.838517275724e-04, 8.079818181818e-02, 3.832829048157e-04
 5.225000000000e-01, 5.949986860053e-02, 1.774945485599e-04, 2.985238973506e-02, 1.257235302016e-04, 2.964747886547e-02, 1.252912954763e-04, 2.043145454545e-01, 6.094924049859e-04, 1.025090909091e-01, 4.317176916565e-04, 1.018054545455e-01, 4.302334557496e-04
 5.775000000000e-01, 5.884543418085e-02, 1.597180686657e-04, 2.930502015297e-02, 1.127116159730e-04, 2.954041402787e-02, 1.131633910903e-04, 2.468054545455e-01, 6.698784890431e-04, 1.229090909091e-01, 4.727272727273e-04, 1.238963636364e-01, 4.746220767121e-04
 6.325000000000e-01, 5.782416451473e-02, 1.445676398495e-04, 2.908774072293e-02, 1.025348269850e-04, 2.873642379181e-02, 1.019137466038e-04, 2.908800000000e-01, 7.272363627272e-04, 1.463236363636e-01, 5.157935393223e-04, 1.445563636364e-01, 5.126692423640e-04
 6.875000000000e-01, 5.631285389836e-02, 1.312589750138e-04, 2.804062486833e-02, 9.262305119354e-05, 2.827222903004e-02, 9.300477895926e-05, 3.346527272727e-01, 7.800381427419e-04, 1.666381818182e-01, 5.504348393740e-04, 1.680145454545e-01, 5.527033487645e-04
 7.425000000000e-01, 5.558121163138e-02, 1.207485718558e-04, 2.786287573986e-02, 8.549308071172e-05, 2.771833589151e-02, 8.527104289054e-05, 3.852381818182e-01, 8.369187880859e-04, 1.931200000000e-01, 5.925599317599e-04, 1.921181818182e-01, 5.910209684300e-04
 7.975000000000e-01, 5.519997599033e-02, 1.120382781789e-04, 2.752016995143e-02, 7.910838842447e-05, 2.767980603890e-02, 7.933749843663e-05, 4.413490909091e-01, 8.957973501646e-04, 2.200363636364e-01, 6.325077989262e-04, 2.213127272727e-01, 6.343396384111e-04
 8.525000000000e-01, 5.394289675956e-02, 1.036122634245e-04, 2.697065231566e-02, 7.326385286384e-05, 2.697224444390e-02, 7.326601528331e-05, 4.928145454545e-01, 9.465867346847e-04, 2.464000000000e-01, 6.693280212273e-04, 2.464145454545e-01, 6.693477767805e-04
 9.075000000000e-01, 5.329084741246e-02, 9.674464737413e-05, 2.678355751686e-02, 6.858588763137e-05, 2.650728989560e-02, 6.823124514005e-05, 5.516818181818e-01, 1.001527758597e-03, 2.772709090909e-01, 7.100203698626e-04, 2.744109090909e-01, 7.063490111976e-04
 9.625000000000e-01, 5.255610997124e-02, 9.058692377226e-05, 2.650047315625e-02, 6.432513694905e-05, 2.605563681498e-02, 6.378297198318e-05, 6.120018181818e-01, 1.054860454521e-03, 3.085909090909e-01, 7.490489838223e-04, 3.034109090909e-01, 7.427356180682e-04
 1.017500000000e+00, 5.135229444565e-02, 8.470447708732e-05, 2.583738198726e-02, 6.008287314220e-05, 2.551491245839e-02, 5.970675668309e-05, 6.682581818182e-01, 1.102277132137e-03, 3.362272727273e-01, 7.818710341543e-04, 3.320309090909e-01, 7.769765517591e-04
 1.072500000000e+00, 5.049333360615e-02, 7.968670345319e-05, 2.512141124214e-02, 5.620705818862e-05, 2.537192236401e-02, 5.648661183871e-05, 7.300181818182e-01, 1.152087577020e-03, 3.631981818182e-01, 8.126255783437e-04, 3.668200000000e-01, 8.166672850956e-04
 1.127500000000e+00, 4.977290300393e-02, 7.525764147130e-05, 2.502163531007e-02, 5.335952597251e-05, 2.475126769386e-02, 5.307045871115e-05, 7.952836363636e-01, 1.202485030233e-03, 3.998018181818e-01, 8.525915767202e-04, 3.954818181818e-01, 8.479727892095e-04
 1.182500000000e+00, 4.807895789396e-02, 7.052627617618e-05, 2.397926877804e-02, 4.980711634828e-05, 2.409968911592e-02, 4.993202171300e-05, 8.449781818182e-01, 1.239485363747e-03, 4.214309090909e-01, 8.753502250693e-04, 4.235472727273e-01, 8.775454121658e-04
 1.237500000000e+00, 4.752371360127e-02, 6.700202971983e-05, 2.379288816868e-02, 4.740851542871e-05, 2.373082543259e-02, 4.734664350747e-05, 9.147072727273e-01, 1.289613946975e-03, 4.579509090909e-01, 9.124900090023e-04, 4.567563636364e-01, 9.112991362349e-04
 1.292500000000e+00, 4.584441037625e-02, 6.300769651548e-05, 2.294801097332e-02, 4.457824136518e-05, 2.289639940293e-02, 4.452808346397e-05, 9.625490909091e-01, 1.322909390774e-03, 4.818163636364e-01, 9.359646104774e-04, 4.807327272727e-01, 9.349114953471e-04
 1.347500000000e+00, 4.475319899445e-02, 5.971271897818e-05, 2.240078016582e-02, 4.224607607065e-05, 2.235241882864e-02, 4.220044862794e-05, 1.021296363636e+00, 1.362682090342e-03, 5.112000000000e-01, 9.640822296125e-04, 5.100963636364e-01, 9.630409824531e-04
 1.402500000000e+00, 4.378256547672e-02, 5.674578775289e-05, 2.191985581960e-02, 4.015150910651e-05, 2.186270965712e-02, 4.009913645163e-05, 1.082361818182e+00, 1.402829490178e-03, 5.418872727273e-01, 9.925973941014e-04, 5.404745454545e-01, 9.913026741291e-04
 1.457500000000e+00, 4.240115321147e-02, 5.373635786829e-05, 2.127147061148e-02, 3.806082093243e-05, 2.112968259999e-02, 3.793375893447e-05, 1.132025454545e+00, 1.434652605746e-03, 5.679054545455e-01, 1.016147318011e-03, 5.641200000000e-01, 1.012755018389e-03
 1.512500000000e+00, 4.088696711330e-02, 5.084952046003e-05, 2.051149770135e-02, 3.601580278102e-05, 2.037546941195e-02, 3.589617919855e-05, 1.175529090909e+00, 1.461959513747e-03, 5.897200000000e-01, 1.035479686821e-03, 5.858090909091e-01, 1.032040424604e-03
 1.567500000000e+00, 3.990821555736e-02, 4.847469120183e-05, 1.991639513940e-02, 3.424437652226e-05, 1.999182041796e-02, 3.430915859818e-05, 1.232343636364e+00, 1.496871668978e-03, 6.150072727273e-01, 1.057447417758e-03, 6.173363636364e-01, 1.059447852452e-03
 1.622500000000e+00, 3.883334796316e-02, 4.619666690880e-05, 1.943524916670e-02, 3.268159784579e-05, 1.939809879646e-02, 3.265034755908e-05, 1.284770909091e+00, 1.528380550595e-03, 6.430000000000e-01, 1.081245073557e-03, 6.417709090909e-01, 1.080211182291e-03
 1.677500000000e+00, 3.747571314674e-02, 4.389415530117e-05, 1.875027254241e-02, 3.104813622607e-05, 1.872544060434e-02, 3.102757010291e-05, 1.325329090909e+00, 1.552317382560e-03, 6.631036363636e-01, 1.098017748129e-03, 6.622254545455e-01, 1.097290426912e-03
 1.732500000000e+00, 3.620888053968e-02, 4.177628264752e-05, 1.815471257458e-02, 2.958127797746e-05, 1.805416796510e-02, 2.949925058481e-05, 1.365865454545e+00, 1.575878083970e-03, 6.848290909091e-01, 1.115860117422e-03, 6.810363636364e-01, 1.112765893566e-03
 1.787500000000e+00, 3.470089786900e-02, 3.963883642703e-05, 1.742642784112e-02, 2.809019329363e-05, 1.727447002788e-02, 2.796745240482e-05, 1.393403636364e+00, 1.591685005591e-03, 6.997527272727e-01, 1.127952873994e-03, 6.936509090909e-01, 1.123024252220e-03
 1.842500000000e+00, 3.359038513781e-02, 3.783533595525e-05, 1.682299999053e-02, 2.677576114751e-05, 1.676738514728e-02, 2.673146576262e-05, 1.433085454545e+00, 1.614190173850e-03, 7.177290909091e-01, 1.142349326376e-03, 7.153563636364e-01, 1.140459527508e-03
 1.897500000000e+00, 3.229345200079e-02, 3.602251008873e-05, 1.621270513649e-02, 2.552374976234e-05, 1.608074686429e-02, 2.541966622838e-05, 1.461229090909e+00, 1.629963240472e-03, 7.336000000000e-01, 1.154910464849e-03, 7.276290909091e-01, 1.150200844840e-03
 1.952500000000e+00, 3.097244247668e-02, 3.428436025370e-05, 1.557436110061e-02, 2.431159444057e-05, 1.539808137607e-02, 2.417361648083e-05, 1.483870909091e+00, 1.642542878417e-03, 7.461581818182e-01, 1.164753724900e-03, 7.377127272727e-01, 1.158143284645e-03
 2.007500000000e+00, 2.980902345917e-02, 3.271285596026e-05, 1.495769693363e-02, 2.317271667660e-05, 1.485132652554e-02, 2.309017425015e-05, 1.509718181818e+00, 1.656786693802e-03, 7.575527272727e-01, 1.173613477701e-03, 7.521654545455e-01, 1.169433005229e-03
 2.062500000000e+00, 2.862390040727e-02, 3.120120051482e-05, 1.432092899177e-02, 2.206950000352e-05, 1.430297141551e-02, 2.205565875599e-05, 1.530214545455e+00, 1.667995283106e-03, 7.655872727273e-01, 1.179820689556e-03, 7.646272727273e-01, 1.179080745733e-03
 2.117500000000e+00, 2.723106812433e-02, 2.964220010322e-05, 1.362134209012e-02, 2.096467076020e-05, 1.360972603421e-02, 2.095572969084e-05, 1.534425454545e+00, 1.670288736360e-03, 7.675400000000e-01, 1.181324372358e-03, 7.668854545455e-01, 1.180820557952e-03
 2.172500000000e+00, 2.609167797529e-02, 2.828090776782e-05, 1.301239566400e-02, 1.997197301916e-05, 1.307928231129e-02, 2.002323744787e-05, 1.547585454545e+00, 1.677436060044e-03, 7.718090909091e-01, 1.184605105594e-03, 7.757763636364e-01, 1.187645771827e-03
 2.227500000000e+00, 2.492151929655e-02, 2.695704204366e-05, 1.246102207766e-02, 1.906170795085e-05, 1.246049721889e-02, 1.906130650665e-05, 1.553967272727e+00, 1.680891144995e-03, 7.770000000000e-01, 1.188582042910e-03, 7.769672727273e-01, 1.188557011083e-03
 2.282500000000e+00, 2.377233361085e-02, 2.569379995511e-05, 1.188102924918e-02, 1.816433332604e-05, 1.189130436166e-02, 1.817218619082e-05, 1.556410909091e+00, 1.682212238848e-03, 7.778690909091e-01, 1.189246584194e-03, 7.785418181818e-01, 1.189760723218e-03
 2.337500000000e+00, 2.252825580191e-02, 2.442394818771e-05, 1.127593760543e-02, 1.727939042816e-05, 1.125231819648e-02, 1.726128359964e-05, 1.546894545455e+00, 1.677061578234e-03, 7.742581818182e-01, 1.186483100916e-03, 7.726363636364e-01, 1.185239802078e-03
 2.392500000000e+00, 2.138044689224e-02, 2.324666211421e-05, 1.067772457690e-02, 1.642826013789e-05, 1.070272231534e-02, 1.644747908629e-05, 1.537976363636e+00, 1.672220278898e-03, 7.680890909091e-01, 1.181746850994e-03, 7.698872727273e-01, 1.183129342601e-03
 2.447500000000e+00, 2.011691239777e-02, 2.204258617226e-05, 1.005047376677e-02, 1.558027618958e-05, 1.006643863099e-02, 1.559264567088e-05, 1.514380000000e+00, 1.659342695714e-03, 7.565890909091e-01, 1.172866799311e-03, 7.577909090909e-01, 1.173797960849e-03
 2.502500000000e+00, 1.916796811780e-02, 2.104354658315e-05, 9.523374257423e-03, 1.483290866240e-05, 9.644593860375e-03, 1.492701153648e-05, 1.508521818182e+00, 1.656130110272e-03, 7.494909090909e-01, 1.167352022229e-03, 7.590309090909e-01, 1.174757931809e-03
 2.557500000000e+00, 1.814172328213e-02, 2.003221539601e-05, 9.011171604261e-03, 1.411823291159e-05, 9.130551677873e-03, 1.421144444194e-05, 1.491201818182e+00, 1.646595285144e-03, 7.406945454545e-01, 1.160481518755e-03, 7.505072727273e-01, 1.168143260772e-03
 2.612500000000e+00, 1.706465002887e-02, 1.901945626608e-05, 8.505498703278e-03, 1.342762782667e-05, 8.559151325589e-03, 1.346991193757e-05, 1.463645454545e+00, 1.631310379333e-03, 7.295218181818e-01, 1.151695839093e-03, 7.341236363636e-01, 1.155322573108e-03
 2.667500000000e+00, 1.616917153037e-02, 1.813199065363e-05, 8.080427649988e-03, 1.281795596949e-05, 8.088743880386e-03, 1.282455027779e-05, 1.445845454545e+00, 1.621360514307e-03, 7.225509090909e-01, 1.146180145361e-03, 7.232945454545e-01, 1.146769807649e-03
 2.722500000000e+00, 1.516063332055e-02, 1.720272004268e-05, 7.567872743769e-03, 1.215417149842e-05, 7.592760576786e-03, 1.217414030041e-05, 1.412140000000e+00, 1.602350546144e-03, 7.049109090909e-01, 1.132102556462e-03, 7.072290909091e-01, 1.133962554223e-03
 2.777500000000e+00, 1.429001661009e-02, 1.637076321368e-05, 7.167982547971e-03, 1.159447343225e-05, 7.122034062116e-03, 1.155725201020e-05, 1.385367272727e+00, 1.587088399169e-03, 6.949109090909e-01, 1.124043762567e-03, 6.904563636364e-01, 1.120435275512e-03
 2.832500000000e+00, 1.343332737370e-02, 1.556427090898e-05, 6.768401076417e-03, 1.104790738828e-05, 6.664926297286e-03, 1.096313236571e-05, 1.354400000000e+00, 1.569249965603e-03, 6.824163636364e-01, 1.113892734869e-03, 6.719836363636e-01, 1.105345389348e-03
 2.887500000000e+00, 1.247078532821e-02, 1.471065691251e-05, 6.229076233721e-03, 1.039673532661e-05, 6.241709094489e-03, 1.040727252194e-05, 1.306654545455e+00, 1.541342122045e-03, 6.526654545455e-01, 1.089341297670e-03, 6.539890909091e-01, 1.090445355981e-03
 2.942500000000e+00, 1.167284905209e-02, 1.396623561281e-05, 5.799311153776e-03, 9.844170682237e-06, 5.873537898313e-03, 9.906969303043e-06, 1.270083636364e+00, 1.519619352077e-03, 6.310036363636e-01, 1.071111263522e-03, 6.390800000000e-01, 1.077944171265e-03
 2.997500000000e+00, 1.096040166228e-02, 1.328500353226e-05, 5.467342879176e-03, 9.382889349888e-06, 5.493058783108e-03, 9.404929893408e-06, 1.237561818182e+00, 1.500037465097e-03, 6.173290909091e-01, 1.059441611853e-03, 6.202327272727e-01, 1.061930255605e-03
 3.052500000000e+00, 1.016668097328e-02, 1.256440057087e-05, 5.050585013147e-03, 8.855702509819e-06, 5.116095960130e-03, 8.912950957057e-06, 1.190452727273e+00, 1.471210217519e-03, 5.913909090909e-01, 1.036945610120e-03, 5.990618181818e-01, 1.043649033816e-03
 3.107500000000e+00, 9.543627832006e-03, 1.195786551847e-05, 4.753752115150e-03, 8.439470184667e-06, 4.789875716857e-03, 8.471475123019e-06, 1.158129090909e+00, 1.451099326786e-03, 5.768727272727e-01, 1.024138420396e-03, 5.812563636364e-01, 1.028022252710e-03
 3.162500000000e+00, 8.832112147832e-03, 1.130342360552e-05, 4.412128491872e-03, 7.989172378229e-06, 4.419983655960e-03, 7.996281005366e-06, 1.110060000000e+00, 1.420665657039e-03, 5.545363636364e-01, 1.004115498279e-03, 5.555236363636e-01, 1.005008942849e-03
 3.217500000000e+00, 8.217451390143e-03, 1.071663531370e-05, 4.103547624412e-03, 7.573028986458e-06, 4.113903765732e-03, 7.582579008298e-06, 1.069041818182e+00, 1.394170863522e-03, 5.338472727273e-01, 9.852062753346e-04, 5.351945454545e-01, 9.864486766860e-04
 3.272500000000e+00, 7.602986532783e-03, 1.013493732408e-05, 3.798156276688e-03, 7.163336812156e-06, 3.804830256095e-03, 7.169627624820e-06, 1.023207272727e+00, 1.363956326099e-03, 5.111545454545e-01, 9.640393668448e-04, 5.120527272727e-01, 9.648859822164e-04
 3.327500000000e+00, 7.043085233312e-03, 9.593391926203e-06, 3.503869273728e-03, 6.766508982269e-06, 3.539215959584e-03, 6.800553274743e-06, 9.799836363636e-01, 1.334836480529e-03, 4.875327272727e-01, 9.415004729132e-04, 4.924509090909e-01, 9.462374380969e-04
 3.382500000000e+00, 6.505596559658e-03, 9.070154760530e-06, 3.265658938746e-03, 6.426234161392e-06, 3.239937620912e-03, 6.400876649563e-06, 9.353672727273e-01, 1.304096533465e-03, 4.695327272727e-01, 9.239566373854e-04, 4.658345454545e-01, 9.203107631808e-04
 3.437500000000e+00, 6.015693763522e-03, 8.582409723989e-06, 2.992572159500e-03, 6.053251239421e-06, 3.023121604022e-03, 6.084069863411e-06, 8.932854545455e-01, 1.274423544941e-03, 4.443745454545e-01, 8.988624583374e-04, 4.489109090909e-01, 9.034387931081e-04
 3.492500000000e+00, 5.550298260855e-03, 8.113924862341e-06, 2.774348468064e-03, 5.736583578002e-06, 2.775949792791e-03, 5.738238887003e-06, 8.507618181818e-01, 1.243720092875e-03, 4.252581818182e-01, 8.793160377332e-04, 4.255036363636e-01, 8.795697671058e-04
 3.547500000000e+00, 5.099772361289e-03, 7.657065549745e-06, 2.556111654305e-03, 5.420968450523e-06, 2.543660706984e-03, 5.407749429433e-06, 8.065181818182e-01, 1.210948675302e-03, 4.042436363636e-01, 8.573146620419e-04, 4.022745454545e-01, 8.552241018954e-04
 3.602500000000e+00, 4.681063095790e-03, 7.224000434922e-06, 2.337454600198e-03, 5.104780917679e-06, 2.343608495591e-03, 5.111496264917e-06, 7.634327272727e-01, 1.178159371279e-03, 3.812145454545e-01, 8.325366991142e-04, 3.822181818182e-01, 8.336319024368e-04
 3.657500000000e+00, 4.248875778028e-03, 6.778948172195e-06, 2.111908017107e-03, 4.779283532661e-06, 2.136967760920e-03, 4.807555224410e-06, 7.142672727273e-01, 1.139591053227e-03, 3.550272727273e-01, 8.034327179244e-04, 3.592400000000e-01, 8.081853972720e-04
 3.712500000000e+00, 3.922334170464e-03, 6.416756882080e-06, 1.961492508253e-03, 4.537708736300e-06, 1.960841662211e-03, 4.536955841556e-06, 6.793527272727e-01, 1.111389570250e-03, 3.397327272727e-01, 7.859363000706e-04, 3.396200000000e-01, 7.858058978469e-04
 3.767500000000e+00, 3.608741135692e-03, 6.065051191759e-06, 1.811811649525e-03, 4.297472731585e-06, 1.796929486167e-03, 4.279786686265e-06, 6.436945454545e-01, 1.081828876952e-03, 3.231745454545e-01, 7.665442470234e-04, 3.205200000000e-01, 7.633895705101e-04
 3.822500000000e+00, 3.300688800842e-03, 5.716954986080e-06, 1.649096742550e-03, 4.040969288432e-06, 1.651592058293e-03, 4.044025410753e-06, 6.060618181818e-01, 1.049728811890e-03, 3.028018181818e-01, 7.419897306099e-04, 3.032600000000e-01, 7.425508859208e-04
 3.877500000000e+00, 3.015197459896e-03, 5.386617718337e-06, 1.497831248517e-03, 3.796555206374e-06, 1.517366211379e-03, 3.821232655630e-06, 5.696872727273e-01, 1.017740163953e-03, 2.829981818182e-01, 7.173159337142e-04, 2.866890909091e-01, 7.219784571315e-04
 3.932500000000e+00, 2.729015070556e-03, 5.052943234284e-06, 1.376029255384e-03, 3.588023559526e-06, 1.352985815172e-03, 3.557853603675e-06, 5.303472727273e-01, 9.819713685210e-04, 2.674127272727e-01, 6.972839871083e-04, 2.629345454545e-01, 6.914208630909e-04
 3.987500000000e+00, 2.484909941439e-03, 4.755157556106e-06, 1.243806251571e-03, 3.364232114203e-06, 1.241103689868e-03, 3.360575198558e-06, 4.965109090909e-01, 9.501300476451e-04, 2.485254545455e-01, 6.722086452954e-04, 2.479854545455e-01, 6.714779554297e-04
 4.042500000000e+00, 2.256069618677e-03, 4.469270013691e-06, 1.134369571708e-03, 3.169112301920e-06, 1.121700046969e-03, 3.151365049164e-06, 4.633072727273e-01, 9.178109061806e-04, 2.329545454545e-01, 6.508100483307e-04, 2.303527272727e-01, 6.471654660872e-04
 4.097500000000e+00, 2.055514512705e-03, 4.208736868807e-06, 1.025589946572e-03, 2.972886837720e-06, 1.029924566133e-03, 2.979162614053e-06, 4.336854545455e-01, 8.879859279653e-04, 2.163854545455e-01, 6.272384707379e-04, 2.173000000000e-01, 6.285625737275e-04
 4.152500000000e+00, 1.855987972756e-03, 3.946285360511e-06, 9.252502045979e-04, 2.786316857704e-06, 9.307377681584e-04, 2.794567321619e-06, 4.021709090909e-01, 8.551139308366e-04, 2.004909090909e-01, 6.037623088765e-04, 2.016800000000e-01, 6.055500880116e-04
 4.207500000000e+00, 1.698626783583e-03, 3.725936854302e-06, 8.419251441546e-04, 2.623150730142e-06, 8.567016394285e-04, 2.646069857204e-06, 3.778872727273e-01, 8.288955112649e-04, 1.873000000000e-01, 5.835627254593e-04, 1.905872727273e-01, 5.886614596265e-04
 4.262500000000e+00, 1.521801014102e-03, 3.481170167089e-06, 7.551271204028e-04, 2.452202622709e-06, 7.666738936990e-04, 2.470880011132e-06, 3.474581818182e-01, 7.948220862308e-04, 1.724109090909e-01, 5.598878281989e-04, 1.750472727273e-01, 5.641522565718e-04
 4.317500000000e+00, 1.367534012185e-03, 3.257973209621e-06, 6.827269382249e-04, 2.301982194112e-06, 6.848070739605e-04, 2.305486372244e-06, 3.203454545455e-01, 7.631816828199e-04, 1.599290909091e-01, 5.392403594773e-04, 1.604163636364e-01, 5.400612147734e-04
 4.372500000000e+00, 1.211750171892e-03, 3.028221140415e-06, 6.055875145535e-04, 2.140767477504e-06, 6.061626573388e-04, 2.141783808539e-06, 2.911309090909e-01, 7.275499471650e-04, 1.454963636364e-01, 5.143333967138e-04, 1.456345454545e-01, 5.145775768965e-04
 4.427500000000e+00, 1.091335697069e-03, 2.838125145268e-06, 5.477676923458e-04, 2.010715231740e-06, 5.435680047228e-04, 2.002992410632e-06, 2.688381818182e-01, 6.991399675422e-04, 1.349363636364e-01, 4.953169116588e-04, 1.339018181818e-01, 4.934144821949e-04
 4.482500000000e+00, 1.000279032961e-03, 2.683807013546e-06, 5.045608143254e-04, 1.906107807117e-06, 4.957182186355e-04, 1.889331393274e-06, 2.525672727273e-01, 6.776527304900e-04, 1.274000000000e-01, 4.812861556666e-04, 1.251672727273e-01, 4.770501645573e-04
 4.537500000000e+00, 8.879633343725e-04, 2.497997176815e-06, 4.426640473476e-04, 1.763727765316e-06, 4.452992870249e-04, 1.768969831634e-06, 2.297436363636e-01, 6.463092932020e-04, 1.145309090909e-01, 4.563310383142e-04, 1.152127272727e-01, 4.576873233447e-04
 4.592500000000e+00, 8.058095476550e-04, 2.351138251960e-06, 4.021330241650e-04, 1.660912803113e-06, 4.036765234901e-04, 1.664097274886e-06, 2.135727272727e-01, 6.231484972194e-04, 1.065818181818e-01, 4.402103178788e-04, 1.069909090909e-01, 4.410543340903e-04
 4.647500000000e+00, 7.125896078866e-04, 2.184799223343e-06, 3.538196738884e-04, 1.539510940102e-06, 3.587699339982e-04, 1.550243113717e-06, 1.934163636364e-01, 5.930144312767e-04, 9.603636363636e-02, 4.178654930093e-04, 9.738000000000e-02, 4.207784992779e-04
 4.702500000000e+00, 6.373490567510e-04, 2.042072314356e-06, 3.218150813591e-04, 1.451060900641e-06, 3.155339753919e-04, 1.436830400461e-06, 1.771127272727e-01, 5.674708278809e-04, 8.942909090909e-02, 4.032348535375e-04, 8.768363636364e-02, 3.992803443552e-04
 4.757500000000e+00, 5.644247446716e-04, 1.899483522067e-06, 2.791951520825e-04, 1.335938433802e-06, 2.852295925891e-04, 1.350298541691e-06, 1.605381818182e-01, 5.402662337272e-04, 7.941090909091e-02, 3.799782507913e-04, 8.112727272727e-02, 3.840626670628e-04
 4.812500000000e+00, 4.957417898559e-04, 1.759820540515e-06, 2.481926226348e-04, 1.245188357405e-06, 2.475491672211e-04, 1.243573194228e-06, 1.442818181818e-01, 5.121821731693e-04, 7.223454545455e-02, 3.624024519648e-04, 7.204727272727e-02, 3.619323711998e-04
 4.867500000000e+00, 4.488835554241e-04, 1.655664360903e-06, 2.304447235257e-04, 1.186284448115e-06, 2.184388318983e-04, 1.154969126914e-06, 1.336472727273e-01, 4.929452721371e-04, 6.861090909091e-02, 3.531955654280e-04, 6.503636363636e-02, 3.438719731009e-04
 4.922500000000e+00, 4.017210149889e-04, 1.548773877765e-06, 2.002753435557e-04, 1.093552107988e-06, 2.014456714332e-04, 1.096742591296e-06, 1.223236363636e-01, 4.716000546758e-04, 6.098363636364e-02, 3.329854934422e-04, 6.134000000000e-02, 3.339569923318e-04
