#              p[0],               p[1],               p[2],             energy,               error
 1.500000000000e+00, 1.000000000000e+00, 8.000000000000e-01, 3.960759352422e-01, 3.271604788847e-03
 1.500000000000e+00, 1.000000000000e+00, 8.777777777778e-01, 2.901184241549e-01, 1.407471572915e-03
 1.500000000000e+00, 1.000000000000e+00, 9.555555555556e-01, 2.556109096559e-01, 7.157644487760e-04
 1.500000000000e+00, 1.000000000000e+00, 1.033333333333e+00, 2.483279108373e-01, 4.839227899107e-04
 1.500000000000e+00, 1.000000000000e+00, 1.111111111111e+00, 2.555280025962e-01, 4.943024595071e-04
 1.500000000000e+00, 1.000000000000e+00, 1.188888888889e+00, 2.672489962537e-01, 5.223220231136e-04
 1.500000000000e+00, 1.000000000000e+00, 1.266666666667e+00, 2.758043727846e-01, 5.429352525273e-04
 1.500000000000e+00, 1.000000000000e+00, 1.344444444444e+00, 2.861119553526e-01, 5.885763268374e-04
 1.500000000000e+00, 1.000000000000e+00, 1.422222222222e+00, 2.941502370389e-01, 6.026966092173e-04
 1.888888888889e+00, 1.000000000000e+00, 8.000000000000e-01, 2.741028362085e-01, 2.131233130737e-03
 1.888888888889e+00, 1.000000000000e+00, 8.777777777778e-01, 2.144780852643e-01, 8.710777254403e-04
 1.888888888889e+00, 1.000000000000e+00, 9.555555555556e-01, 1.999200480736e-01, 4.552881801295e-04
 1.888888888889e+00, 1.000000000000e+00, 1.033333333333e+00, 2.027981377001e-01, 3.592514195980e-04
 1.888888888889e+00, 1.000000000000e+00, 1.111111111111e+00, 2.091678298993e-01, 3.481927696647e-04
 1.888888888889e+00, 1.000000000000e+00, 1.188888888889e+00, 2.163895644683e-01, 3.756410582528e-04
 1.888888888889e+00, 1.000000000000e+00, 1.266666666667e+00, 2.268673587322e-01, 3.970945268857e-04
 1.888888888889e+00, 1.000000000000e+00, 1.344444444444e+00, 2.343398248478e-01, 4.176640897021e-04
 1.888888888889e+00, 1.000000000000e+00, 1.422222222222e+00, 2.433431967442e-01, 4.511664099183e-04
 2.277777777778e+00, 1.000000000000e+00, 8.000000000000e-01, 2.092184404230e-01, 1.382740508551e-03
 2.277777777778e+00, 1.000000000000e+00, 8.777777777778e-01, 1.801970314821e-01, 6.196866772386e-04
 2.277777777778e+00, 1.000000000000e+00, 9.555555555556e-01, 1.699364806399e-01, 3.088466412490e-04
 2.277777777778e+00, 1.000000000000e+00, 1.033333333333e+00, 1.761081069591e-01, 2.538283710610e-04
 2.277777777778e+00, 1.000000000000e+00, 1.111111111111e+00, 1.817228789390e-01, 2.627666392029e-04
 2.277777777778e+00, 1.000000000000e+00, 1.188888888889e+00, 1.904938077806e-01, 2.783363744220e-04
 2.277777777778e+00, 1.000000000000e+00, 1.266666666667e+00, 1.988659476481e-01, 2.998860342885e-04
 2.277777777778e+00, 1.000000000000e+00, 1.344444444444e+00, 2.039964254391e-01, 3.227305506026e-04
 2.277777777778e+00, 1.000000000000e+00, 1.422222222222e+00, 2.117530092370e-01, 3.483726515547e-04
 2.666666666667e+00, 1.000000000000e+00, 8.000000000000e-01, 1.781704668696e-01, 1.012423609019e-03
 2.666666666667e+00, 1.000000000000e+00, 8.777777777778e-01, 1.589461660800e-01, 4.241416749014e-04
 2.666666666667e+00, 1.000000000000e+00, 9.555555555556e-01, 1.587403214619e-01, 2.447057660683e-04
 2.666666666667e+00, 1.000000000000e+00, 1.033333333333e+00, 1.618762207823e-01, 1.874463155975e-04
 2.666666666667e+00, 1.000000000000e+00, 1.111111111111e+00, 1.676170873667e-01, 1.975518582681e-04
 2.666666666667e+00, 1.000000000000e+00, 1.188888888889e+00, 1.742786282989e-01, 2.232243339216e-04
 2.666666666667e+00, 1.000000000000e+00, 1.266666666667e+00, 1.807745425230e-01, 2.312459109028e-04
 2.666666666667e+00, 1.000000000000e+00, 1.344444444444e+00, 1.884575313253e-01, 2.529001622598e-04
 2.666666666667e+00, 1.000000000000e+00, 1.422222222222e+00, 1.927264396213e-01, 2.568703858901e-04
 3.055555555556e+00, 1.000000000000e+00, 8.000000000000e-01, 1.646341468352e-01, 7.800175995864e-04
 3.055555555556e+00, 1.000000000000e+00, 8.777777777778e-01, 1.495267828470e-01, 3.049958432742e-04
 3.055555555556e+00, 1.000000000000e+00, 9.555555555556e-01, 1.502975730814e-01, 1.660790809829e-04
 3.055555555556e+00, 1.000000000000e+00, 1.033333333333e+00, 1.532633717368e-01, 1.327530239511e-04
 3.055555555556e+00, 1.000000000000e+00, 1.111111111111e+00, 1.590378972659e-01, 1.409433919661e-04
 3.055555555556e+00, 1.000000000000e+00, 1.188888888889e+00, 1.652665461746e-01, 1.544733315380e-04
 3.055555555556e+00, 1.000000000000e+00, 1.266666666667e+00, 1.706345171115e-01, 1.705869712824e-04
 3.055555555556e+00, 1.000000000000e+00, 1.344444444444e+00, 1.759155270045e-01, 1.857258515236e-04
 3.055555555556e+00, 1.000000000000e+00, 1.422222222222e+00, 1.806625637394e-01, 1.996443365402e-04
 3.444444444444e+00, 1.000000000000e+00, 8.000000000000e-01, 1.561973193507e-01, 6.076847712723e-04
 3.444444444444e+00, 1.000000000000e+00, 8.777777777778e-01, 1.473467367173e-01, 2.357398465900e-04
 3.444444444444e+00, 1.000000000000e+00, 9.555555555556e-01, 1.478986213536e-01, 1.160960355275e-04
 3.444444444444e+00, 1.000000000000e+00, 1.033333333333e+00, 1.514233489585e-01, 8.780511884253e-05
 3.444444444444e+00, 1.000000000000e+00, 1.111111111111e+00, 1.557671651967e-01, 9.363377297945e-05
 3.444444444444e+00, 1.000000000000e+00, 1.188888888889e+00, 1.607122673219e-01, 1.095856255907e-04
 3.444444444444e+00, 1.000000000000e+00, 1.266666666667e+00, 1.662137461094e-01, 1.283010614509e-04
 3.444444444444e+00, 1.000000000000e+00, 1.344444444444e+00, 1.693925332176e-01, 1.366079751347e-04
 3.444444444444e+00, 1.000000000000e+00, 1.422222222222e+00, 1.745521553093e-01, 1.522814887255e-04
 3.833333333333e+00, 1.000000000000e+00, 8.000000000000e-01, 1.547770793509e-01, 4.820996508860e-04
 3.833333333333e+00, 1.000000000000e+00, 8.777777777778e-01, 1.480175620369e-01, 1.792756041305e-04
 3.833333333333e+00, 1.000000000000e+00, 9.555555555556e-01, 1.487549878186e-01, 7.676795816287e-05
 3.833333333333e+00, 1.000000000000e+00, 1.033333333333e+00, 1.524488056032e-01, 5.427702421265e-05
 3.833333333333e+00, 1.000000000000e+00, 1.111111111111e+00, 1.563480472463e-01, 5.841982826823e-05
 3.833333333333e+00, 1.000000000000e+00, 1.188888888889e+00, 1.601633694560e-01, 7.277879440075e-05
 3.833333333333e+00, 1.000000000000e+00, 1.266666666667e+00, 1.642435020097e-01, 8.733359073475e-05
 3.833333333333e+00, 1.000000000000e+00, 1.344444444444e+00, 1.679249823505e-01, 1.012592740617e-04
