#              p[0],             energy,               error
 3.000000000000e-01, 3.399446536607e+00, 1.568017737811e-03
 3.500000000000e-01, 3.193609422647e+00, 1.078150908812e-03
 4.000000000000e-01, 3.074363845332e+00, 6.382284396300e-04
 4.500000000000e-01, 3.016626941830e+00, 3.122141363256e-04
 5.000000000000e-01, 3.000000000000e+00,6.384388442279e-162
 5.500000000000e-01, 3.013134958581e+00, 2.809966490379e-04
 6.000000000000e-01, 3.050480441561e+00, 5.436730594125e-04
 6.500000000000e-01, 3.104912719197e+00, 7.792431430612e-04
 7.000000000000e-01, 3.173258617089e+00, 9.922659450962e-04
 7.500000000000e-01, 3.250837423441e+00, 1.227347758899e-03
