#              p[0],             energy,               error
 2.000000000000e+00, 3.749326794604e-01, 2.851480510434e-04
 2.500000000000e+00, 3.335758297595e-01, 1.861844676887e-04
 3.000000000000e+00, 3.122258538791e-01, 1.124252058509e-04
 3.500000000000e+00, 3.026670255323e-01, 5.260527382261e-05
 4.000000000000e+00, 2.999989288963e-01, 1.424048069015e-09
 4.500000000000e+00, 3.020799093573e-01, 4.772339868640e-05
 5.000000000000e+00, 3.076659550481e-01, 9.468954224946e-05
 5.500000000000e+00, 3.152080437647e-01, 1.343086327457e-04
 6.000000000000e+00, 3.249781680843e-01, 1.752281785754e-04
 6.500000000000e+00, 3.362496038149e-01, 2.141480879257e-04
