#                p[0],                 p[1],                 p[2],               energy,             variance,                error
  2.6000000000000e+00,  1.0000000000000e+00,  8.4000000000000e-01,  1.7487625592875e+00,  5.6532432140633e+02,  1.7781449694614e-02
  2.6000000000000e+00,  1.0000000000000e+00,  8.8000000000000e-01,  1.0629011586433e+00,  1.7792377465727e+02,  9.5368792693714e-03
  2.6000000000000e+00,  1.0000000000000e+00,  9.2000000000000e-01,  6.7549051251125e-01,  6.6712842674662e+01,  5.9991276315908e-03
  2.6000000000000e+00,  1.0000000000000e+00,  9.6000000000000e-01,  4.5491183115401e-01,  2.4349399534849e+01,  3.5916221868659e-03
  2.6000000000000e+00,  1.0000000000000e+00,  1.0000000000000e+00,  3.4199114537709e-01,  1.0450861501040e+01,  2.3894980958722e-03
  2.6000000000000e+00,  1.0000000000000e+00,  1.0400000000000e+00,  2.7399895051715e-01,  4.9776498149191e+00,  1.6922448968264e-03
  2.6000000000000e+00,  1.0000000000000e+00,  1.0800000000000e+00,  2.4411455288779e-01,  3.2138391610942e+00,  1.3135846164953e-03
  2.6000000000000e+00,  1.0000000000000e+00,  1.1200000000000e+00,  2.3826097648859e-01,  3.0883451188869e+00,  1.3029946345905e-03
  2.6000000000000e+00,  1.0000000000000e+00,  1.1600000000000e+00,  2.4321157374882e-01,  2.9031019879034e+00,  1.2570713695760e-03
  2.6000000000000e+00,  1.0000000000000e+00,  1.2000000000000e+00,  2.5676170726529e-01,  3.2676810931085e+00,  1.3483377742412e-03
  2.6000000000000e+00,  1.0400000000000e+00,  8.4000000000000e-01,  1.6959456516386e+00,  5.4640682343864e+02,  1.7419701951698e-02
  2.6000000000000e+00,  1.0400000000000e+00,  8.8000000000000e-01,  1.0180647855454e+00,  1.6500107201322e+02,  9.4002793833861e-03
  2.6000000000000e+00,  1.0400000000000e+00,  9.2000000000000e-01,  6.5322054204464e-01,  7.0572300373538e+01,  5.9746667565699e-03
  2.6000000000000e+00,  1.0400000000000e+00,  9.6000000000000e-01,  4.2951772879439e-01,  2.2046015040722e+01,  3.5021395304123e-03
