##               p[0],,                p[1],,                p[2],,               energy,             variance,                error
  1.8000000000000e+00,  9.5000000000000e-01,  9.5000000000000e-01,  6.4326470898912e+00,  7.1570894654181e+02,  1.2832369636932e-01
  1.8000000000000e+00,  9.5000000000000e-01,  1.0000000000000e+00,  3.8452549532107e+00,  3.7110257531934e+02,  8.9182295938402e-02
  1.8000000000000e+00,  9.5000000000000e-01,  1.0500000000000e+00,  2.9134474091427e+00,  2.9939226503620e+02,  7.6371108546271e-02
  1.8000000000000e+00,  9.5000000000000e-01,  1.1000000000000e+00,  2.6355594143757e+00,  3.1218477688042e+02,  7.3874624145506e-02
  1.8000000000000e+00,  9.5000000000000e-01,  1.1500000000000e+00,  2.5731340195788e+00,  3.1983376606655e+02,  8.2201707503703e-02
  1.8000000000000e+00,  1.0000000000000e+00,  9.5000000000000e-01,  4.3010436737542e+00,  4.3953340918637e+02,  9.2187919381691e-02
  1.8000000000000e+00,  1.0000000000000e+00,  1.0000000000000e+00,  2.1216112157953e+00,  1.6783487565494e+02,  5.5634042048974e-02
  1.8000000000000e+00,  1.0000000000000e+00,  1.0500000000000e+00,  1.1283120044104e+00,  9.5627646968634e+01,  4.2958083380079e-02
  1.8000000000000e+00,  1.0000000000000e+00,  1.1000000000000e+00,  7.4347875947866e-01,  6.9529508785368e+01,  3.8438277087704e-02
  1.8000000000000e+00,  1.0000000000000e+00,  1.1500000000000e+00,  7.1560653799645e-01,  8.2509833860353e+01,  3.9951373003549e-02
  1.8000000000000e+00,  1.0500000000000e+00,  9.5000000000000e-01,  3.4435125073188e+00,  3.8346778724824e+02,  8.5534012476321e-02
  1.8000000000000e+00,  1.0500000000000e+00,  1.0000000000000e+00,  1.2701731602075e+00,  1.0253691506883e+02,  4.2169822351238e-02
  1.8000000000000e+00,  1.0500000000000e+00,  1.0500000000000e+00,  3.1126803922007e-01,  3.0445663671384e+01,  2.3974548010400e-02
  1.8000000000000e+00,  1.0500000000000e+00,  1.1000000000000e+00, -7.8429927071674e-02,  1.4898253391199e+01,  1.6284248135583e-02
  1.8000000000000e+00,  1.0500000000000e+00,  1.1500000000000e+00, -1.0906610324297e-01,  1.3837729459540e+01,  1.5577256407591e-02
