#              p[0],               p[1],               p[2],             energy,               error
 3.100000000000e+00, 1.000000000000e+00, 9.300000000000e-01, 1.480674147974e-01, 1.274721695649e-04
 3.100000000000e+00, 1.000000000000e+00, 9.637500000000e-01, 1.506735438738e-01, 1.086910612601e-04
 3.100000000000e+00, 1.000000000000e+00, 9.975000000000e-01, 1.514484693160e-01, 9.364599705966e-05
 3.100000000000e+00, 1.000000000000e+00, 1.031250000000e+00, 1.531729440554e-01, 8.887538200554e-05
 3.100000000000e+00, 1.000000000000e+00, 1.065000000000e+00, 1.557531566322e-01, 9.015895376911e-05
 3.100000000000e+00, 1.000000000000e+00, 1.098750000000e+00, 1.580164275861e-01, 9.369667654045e-05
 3.100000000000e+00, 1.000000000000e+00, 1.132500000000e+00, 1.609153171474e-01, 9.759958926745e-05
 3.100000000000e+00, 1.000000000000e+00, 1.166250000000e+00, 1.628128221087e-01, 1.025546629856e-04
 3.212500000000e+00, 1.000000000000e+00, 9.300000000000e-01, 1.485015732994e-01, 1.225454617993e-04
 3.212500000000e+00, 1.000000000000e+00, 9.637500000000e-01, 1.496138462522e-01, 9.909510928956e-05
 3.212500000000e+00, 1.000000000000e+00, 9.975000000000e-01, 1.507310329631e-01, 8.350094218583e-05
 3.212500000000e+00, 1.000000000000e+00, 1.031250000000e+00, 1.527179409259e-01, 8.000859094023e-05
 3.212500000000e+00, 1.000000000000e+00, 1.065000000000e+00, 1.545618960158e-01, 8.041584852190e-05
 3.212500000000e+00, 1.000000000000e+00, 1.098750000000e+00, 1.571919127571e-01, 8.418194356031e-05
 3.212500000000e+00, 1.000000000000e+00, 1.132500000000e+00, 1.592303064321e-01, 8.901882413703e-05
 3.212500000000e+00, 1.000000000000e+00, 1.166250000000e+00, 1.617146695874e-01, 9.426155743462e-05
 3.325000000000e+00, 1.000000000000e+00, 9.300000000000e-01, 1.481843470961e-01, 1.187584189741e-04
 3.325000000000e+00, 1.000000000000e+00, 9.637500000000e-01, 1.482015067962e-01, 8.705378039005e-05
 3.325000000000e+00, 1.000000000000e+00, 9.975000000000e-01, 1.495684097359e-01, 7.456798869294e-05
 3.325000000000e+00, 1.000000000000e+00, 1.031250000000e+00, 1.521712268457e-01, 7.169987348435e-05
 3.325000000000e+00, 1.000000000000e+00, 1.065000000000e+00, 1.537981348954e-01, 7.131048346633e-05
 3.325000000000e+00, 1.000000000000e+00, 1.098750000000e+00, 1.563717957764e-01, 7.592682032531e-05
 3.325000000000e+00, 1.000000000000e+00, 1.132500000000e+00, 1.587022847341e-01, 7.926097600020e-05
 3.325000000000e+00, 1.000000000000e+00, 1.166250000000e+00, 1.601762814966e-01, 8.619181075896e-05
 3.437500000000e+00, 1.000000000000e+00, 9.300000000000e-01, 1.472846599264e-01, 9.978775355319e-05
 3.437500000000e+00, 1.000000000000e+00, 9.637500000000e-01, 1.480492154648e-01, 7.398794592339e-05
 3.437500000000e+00, 1.000000000000e+00, 9.975000000000e-01, 1.502356054389e-01, 6.854752670180e-05
 3.437500000000e+00, 1.000000000000e+00, 1.031250000000e+00, 1.514855735726e-01, 6.208417484886e-05
 3.437500000000e+00, 1.000000000000e+00, 1.065000000000e+00, 1.532857920840e-01, 6.279065936073e-05
 3.437500000000e+00, 1.000000000000e+00, 1.098750000000e+00, 1.557492939973e-01, 6.675649438767e-05
