#              p[0],             energy,               error
 2.000000000000e+00, 1.874039229733e-01, 1.384280426767e-04
 2.500000000000e+00, 1.669589843890e-01, 9.171719610602e-05
 3.000000000000e+00, 1.562739240297e-01, 5.414069787078e-05
 3.500000000000e+00, 1.513313158818e-01, 2.609430500620e-05
 4.000000000000e+00, 1.499994640484e-01, 7.132887085536e-10
 4.500000000000e+00, 1.510432748898e-01, 2.375904991441e-05
 5.000000000000e+00, 1.537550184525e-01, 4.569387971362e-05
 5.500000000000e+00, 1.576797800762e-01, 6.761627721266e-05
 6.000000000000e+00, 1.626190867419e-01, 8.739889441719e-05
 6.500000000000e+00, 1.681122875617e-01, 1.075316864101e-04
