#                p[0],                 p[1],                 p[2],               energy,             variance,                error
  7.5000000000000e+00,  0.0000000000000e+00,  9.4000000000000e-01,  6.2106608925977e+15,  5.9387556589391e+36,  5.8196791034123e+15
  7.5000000000000e+00,  0.0000000000000e+00,  9.8000000000000e-01,  1.8523529664577e+16,  5.0548012029095e+37,  1.8368324419001e+16
  7.5000000000000e+00,  0.0000000000000e+00,  1.0200000000000e+00,  1.9659999806654e+14,  2.5376217260910e+33,  1.4649398739737e+14
  7.5000000000000e+00,  0.0000000000000e+00,  1.0600000000000e+00,  3.9036374436220e+18,  1.9957670935930e+42,  3.9020097910598e+18
  7.5000000000000e+00,  0.0000000000000e+00,  1.1000000000000e+00,  3.8239932738517e+15,  2.2693597581795e+35,  2.5181838707165e+15
  7.5000000000000e+00,  2.0666666666667e-01,  9.4000000000000e-01,  1.5938263971995e+06,  8.1907704791171e+15,  2.8648373348048e+05
  7.5000000000000e+00,  2.0666666666667e-01,  9.8000000000000e-01,  8.8239798418830e+05,  1.1945229500863e+15,  1.1978666529514e+05
  7.5000000000000e+00,  2.0666666666667e-01,  1.0200000000000e+00,  9.4400568625288e+05,  3.2353589782603e+15,  1.9902201104566e+05
  7.5000000000000e+00,  2.0666666666667e-01,  1.0600000000000e+00,  9.2338023095935e+05,  1.6777273316223e+15,  1.6271111110147e+05
  7.5000000000000e+00,  2.0666666666667e-01,  1.1000000000000e+00,  1.2124695968733e+06,  3.0384997258863e+15,  2.1917855850462e+05
  7.5000000000000e+00,  4.1333333333333e-01,  9.4000000000000e-01,  2.2373269237795e+03,  1.8112622498235e+09,  1.4392209488378e+02
  7.5000000000000e+00,  4.1333333333333e-01,  9.8000000000000e-01,  2.4830735952658e+03,  4.0856934022988e+09,  2.3172911579609e+02
  7.5000000000000e+00,  4.1333333333333e-01,  1.0200000000000e+00,  2.1432887663431e+03,  2.6465635849689e+09,  1.5820237611955e+02
  7.5000000000000e+00,  4.1333333333333e-01,  1.0600000000000e+00,  2.1868020370728e+03,  2.8725523259792e+09,  1.7831638300136e+02
  7.5000000000000e+00,  4.1333333333333e-01,  1.1000000000000e+00,  2.3379864872890e+03,  3.2265300209096e+09,  2.2574777964385e+02
  7.5000000000000e+00,  6.2000000000000e-01,  9.4000000000000e-01,  5.7415333487784e+01,  8.3443455874344e+05,  3.3607767187134e+00
  7.5000000000000e+00,  6.2000000000000e-01,  9.8000000000000e-01,  5.5395745906065e+01,  8.5345059906859e+05,  3.0703245890392e+00
  7.5000000000000e+00,  6.2000000000000e-01,  1.0200000000000e+00,  5.6661912848875e+01,  6.4090483451052e+05,  3.1314988807647e+00
  7.5000000000000e+00,  6.2000000000000e-01,  1.0600000000000e+00,  5.5466681794155e+01,  6.5372496351366e+05,  2.8241603264887e+00
  7.5000000000000e+00,  6.2000000000000e-01,  1.1000000000000e+00,  5.4327486364822e+01,  5.9637727177046e+05,  3.2023204547196e+00
  7.5000000000000e+00,  8.2666666666667e-01,  9.4000000000000e-01,  3.1269381633331e+00,  1.0848232469607e+03,  1.1512500910571e-01
  7.5000000000000e+00,  8.2666666666667e-01,  9.8000000000000e-01,  2.8814404835702e+00,  1.0486535846532e+03,  1.3064753667194e-01
  7.5000000000000e+00,  8.2666666666667e-01,  1.0200000000000e+00,  2.8528083495448e+00,  9.3887315247822e+02,  1.1028868401752e-01
  7.5000000000000e+00,  8.2666666666667e-01,  1.0600000000000e+00,  2.5869616599324e+00,  8.4193251524588e+02,  1.0522362962465e-01
  7.5000000000000e+00,  8.2666666666667e-01,  1.1000000000000e+00,  2.9895901340955e+00,  1.1012951551093e+03,  1.2853226041027e-01
  7.5000000000000e+00,  1.0333333333333e+00,  9.4000000000000e-01,  3.7835759158757e-01,  1.0386246729696e+01,  1.1445701067151e-02
  7.5000000000000e+00,  1.0333333333333e+00,  9.8000000000000e-01,  2.4820609695842e-01,  3.7440743405201e+00,  6.6119542324047e-03
  7.5000000000000e+00,  1.0333333333333e+00,  1.0200000000000e+00,  2.0878133423172e-01,  3.5981956608418e+00,  6.2308250939649e-03
  7.5000000000000e+00,  1.0333333333333e+00,  1.0600000000000e+00,  1.7951026388169e-01,  3.3177512140512e+00,  5.9652235783988e-03
  7.5000000000000e+00,  1.0333333333333e+00,  1.1000000000000e+00,  1.9361073875596e-01,  3.8663008279077e+00,  6.6474598762284e-03
  8.0000000000000e+00,  0.0000000000000e+00,  9.4000000000000e-01,  2.5212670758670e+14,  2.8260595961726e+33,  2.2521623281537e+14
  8.0000000000000e+00,  0.0000000000000e+00,  9.8000000000000e-01,  1.4819322002136e+16,  1.6984899293429e+37,  1.4508801888017e+16
  8.0000000000000e+00,  0.0000000000000e+00,  1.0200000000000e+00,  2.2374247745370e+15,  2.6374466601309e+35,  1.6622000221628e+15
  8.0000000000000e+00,  0.0000000000000e+00,  1.0600000000000e+00,  5.1414497541298e+20,  2.7717492347740e+47,  5.1413407723612e+20
  8.0000000000000e+00,  0.0000000000000e+00,  1.1000000000000e+00,  3.9009188448841e+13,  7.4648855255851e+31,  2.8826803604098e+13
  8.0000000000000e+00,  2.0666666666667e-01,  9.4000000000000e-01,  8.5302792167281e+05,  1.6295635842854e+15,  1.3125013756141e+05
  8.0000000000000e+00,  2.0666666666667e-01,  9.8000000000000e-01,  1.0463585809178e+06,  2.9706752593319e+15,  2.0150083720339e+05
  8.0000000000000e+00,  2.0666666666667e-01,  1.0200000000000e+00,  1.0538095337573e+06,  4.7861753374032e+15,  2.3629390911093e+05
  8.0000000000000e+00,  2.0666666666667e-01,  1.0600000000000e+00,  1.4145089894189e+06,  8.5707572737377e+15,  2.8049002985238e+05
  8.0000000000000e+00,  2.0666666666667e-01,  1.1000000000000e+00,  8.4482593022805e+05,  2.1012178722109e+15,  1.4221794353676e+05
  8.0000000000000e+00,  4.1333333333333e-01,  9.4000000000000e-01,  2.1527260239394e+03,  2.6120454670768e+09,  1.9528367488982e+02
  8.0000000000000e+00,  4.1333333333333e-01,  9.8000000000000e-01,  1.9175028327793e+03,  1.7342718046412e+09,  1.4788026039912e+02
  8.0000000000000e+00,  4.1333333333333e-01,  1.0200000000000e+00,  2.1793383012464e+03,  2.9583135834663e+09,  2.0544741697100e+02
  8.0000000000000e+00,  4.1333333333333e-01,  1.0600000000000e+00,  1.9162250833108e+03,  1.3277322019238e+09,  1.2843364825535e+02
