#                p[0],                 p[1],                 p[2],               energy,             variance,                error
  4.8000000000000e+00,  1.0000000000000e+00,  8.4000000000000e-01,  3.8101009475861e-01,  1.7473335307022e+00,  7.7079524778436e-04
  4.8000000000000e+00,  1.0000000000000e+00,  8.8000000000000e-01,  3.6809410603944e-01,  1.2650082407678e+00,  6.7136473098481e-04
  4.8000000000000e+00,  1.0000000000000e+00,  9.2000000000000e-01,  3.6300857797042e-01,  1.3935831652495e+00,  7.1636645977635e-04
  4.8000000000000e+00,  1.0000000000000e+00,  9.6000000000000e-01,  3.5972100138205e-01,  1.2236454253489e+00,  6.3173026069669e-04
  4.8000000000000e+00,  1.0000000000000e+00,  1.0000000000000e+00,  3.6045750038534e-01,  1.4300009951074e+00,  7.0228080998461e-04
  4.8000000000000e+00,  1.0000000000000e+00,  1.0400000000000e+00,  3.6206704332261e-01,  1.4103532265571e+00,  7.4795638889020e-04
  4.8000000000000e+00,  1.0000000000000e+00,  1.0800000000000e+00,  3.6198409718755e-01,  1.5497242156781e+00,  8.3230184843003e-04
  4.8000000000000e+00,  1.0000000000000e+00,  1.1200000000000e+00,  3.6496409662015e-01,  1.2911522303507e+00,  7.1059151195944e-04
  4.8000000000000e+00,  1.0000000000000e+00,  1.1600000000000e+00,  3.6923061814488e-01,  1.6107913962533e+00,  8.2657941484645e-04
  4.8000000000000e+00,  1.0000000000000e+00,  1.2000000000000e+00,  3.7002277728158e-01,  1.4496760962181e+00,  8.4734922443398e-04
  4.8000000000000e+00,  1.0400000000000e+00,  8.4000000000000e-01,  3.6678766908083e-01,  5.2800028761716e-01,  4.6556640480942e-04
  4.8000000000000e+00,  1.0400000000000e+00,  8.8000000000000e-01,  3.5601641580617e-01,  4.1729240428445e-01,  4.2546117784179e-04
  4.8000000000000e+00,  1.0400000000000e+00,  9.2000000000000e-01,  3.5028205035810e-01,  4.4825998320681e-01,  4.0666631870086e-04
  4.8000000000000e+00,  1.0400000000000e+00,  9.6000000000000e-01,  3.4740866325515e-01,  4.7381219139681e-01,  4.3396722610449e-04
  4.8000000000000e+00,  1.0400000000000e+00,  1.0000000000000e+00,  3.4884441887125e-01,  5.3584125747519e-01,  4.3999243477910e-04
  4.8000000000000e+00,  1.0400000000000e+00,  1.0400000000000e+00,  3.4961856460052e-01,  5.2272818949160e-01,  3.9404955844782e-04
  4.8000000000000e+00,  1.0400000000000e+00,  1.0800000000000e+00,  3.5102532152189e-01,  5.2566933686974e-01,  4.3493733129289e-04
  4.8000000000000e+00,  1.0400000000000e+00,  1.1200000000000e+00,  3.5375077782386e-01,  5.2085286978648e-01,  4.5094103108461e-04
  4.8000000000000e+00,  1.0400000000000e+00,  1.1600000000000e+00,  3.5708204008583e-01,  5.4535583175074e-01,  4.6876558844788e-04
  4.8000000000000e+00,  1.0400000000000e+00,  1.2000000000000e+00,  3.5888814260024e-01,  5.6801456627293e-01,  4.7536089742440e-04
  4.8000000000000e+00,  1.0800000000000e+00,  8.4000000000000e-01,  3.6173013143595e-01,  2.2419485689670e-01,  3.4455119902075e-04
  4.8000000000000e+00,  1.0800000000000e+00,  8.8000000000000e-01,  3.5043091248101e-01,  1.1790360068344e-01,  2.4504355162486e-04
  4.8000000000000e+00,  1.0800000000000e+00,  9.2000000000000e-01,  3.4475518627849e-01,  1.4257899590050e-01,  2.4775433234494e-04
