#              p[0],             energy,               error
 1.000000000000e+00, 5.825865028223e-01, 6.560987216350e-04
 1.500000000000e+00, 8.768050670329e-01, 9.692311083203e-04
 2.000000000000e+00, 1.173105892887e+00, 1.252112386420e-03
 2.500000000000e+00,               -nan, 1.351092794289e-03
 3.000000000000e+00,               -nan, 1.615224156886e-03
 3.500000000000e+00, 2.071532540884e+00, 2.134545331722e-03
 4.000000000000e+00,               -nan, 1.242902468780e-03
 4.500000000000e+00, 2.671632816350e+00, 2.728818262598e-03
 5.000000000000e+00,               -nan, 1.829805345686e-03
 5.500000000000e+00,               -nan, 2.345546086183e-03
