#              p[0],             energy,               error
 3.000000000000e-01, 3.401318889108e+00, 1.874837314188e-03
 3.500000000000e-01, 3.193378871112e+00, 1.272650760793e-03
 4.000000000000e-01, 3.074165514692e+00, 7.689936635388e-04
 4.500000000000e-01, 3.016311263266e+00, 3.642933143759e-04
 5.000000000000e-01, 3.000000000000e+00,6.384388442279e-162
 5.500000000000e-01, 3.013643886915e+00, 3.155508951687e-04
 6.000000000000e-01, 3.050221661998e+00, 6.129384962399e-04
 6.500000000000e-01, 3.101500079765e+00, 8.807896822339e-04
 7.000000000000e-01, 3.170344454747e+00, 1.133666767283e-03
 7.500000000000e-01, 3.249342410040e+00, 1.381505759084e-03
