#              p[0],             energy,               error
 3.000000000000e-01, 3.637486665957e+00, 2.207892142291e-03
 3.500000000000e-01, 3.342170884450e+00, 1.448183337030e-03
 4.000000000000e-01, 3.150579414680e+00, 8.566950702169e-04
 4.500000000000e-01, 3.048132466702e+00, 3.966984998866e-04
 5.000000000000e-01, 3.000000000000e+00,6.384388442279e-162
 5.500000000000e-01, 2.987979156583e+00, 3.431023183165e-04
 6.000000000000e-01, 3.008146957271e+00, 6.453195791684e-04
 6.500000000000e-01, 3.045900873938e+00, 9.287439096560e-04
 7.000000000000e-01, 3.104351252930e+00, 1.074394880025e-03
 7.500000000000e-01, 3.172620628697e+00, 1.444779899084e-03
