#              p[0],             energy,               error
 2.000000000000e+00, 3.747693263436e-01, 2.368530320791e-04
 2.500000000000e+00, 3.337762883885e-01, 1.544877916925e-04
 3.000000000000e+00, 3.124163066565e-01, 9.353300055779e-05
 3.500000000000e+00, 3.027025146711e-01, 4.219395590313e-05
 4.000000000000e+00, 2.999989277726e-01, 1.144997797257e-09
 4.500000000000e+00, 3.021101627505e-01, 3.694788866257e-05
 5.000000000000e+00, 3.074682241885e-01, 6.980479965605e-05
 5.500000000000e+00, 3.155338976043e-01, 1.038476208017e-04
 6.000000000000e+00, 3.248143236766e-01, 1.315407614806e-04
 6.500000000000e+00, 3.359741029298e-01, 1.580671744408e-04
