#              p[0],               p[1],               p[2],             energy,               error
 3.000000000000e+00, 0.000000000000e+00, 9.200000000000e-01, 2.271371872625e-01, 2.024444068694e-03
 3.000000000000e+00, 0.000000000000e+00, 9.675000000000e-01, 1.747721165393e-01, 9.688840816694e-04
 3.000000000000e+00, 0.000000000000e+00, 1.015000000000e+00, 1.467478538457e-01, 4.964147947893e-04
 3.000000000000e+00, 0.000000000000e+00, 1.062500000000e+00, 1.367316079612e-01, 2.361075653040e-04
 3.000000000000e+00, 0.000000000000e+00, 1.110000000000e+00, 1.337100133573e-01, 6.272753303203e-05
 3.000000000000e+00, 0.000000000000e+00, 1.157500000000e+00, 1.350486168120e-01, 7.178976295722e-05
 3.000000000000e+00, 0.000000000000e+00, 1.205000000000e+00, 1.386503112947e-01, 1.201329351848e-04
 3.000000000000e+00, 0.000000000000e+00, 1.252500000000e+00, 1.436523240140e-01, 1.521025587310e-04
 3.400000000000e+00, 0.000000000000e+00, 9.200000000000e-01, 2.087376667256e-01, 2.068714205725e-03
 3.400000000000e+00, 0.000000000000e+00, 9.675000000000e-01, 1.663203369073e-01, 1.114075707944e-03
 3.400000000000e+00, 0.000000000000e+00, 1.015000000000e+00, 1.440771067919e-01, 5.177824204880e-04
 3.400000000000e+00, 0.000000000000e+00, 1.062500000000e+00, 1.346643072418e-01, 2.072491243904e-04
 3.400000000000e+00, 0.000000000000e+00, 1.110000000000e+00, 1.322515396387e-01, 5.409634677249e-05
 3.400000000000e+00, 0.000000000000e+00, 1.157500000000e+00, 1.335863199500e-01, 6.057035103448e-05
 3.400000000000e+00, 0.000000000000e+00, 1.205000000000e+00, 1.368508710629e-01, 1.065627207033e-04
 3.400000000000e+00, 0.000000000000e+00, 1.252500000000e+00, 1.408984123405e-01, 1.348961456654e-04
 3.800000000000e+00, 0.000000000000e+00, 9.200000000000e-01, 1.952619586872e-01, 1.596944158250e-03
 3.800000000000e+00, 0.000000000000e+00, 9.675000000000e-01, 1.605850221239e-01, 9.349315203910e-04
 3.800000000000e+00, 0.000000000000e+00, 1.015000000000e+00, 1.414674869958e-01, 4.182328860822e-04
 3.800000000000e+00, 0.000000000000e+00, 1.062500000000e+00, 1.346988728621e-01, 1.848709384716e-04
 3.800000000000e+00, 0.000000000000e+00, 1.110000000000e+00, 1.328863210986e-01, 5.253233352116e-05
 3.800000000000e+00, 0.000000000000e+00, 1.157500000000e+00, 1.341956735738e-01, 5.532394765835e-05
 3.800000000000e+00, 0.000000000000e+00, 1.205000000000e+00, 1.369861643764e-01, 9.544557467359e-05
 3.800000000000e+00, 0.000000000000e+00, 1.252500000000e+00, 1.407903294798e-01, 1.199473537672e-04
 4.200000000000e+00, 0.000000000000e+00, 9.200000000000e-01, 1.906763197116e-01, 1.743712920184e-03
 4.200000000000e+00, 0.000000000000e+00, 9.675000000000e-01, 1.577514511326e-01, 8.888426226207e-04
 4.200000000000e+00, 0.000000000000e+00, 1.015000000000e+00, 1.427143335357e-01, 3.920327872765e-04
 4.200000000000e+00, 0.000000000000e+00, 1.062500000000e+00, 1.364187454971e-01, 1.788883185169e-04
 4.200000000000e+00, 0.000000000000e+00, 1.110000000000e+00, 1.347996184995e-01, 5.286083168134e-05
 4.200000000000e+00, 0.000000000000e+00, 1.157500000000e+00, 1.359700877123e-01, 5.904370154224e-05
 4.200000000000e+00, 0.000000000000e+00, 1.205000000000e+00, 1.385597916626e-01, 9.263786038712e-05
 4.200000000000e+00, 0.000000000000e+00, 1.252500000000e+00, 1.416935484707e-01, 1.161031995399e-04
 4.600000000000e+00, 0.000000000000e+00, 9.200000000000e-01, 1.844152207912e-01, 1.423014086101e-03
 4.600000000000e+00, 0.000000000000e+00, 9.675000000000e-01, 1.573995819401e-01, 7.525040753832e-04
 4.600000000000e+00, 0.000000000000e+00, 1.015000000000e+00, 1.443452044796e-01, 3.672412034912e-04
 4.600000000000e+00, 0.000000000000e+00, 1.062500000000e+00, 1.388761725450e-01, 1.823384666155e-04
 4.600000000000e+00, 0.000000000000e+00, 1.110000000000e+00, 1.378157790490e-01, 6.150569336593e-05
 4.600000000000e+00, 0.000000000000e+00, 1.157500000000e+00, 1.389851375321e-01, 6.189580930713e-05
 4.600000000000e+00, 0.000000000000e+00, 1.205000000000e+00, 1.411568147893e-01, 9.647880738816e-05
 4.600000000000e+00, 0.000000000000e+00, 1.252500000000e+00, 1.443787514771e-01, 1.061590466791e-04
