#              p[0],             energy,               error
 3.000000000000e-01, 3.402041307297e+00, 2.952721957865e-03
 3.500000000000e-01, 3.193538196659e+00, 2.030399358342e-03
 4.000000000000e-01, 3.075456995621e+00, 1.270698970346e-03
 4.500000000000e-01, 3.017552143780e+00, 5.869200540881e-04
 5.000000000000e-01, 3.000000000000e+00,6.384388442279e-162
 5.500000000000e-01, 3.012874288893e+00, 5.232816836858e-04
 6.000000000000e-01, 3.050168713318e+00, 1.002900011405e-03
 6.500000000000e-01, 3.103059793768e+00, 1.482409421279e-03
 7.000000000000e-01, 3.172055675914e+00, 1.878396699370e-03
 7.500000000000e-01, 3.247505344573e+00, 2.322330383925e-03
