#              p[0],               p[1],               p[2],             energy,               error
 1.500000000000e+00, 9.500000000000e-01, 5.000000000000e+00, 7.755239210371e-01, 8.002398743748e-03
 1.500000000000e+00, 9.833333333333e-01, 5.000000000000e+00, 5.230420364975e-01, 5.164872716667e-03
 1.500000000000e+00, 1.016666666667e+00, 5.000000000000e+00, 3.819699047944e-01, 3.381359056054e-03
 1.500000000000e+00, 1.050000000000e+00, 5.000000000000e+00, 2.841186037291e-01, 1.935610400753e-03
 1.500000000000e+00, 1.083333333333e+00, 5.000000000000e+00, 2.484879263566e-01, 1.093773796472e-03
 1.500000000000e+00, 1.116666666667e+00, 5.000000000000e+00, 2.446367701087e-01, 6.761003661985e-04
 1.500000000000e+00, 1.150000000000e+00, 5.000000000000e+00, 2.571664003673e-01, 6.303644648702e-04
 1.500000000000e+00, 1.183333333333e+00, 5.000000000000e+00, 2.849094147289e-01, 7.740091078773e-04
 1.500000000000e+00, 1.216666666667e+00, 5.000000000000e+00, 3.168288852461e-01, 9.255710557144e-04
 1.833333333333e+00, 9.500000000000e-01, 5.000000000000e+00, 5.094494034567e-01, 5.761753562442e-03
 1.833333333333e+00, 9.833333333333e-01, 5.000000000000e+00, 3.593341225670e-01, 3.891005662345e-03
 1.833333333333e+00, 1.016666666667e+00, 5.000000000000e+00, 2.530172633206e-01, 2.277503409943e-03
 1.833333333333e+00, 1.050000000000e+00, 5.000000000000e+00, 2.076098704474e-01, 1.314556307689e-03
 1.833333333333e+00, 1.083333333333e+00, 5.000000000000e+00, 1.968909489696e-01, 7.568753669463e-04
 1.833333333333e+00, 1.116666666667e+00, 5.000000000000e+00, 2.034971868026e-01, 4.419991829747e-04
 1.833333333333e+00, 1.150000000000e+00, 5.000000000000e+00, 2.228701962397e-01, 4.425571042457e-04
 1.833333333333e+00, 1.183333333333e+00, 5.000000000000e+00, 2.480539888414e-01, 5.731629963049e-04
 1.833333333333e+00, 1.216666666667e+00, 5.000000000000e+00, 2.771842384744e-01, 7.071870400714e-04
 2.166666666667e+00, 9.500000000000e-01, 5.000000000000e+00, 3.620648903956e-01, 4.409967795138e-03
 2.166666666667e+00, 9.833333333333e-01, 5.000000000000e+00, 2.756463020298e-01, 3.004781026082e-03
 2.166666666667e+00, 1.016666666667e+00, 5.000000000000e+00, 2.063436704577e-01, 1.738515699279e-03
 2.166666666667e+00, 1.050000000000e+00, 5.000000000000e+00, 1.801985492505e-01, 1.046770547765e-03
 2.166666666667e+00, 1.083333333333e+00, 5.000000000000e+00, 1.759991578023e-01, 5.652007558716e-04
 2.166666666667e+00, 1.116666666667e+00, 5.000000000000e+00, 1.875704186986e-01, 3.451061587401e-04
 2.166666666667e+00, 1.150000000000e+00, 5.000000000000e+00, 2.061434379282e-01, 3.469879799546e-04
 2.166666666667e+00, 1.183333333333e+00, 5.000000000000e+00, 2.310319191691e-01, 4.291953678508e-04
 2.166666666667e+00, 1.216666666667e+00, 5.000000000000e+00, 2.581756275304e-01, 5.367685821953e-04
 2.500000000000e+00, 9.500000000000e-01, 5.000000000000e+00, 2.784218961341e-01, 3.289104052749e-03
 2.500000000000e+00, 9.833333333333e-01, 5.000000000000e+00, 2.231155085128e-01, 2.363258226431e-03
 2.500000000000e+00, 1.016666666667e+00, 5.000000000000e+00, 1.826960690010e-01, 1.389711770482e-03
 2.500000000000e+00, 1.050000000000e+00, 5.000000000000e+00, 1.652132766969e-01, 8.116580397978e-04
 2.500000000000e+00, 1.083333333333e+00, 5.000000000000e+00, 1.685986059465e-01, 4.663492186715e-04
