#              p[0],               p[1],               p[2],             energy,               error
 2.000000000000e+00, 8.000000000000e-01, 8.000000000000e-01, 1.254704528772e+01, 6.393981301589e-02
 2.000000000000e+00, 8.000000000000e-01, 9.200000000000e-01, 1.205621120275e+01, 8.496730530153e-02
 2.000000000000e+00, 8.000000000000e-01, 1.040000000000e+00, 1.185210545201e+01, 7.871281110891e-02
 2.000000000000e+00, 8.000000000000e-01, 1.160000000000e+00, 1.175550097502e+01, 7.566565383281e-02
 2.000000000000e+00, 8.000000000000e-01, 1.280000000000e+00, 1.209873964232e+01, 8.094742920757e-02
 2.000000000000e+00, 8.000000000000e-01, 1.400000000000e+00, 1.225188324048e+01, 8.160299688994e-02
 2.000000000000e+00, 8.000000000000e-01, 1.520000000000e+00, 1.265652885216e+01, 9.155503124852e-02
 2.000000000000e+00, 8.000000000000e-01, 1.640000000000e+00, 1.267044566590e+01, 8.811711962659e-02
 2.000000000000e+00, 8.000000000000e-01, 1.760000000000e+00, 1.282039522220e+01, 8.485521153715e-02
 2.000000000000e+00, 8.000000000000e-01, 1.880000000000e+00, 1.301628769105e+01, 9.078474043771e-02
 2.000000000000e+00, 9.200000000000e-01, 8.000000000000e-01, 3.534684222064e+00, 1.292956998634e-02
 2.000000000000e+00, 9.200000000000e-01, 9.200000000000e-01, 3.012672428124e+00, 1.258234716056e-02
 2.000000000000e+00, 9.200000000000e-01, 1.040000000000e+00, 2.926843315543e+00, 1.427376142706e-02
 2.000000000000e+00, 9.200000000000e-01, 1.160000000000e+00, 2.947401141386e+00, 1.450682351168e-02
 2.000000000000e+00, 9.200000000000e-01, 1.280000000000e+00, 3.011112484967e+00, 1.564340547306e-02
 2.000000000000e+00, 9.200000000000e-01, 1.400000000000e+00, 3.048842860491e+00, 1.517915503313e-02
 2.000000000000e+00, 9.200000000000e-01, 1.520000000000e+00, 3.124516403808e+00, 1.562429126618e-02
 2.000000000000e+00, 9.200000000000e-01, 1.640000000000e+00, 3.132055671534e+00, 1.542489991894e-02
 2.000000000000e+00, 9.200000000000e-01, 1.760000000000e+00, 3.200754907907e+00, 1.709351456771e-02
 2.000000000000e+00, 9.200000000000e-01, 1.880000000000e+00, 3.236943119619e+00, 1.674011769180e-02
 2.000000000000e+00, 1.040000000000e+00, 8.000000000000e-01, 1.831677422943e+00, 4.032661317415e-03
 2.000000000000e+00, 1.040000000000e+00, 9.200000000000e-01, 1.329031678591e+00, 2.538102684508e-03
 2.000000000000e+00, 1.040000000000e+00, 1.040000000000e+00, 1.272098090843e+00, 2.277153047591e-03
 2.000000000000e+00, 1.040000000000e+00, 1.160000000000e+00, 1.307735404774e+00, 2.733100467316e-03
 2.000000000000e+00, 1.040000000000e+00, 1.280000000000e+00, 1.340338414595e+00, 2.785920584784e-03
 2.000000000000e+00, 1.040000000000e+00, 1.400000000000e+00, 1.368453188045e+00, 2.790298890738e-03
 2.000000000000e+00, 1.040000000000e+00, 1.520000000000e+00, 1.385118365351e+00, 2.767784734525e-03
 2.000000000000e+00, 1.040000000000e+00, 1.640000000000e+00, 1.402936288756e+00, 2.770724387968e-03
 2.000000000000e+00, 1.040000000000e+00, 1.760000000000e+00, 1.400743730865e+00, 2.852566279863e-03
 2.000000000000e+00, 1.040000000000e+00, 1.880000000000e+00, 1.399959492231e+00, 2.899632617448e-03
 2.000000000000e+00, 1.160000000000e+00, 8.000000000000e-01, 1.627340258747e+00, 3.271519079018e-03
 2.000000000000e+00, 1.160000000000e+00, 9.200000000000e-01, 1.157487099131e+00, 1.333436923849e-03
 2.000000000000e+00, 1.160000000000e+00, 1.040000000000e+00, 1.106309779711e+00, 1.544335679179e-03
 2.000000000000e+00, 1.160000000000e+00, 1.160000000000e+00, 1.136746699244e+00, 1.448003361623e-03
 2.000000000000e+00, 1.160000000000e+00, 1.280000000000e+00, 1.174562595477e+00, 1.420725755225e-03
 2.000000000000e+00, 1.160000000000e+00, 1.400000000000e+00, 1.203533027225e+00, 1.342377440937e-03
 2.000000000000e+00, 1.160000000000e+00, 1.520000000000e+00, 1.219781365602e+00, 1.292397406486e-03
 2.000000000000e+00, 1.160000000000e+00, 1.640000000000e+00, 1.228732161406e+00, 1.324753612816e-03
 2.000000000000e+00, 1.160000000000e+00, 1.760000000000e+00, 1.224869610035e+00, 1.322075764314e-03
 2.000000000000e+00, 1.160000000000e+00, 1.880000000000e+00, 1.222105983344e+00, 1.455165954257e-03
 2.000000000000e+00, 1.280000000000e+00, 8.000000000000e-01, 1.725101269940e+00, 3.336775290464e-03
 2.000000000000e+00, 1.280000000000e+00, 9.200000000000e-01, 1.275765911531e+00, 1.626615033501e-03
