#              p[0],             energy,               error
 2.000000000000e+00, 3.751434345216e-01, 2.899522798460e-04
 2.500000000000e+00, 3.338631205757e-01, 1.896580533127e-04
 3.000000000000e+00, 3.124669630046e-01, 1.167855112557e-04
 3.500000000000e+00, 3.027367564408e-01, 5.366509653205e-05
 4.000000000000e+00, 2.999989295871e-01, 1.463669089803e-09
 4.500000000000e+00, 3.021525233731e-01, 4.990254346672e-05
 5.000000000000e+00, 3.075745878348e-01, 9.842468768005e-05
 5.500000000000e+00, 3.154798683885e-01, 1.431826337611e-04
 6.000000000000e+00, 3.250570626435e-01, 1.836420679223e-04
 6.500000000000e+00, 3.358878568367e-01, 2.223260547492e-04
