#              p[0],               p[1],               p[2],             energy,               error
 2.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.875570583756e-01, 7.211295547676e-05
 2.400000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.699046491881e-01, 5.196276375170e-05
 2.800000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.596182342897e-01, 3.649834004583e-05
 3.200000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.537676484828e-01, 2.253102751405e-05
 3.600000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.508235068347e-01, 1.070868608191e-05
 4.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.499994639864e-01, 3.696901711441e-10
 4.400000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.506817239434e-01, 1.004944769670e-05
 4.800000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.525578006107e-01, 1.918837001642e-05
 5.200000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.552098440667e-01, 2.889580201318e-05
 5.600000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.585658364703e-01, 3.685344273370e-05
