#              p[0],             energy,               error
 2.000000000000e+00, 3.329363875065e+17, 3.276559252679e+17
 2.500000000000e+00, 1.266753166198e+15, 1.181248714978e+15
 3.000000000000e+00, 6.854725832189e+13, 5.909710969048e+13
 3.500000000000e+00, 2.053061442233e+14, 2.041343162659e+14
 4.000000000000e+00,                nan,6.384388442279e-162
 4.500000000000e+00, 1.117891162255e+17, 1.116018508757e+17
 5.000000000000e+00, 5.318281667582e+12, 5.194930503465e+12
 5.500000000000e+00, 5.763142796423e+11, 3.971034995820e+11
 6.000000000000e+00, 1.910460012840e+15, 1.910392532790e+15
 6.500000000000e+00, 3.622487628698e+10, 2.292571256031e+10
