#              p[0],             energy,               error
 2.000000000000e+00, 3.749514155156e-01, 2.288121698994e-04
 2.500000000000e+00, 3.340974124171e-01, 1.534481959516e-04
 3.000000000000e+00, 3.123865518784e-01, 8.623752750300e-05
 3.500000000000e+00, 3.027177078518e-01, 3.992868489801e-05
 4.000000000000e+00, 2.999989282932e-01, 1.083188461979e-09
 4.500000000000e+00, 3.020912419931e-01, 3.647155243865e-05
 5.000000000000e+00, 3.075401222454e-01, 6.864000549131e-05
 5.500000000000e+00, 3.150437818290e-01, 9.821438392791e-05
 6.000000000000e+00, 3.253834150035e-01, 1.286955207841e-04
 6.500000000000e+00, 3.360964215868e-01, 1.513734566110e-04
