#              p[0],             energy,               error
 2.000000000000e+00, 1.875434258436e-01, 1.101211908360e-04
 2.500000000000e+00, 1.667602485398e-01, 7.113851626435e-05
 3.000000000000e+00, 1.562373917354e-01, 4.294505449415e-05
 3.500000000000e+00, 1.513518180534e-01, 1.987501279102e-05
 4.000000000000e+00, 1.499994630649e-01, 5.318349220226e-10
 4.500000000000e+00, 1.510225277619e-01, 1.690051689377e-05
 5.000000000000e+00, 1.537597066460e-01, 3.361925278982e-05
 5.500000000000e+00, 1.577053555043e-01, 4.848359775425e-05
 6.000000000000e+00, 1.625753527494e-01, 6.240980626282e-05
 6.500000000000e+00, 1.680016192721e-01, 7.358518505780e-05
