#              p[0],               p[1],               p[2],             energy,               error
 2.600000000000e+00, 1.000000000000e+00, 9.200000000000e-01, 1.588997603418e-01, 2.213051877320e-04
 2.600000000000e+00, 1.000000000000e+00, 9.440000000000e-01, 1.582001108689e-01, 1.734431313153e-04
 2.600000000000e+00, 1.000000000000e+00, 9.680000000000e-01, 1.580747052593e-01, 1.621996387190e-04
 2.600000000000e+00, 1.000000000000e+00, 9.920000000000e-01, 1.599639826006e-01, 1.512636760941e-04
 2.600000000000e+00, 1.000000000000e+00, 1.016000000000e+00, 1.615542780350e-01, 1.446565699186e-04
 2.600000000000e+00, 1.000000000000e+00, 1.040000000000e+00, 1.646028748272e-01, 1.459032443962e-04
 2.600000000000e+00, 1.000000000000e+00, 1.064000000000e+00, 1.666550409895e-01, 1.450881691575e-04
 2.600000000000e+00, 1.000000000000e+00, 1.088000000000e+00, 1.685527508620e-01, 1.460130072758e-04
 2.600000000000e+00, 1.000000000000e+00, 1.112000000000e+00, 1.692836956635e-01, 1.500961958326e-04
 2.600000000000e+00, 1.000000000000e+00, 1.136000000000e+00, 1.716977109462e-01, 1.520783564306e-04
 2.840000000000e+00, 1.000000000000e+00, 9.200000000000e-01, 1.519976674926e-01, 1.768371946923e-04
 2.840000000000e+00, 1.000000000000e+00, 9.440000000000e-01, 1.534837176495e-01, 1.542883112205e-04
 2.840000000000e+00, 1.000000000000e+00, 9.680000000000e-01, 1.534758291334e-01, 1.349370267858e-04
 2.840000000000e+00, 1.000000000000e+00, 9.920000000000e-01, 1.538842691200e-01, 1.238966668031e-04
 2.840000000000e+00, 1.000000000000e+00, 1.016000000000e+00, 1.561364251105e-01, 1.146723749301e-04
 2.840000000000e+00, 1.000000000000e+00, 1.040000000000e+00, 1.588415185279e-01, 1.188051000732e-04
 2.840000000000e+00, 1.000000000000e+00, 1.064000000000e+00, 1.581977397225e-01, 1.179660386459e-04
 2.840000000000e+00, 1.000000000000e+00, 1.088000000000e+00, 1.614296968829e-01, 1.195811382539e-04
 2.840000000000e+00, 1.000000000000e+00, 1.112000000000e+00, 1.645667948805e-01, 1.255687770035e-04
 2.840000000000e+00, 1.000000000000e+00, 1.136000000000e+00, 1.634177394109e-01, 1.273137971452e-04
 3.080000000000e+00, 1.000000000000e+00, 9.200000000000e-01, 1.504449059888e-01, 1.630454261055e-04
 3.080000000000e+00, 1.000000000000e+00, 9.440000000000e-01, 1.496930266356e-01, 1.288357063847e-04
 3.080000000000e+00, 1.000000000000e+00, 9.680000000000e-01, 1.514251882235e-01, 1.135476041455e-04
 3.080000000000e+00, 1.000000000000e+00, 9.920000000000e-01, 1.514110942192e-01, 1.007300590308e-04
 3.080000000000e+00, 1.000000000000e+00, 1.016000000000e+00, 1.526451153571e-01, 9.775618068249e-05
 3.080000000000e+00, 1.000000000000e+00, 1.040000000000e+00, 1.552127644006e-01, 9.693709391403e-05
 3.080000000000e+00, 1.000000000000e+00, 1.064000000000e+00, 1.567987660721e-01, 9.758189303772e-05
 3.080000000000e+00, 1.000000000000e+00, 1.088000000000e+00, 1.568623405356e-01, 9.885071915270e-05
 3.080000000000e+00, 1.000000000000e+00, 1.112000000000e+00, 1.584802424141e-01, 1.015836732823e-04
 3.080000000000e+00, 1.000000000000e+00, 1.136000000000e+00, 1.608252242164e-01, 1.058693641483e-04
 3.320000000000e+00, 1.000000000000e+00, 9.200000000000e-01, 1.471186127747e-01, 1.271619581918e-04
 3.320000000000e+00, 1.000000000000e+00, 9.440000000000e-01, 1.485543588412e-01, 1.074294463196e-04
 3.320000000000e+00, 1.000000000000e+00, 9.680000000000e-01, 1.495395631238e-01, 9.317485405736e-05
 3.320000000000e+00, 1.000000000000e+00, 9.920000000000e-01, 1.503557440526e-01, 8.402698548538e-05
 3.320000000000e+00, 1.000000000000e+00, 1.016000000000e+00, 1.506640117453e-01, 7.869625515662e-05
 3.320000000000e+00, 1.000000000000e+00, 1.040000000000e+00, 1.521094429317e-01, 7.617221496236e-05
 3.320000000000e+00, 1.000000000000e+00, 1.064000000000e+00, 1.540611288595e-01, 7.996169485397e-05
 3.320000000000e+00, 1.000000000000e+00, 1.088000000000e+00, 1.551121231264e-01, 7.910147789619e-05
 3.320000000000e+00, 1.000000000000e+00, 1.112000000000e+00, 1.556107132357e-01, 8.116614844110e-05
 3.320000000000e+00, 1.000000000000e+00, 1.136000000000e+00, 1.579567199173e-01, 8.570351210740e-05
 3.560000000000e+00, 1.000000000000e+00, 9.200000000000e-01, 1.472225564495e-01, 1.071100954083e-04
 3.560000000000e+00, 1.000000000000e+00, 9.440000000000e-01, 1.476665346037e-01, 8.658735986654e-05
 3.560000000000e+00, 1.000000000000e+00, 9.680000000000e-01, 1.476798339047e-01, 6.975974498874e-05
 3.560000000000e+00, 1.000000000000e+00, 9.920000000000e-01, 1.497284823352e-01, 6.716517486818e-05
 3.560000000000e+00, 1.000000000000e+00, 1.016000000000e+00, 1.508163111542e-01, 6.206703248777e-05
 3.560000000000e+00, 1.000000000000e+00, 1.040000000000e+00, 1.520443057035e-01, 6.111890777290e-05
 3.560000000000e+00, 1.000000000000e+00, 1.064000000000e+00, 1.536639821613e-01, 6.222622886092e-05
 3.560000000000e+00, 1.000000000000e+00, 1.088000000000e+00, 1.550002296734e-01, 6.326700825735e-05
 3.560000000000e+00, 1.000000000000e+00, 1.112000000000e+00, 1.559752696701e-01, 6.488048947012e-05
 3.560000000000e+00, 1.000000000000e+00, 1.136000000000e+00, 1.580647169080e-01, 6.640131195817e-05
 3.800000000000e+00, 1.000000000000e+00, 9.200000000000e-01, 1.476957988654e-01, 8.566266614016e-05
 3.800000000000e+00, 1.000000000000e+00, 9.440000000000e-01, 1.485815915597e-01, 7.475978977100e-05
 3.800000000000e+00, 1.000000000000e+00, 9.680000000000e-01, 1.491849913973e-01, 6.137133109479e-05
 3.800000000000e+00, 1.000000000000e+00, 9.920000000000e-01, 1.497564476288e-01, 5.219374175501e-05
 3.800000000000e+00, 1.000000000000e+00, 1.016000000000e+00, 1.513507774502e-01, 5.021772813800e-05
 3.800000000000e+00, 1.000000000000e+00, 1.040000000000e+00, 1.529926812364e-01, 4.889993666314e-05
 3.800000000000e+00, 1.000000000000e+00, 1.064000000000e+00, 1.538456155891e-01, 4.885095113808e-05
 3.800000000000e+00, 1.000000000000e+00, 1.088000000000e+00, 1.548806556849e-01, 4.985631054069e-05
 3.800000000000e+00, 1.000000000000e+00, 1.112000000000e+00, 1.560412236354e-01, 5.197600188145e-05
 3.800000000000e+00, 1.000000000000e+00, 1.136000000000e+00, 1.573783938514e-01, 5.446988452601e-05
 4.040000000000e+00, 1.000000000000e+00, 9.200000000000e-01, 1.499018562372e-01, 8.228426249890e-05
 4.040000000000e+00, 1.000000000000e+00, 9.440000000000e-01, 1.503618220060e-01, 6.230705478950e-05
 4.040000000000e+00, 1.000000000000e+00, 9.680000000000e-01, 1.508000695897e-01, 5.314766005369e-05
 4.040000000000e+00, 1.000000000000e+00, 9.920000000000e-01, 1.521122284311e-01, 4.862761906481e-05
 4.040000000000e+00, 1.000000000000e+00, 1.016000000000e+00, 1.528809006944e-01, 4.200348118567e-05
 4.040000000000e+00, 1.000000000000e+00, 1.040000000000e+00, 1.540526584304e-01, 4.096100398033e-05
 4.040000000000e+00, 1.000000000000e+00, 1.064000000000e+00, 1.551003806873e-01, 4.174025395737e-05
 4.040000000000e+00, 1.000000000000e+00, 1.088000000000e+00, 1.560442178470e-01, 4.080294461151e-05
 4.040000000000e+00, 1.000000000000e+00, 1.112000000000e+00, 1.574313630845e-01, 4.320631355952e-05
 4.040000000000e+00, 1.000000000000e+00, 1.136000000000e+00, 1.584926970889e-01, 4.534638770412e-05
 4.280000000000e+00, 1.000000000000e+00, 9.200000000000e-01, 1.522664324235e-01, 7.480917955331e-05
 4.280000000000e+00, 1.000000000000e+00, 9.440000000000e-01, 1.528191501517e-01, 6.410014022679e-05
 4.280000000000e+00, 1.000000000000e+00, 9.680000000000e-01, 1.535775080797e-01, 5.338909490515e-05
 4.280000000000e+00, 1.000000000000e+00, 9.920000000000e-01, 1.542450431099e-01, 4.534835788984e-05
 4.280000000000e+00, 1.000000000000e+00, 1.016000000000e+00, 1.552695782672e-01, 4.287780278855e-05
 4.280000000000e+00, 1.000000000000e+00, 1.040000000000e+00, 1.562626221509e-01, 4.037422573665e-05
 4.280000000000e+00, 1.000000000000e+00, 1.064000000000e+00, 1.572325836795e-01, 4.026276995209e-05
 4.280000000000e+00, 1.000000000000e+00, 1.088000000000e+00, 1.582707126585e-01, 4.043496752386e-05
 4.280000000000e+00, 1.000000000000e+00, 1.112000000000e+00, 1.592043127898e-01, 4.160700346555e-05
 4.280000000000e+00, 1.000000000000e+00, 1.136000000000e+00, 1.602351567377e-01, 4.300263889419e-05
 4.520000000000e+00, 1.000000000000e+00, 9.200000000000e-01, 1.557405549116e-01, 7.861888731974e-05
 4.520000000000e+00, 1.000000000000e+00, 9.440000000000e-01, 1.560409501248e-01, 6.568272097828e-05
 4.520000000000e+00, 1.000000000000e+00, 9.680000000000e-01, 1.565573286955e-01, 5.821187709047e-05
 4.520000000000e+00, 1.000000000000e+00, 9.920000000000e-01, 1.574147187750e-01, 5.358256481003e-05
 4.520000000000e+00, 1.000000000000e+00, 1.016000000000e+00, 1.579546211672e-01, 5.183325250187e-05
 4.520000000000e+00, 1.000000000000e+00, 1.040000000000e+00, 1.592409880419e-01, 4.818961287719e-05
 4.520000000000e+00, 1.000000000000e+00, 1.064000000000e+00, 1.600828630261e-01, 4.699055860439e-05
 4.520000000000e+00, 1.000000000000e+00, 1.088000000000e+00, 1.609581110074e-01, 4.547877653061e-05
 4.520000000000e+00, 1.000000000000e+00, 1.112000000000e+00, 1.617791549508e-01, 4.716039881164e-05
 4.520000000000e+00, 1.000000000000e+00, 1.136000000000e+00, 1.627836903106e-01, 4.758347937069e-05
 4.760000000000e+00, 1.000000000000e+00, 9.200000000000e-01, 1.596981390278e-01, 7.992135232746e-05
 4.760000000000e+00, 1.000000000000e+00, 9.440000000000e-01, 1.594209848534e-01, 7.255915409119e-05
 4.760000000000e+00, 1.000000000000e+00, 9.680000000000e-01, 1.603771088913e-01, 6.997426758936e-05
 4.760000000000e+00, 1.000000000000e+00, 9.920000000000e-01, 1.614566645609e-01, 6.364858244765e-05
 4.760000000000e+00, 1.000000000000e+00, 1.016000000000e+00, 1.616721808115e-01, 6.222444465951e-05
 4.760000000000e+00, 1.000000000000e+00, 1.040000000000e+00, 1.632315658552e-01, 6.231727050684e-05
 4.760000000000e+00, 1.000000000000e+00, 1.064000000000e+00, 1.633619661548e-01, 5.886438435276e-05
 4.760000000000e+00, 1.000000000000e+00, 1.088000000000e+00, 1.643390505344e-01, 5.823267710260e-05
 4.760000000000e+00, 1.000000000000e+00, 1.112000000000e+00, 1.652205782976e-01, 5.733544777393e-05
 4.760000000000e+00, 1.000000000000e+00, 1.136000000000e+00, 1.666906866802e-01, 5.875781702778e-05
