#                p[0],                 p[1],                 p[2],               energy,             variance,                error
  3.5000000000000e+00,  0.0000000000000e+00,  8.3300000000000e-01,  1.8535248822354e-01,  8.8979209145189e-02,  1.4960693739026e-04
  3.5000000000000e+00,  0.0000000000000e+00,  8.6637500000000e-01,  1.8078180307190e-01,  3.1784577520306e-02,  9.7794842561306e-05
  3.5000000000000e+00,  0.0000000000000e+00,  8.9975000000000e-01,  1.7805633089936e-01,  2.7759223959689e-02,  8.7207506555988e-05
  3.5000000000000e+00,  0.0000000000000e+00,  9.3312500000000e-01,  1.7646649332141e-01,  5.1678491924235e-02,  1.0509952502437e-04
  3.5000000000000e+00,  0.0000000000000e+00,  9.6650000000000e-01,  1.7592199321824e-01,  6.1460742949012e-02,  1.1479465137379e-04
  3.5000000000000e+00,  0.0000000000000e+00,  9.9987500000000e-01,  1.7569668295736e-01,  9.3132768407791e-02,  1.3928269059525e-04
  3.5000000000000e+00,  0.0000000000000e+00,  1.0332500000000e+00,  1.7624173326008e-01,  7.0321948731442e-02,  1.1914810201433e-04
  3.5000000000000e+00,  0.0000000000000e+00,  1.0666250000000e+00,  1.7669021542547e-01,  7.7746316883504e-02,  1.1964494882930e-04
  3.5850000000000e+00,  0.0000000000000e+00,  8.3300000000000e-01,  1.8376555040779e-01,  8.4543818735473e-02,  1.4463873045681e-04
  3.5850000000000e+00,  0.0000000000000e+00,  8.6637500000000e-01,  1.7916163278849e-01,  2.9689166581144e-02,  9.4411981757623e-05
  3.5850000000000e+00,  0.0000000000000e+00,  8.9975000000000e-01,  1.7660483315067e-01,  2.6905989429434e-02,  8.5342498161620e-05
  3.5850000000000e+00,  0.0000000000000e+00,  9.3312500000000e-01,  1.7536230876486e-01,  3.3772605135955e-02,  8.8824850296113e-05
  3.5850000000000e+00,  0.0000000000000e+00,  9.6650000000000e-01,  1.7476183668146e-01,  4.5927537034551e-02,  9.7969632244448e-05
  3.5850000000000e+00,  0.0000000000000e+00,  9.9987500000000e-01,  1.7483006191159e-01,  6.2323294520110e-02,  1.0829339531414e-04
  3.5850000000000e+00,  0.0000000000000e+00,  1.0332500000000e+00,  1.7490429679108e-01,  7.0907227744253e-02,  1.1953454622054e-04
  3.5850000000000e+00,  0.0000000000000e+00,  1.0666250000000e+00,  1.7533575706506e-01,  6.9132582242753e-02,  1.1776275357235e-04
  3.6700000000000e+00,  0.0000000000000e+00,  8.3300000000000e-01,  1.8242418860899e-01,  8.2502162879284e-02,  1.4221177868965e-04
  3.6700000000000e+00,  0.0000000000000e+00,  8.6637500000000e-01,  1.7800965508478e-01,  2.8986365179859e-02,  9.2681619249422e-05
  3.6700000000000e+00,  0.0000000000000e+00,  8.9975000000000e-01,  1.7532245316927e-01,  3.1673325933727e-02,  8.7480990391571e-05
  3.6700000000000e+00,  0.0000000000000e+00,  9.3312500000000e-01,  1.7415211498655e-01,  4.0492854145950e-02,  9.3240630022284e-05
  3.6700000000000e+00,  0.0000000000000e+00,  9.6650000000000e-01,  1.7376156116194e-01,  5.8640431591480e-02,  1.0640218071552e-04
  3.6700000000000e+00,  0.0000000000000e+00,  9.9987500000000e-01,  1.7362887242517e-01,  5.7005391825649e-02,  1.0508414713877e-04
  3.6700000000000e+00,  0.0000000000000e+00,  1.0332500000000e+00,  1.7388986596210e-01,  6.2947190571366e-02,  1.1634350306098e-04
  3.6700000000000e+00,  0.0000000000000e+00,  1.0666250000000e+00,  1.7416279012347e-01,  8.5390346504640e-02,  1.2469422307767e-04
  3.7550000000000e+00,  0.0000000000000e+00,  8.3300000000000e-01,  1.8101227034301e-01,  7.9264133255935e-02,  1.3784434803435e-04
  3.7550000000000e+00,  0.0000000000000e+00,  8.6637500000000e-01,  1.7696297312204e-01,  2.8403453311007e-02,  9.0363528140101e-05
  3.7550000000000e+00,  0.0000000000000e+00,  8.9975000000000e-01,  1.7435016186159e-01,  2.7618962666733e-02,  8.0655355107030e-05
  3.7550000000000e+00,  0.0000000000000e+00,  9.3312500000000e-01,  1.7341057062864e-01,  3.3555883018781e-02,  8.5217326997435e-05
  3.7550000000000e+00,  0.0000000000000e+00,  9.6650000000000e-01,  1.7282653436274e-01,  4.8124269012938e-02,  9.6481045071985e-05
  3.7550000000000e+00,  0.0000000000000e+00,  9.9987500000000e-01,  1.7264639382691e-01,  7.3056880738051e-02,  1.2011050578620e-04
  3.7550000000000e+00,  0.0000000000000e+00,  1.0332500000000e+00,  1.7292617459693e-01,  5.9150142088522e-02,  1.0604846868039e-04
  3.7550000000000e+00,  0.0000000000000e+00,  1.0666250000000e+00,  1.7342450307462e-01,  7.3402529635677e-02,  1.1432962480910e-04
  3.8400000000000e+00,  0.0000000000000e+00,  8.3300000000000e-01,  1.7993043396377e-01,  7.5489161740605e-02,  1.3323960863097e-04
  3.8400000000000e+00,  0.0000000000000e+00,  8.6637500000000e-01,  1.7582763935617e-01,  2.6245238400911e-02,  9.3795739425319e-05
  3.8400000000000e+00,  0.0000000000000e+00,  8.9975000000000e-01,  1.7347008573853e-01,  2.6990311489049e-02,  8.2962882489471e-05
  3.8400000000000e+00,  0.0000000000000e+00,  9.3312500000000e-01,  1.7253767924232e-01,  3.4966514763327e-02,  8.8739431234934e-05
  3.8400000000000e+00,  0.0000000000000e+00,  9.6650000000000e-01,  1.7163368290654e-01,  5.0758864396065e-02,  1.0294343605894e-04
  3.8400000000000e+00,  0.0000000000000e+00,  9.9987500000000e-01,  1.7182995987642e-01,  5.5943994335988e-02,  1.0201148355857e-04
  3.8400000000000e+00,  0.0000000000000e+00,  1.0332500000000e+00,  1.7199046165654e-01,  8.1361030763616e-02,  1.1533973037177e-04
  3.8400000000000e+00,  0.0000000000000e+00,  1.0666250000000e+00,  1.7257308714485e-01,  6.0690816221761e-02,  1.0573004180686e-04
  3.9250000000000e+00,  0.0000000000000e+00,  8.3300000000000e-01,  1.7897914036893e-01,  7.2377985408316e-02,  1.2926547737422e-04
  3.9250000000000e+00,  0.0000000000000e+00,  8.6637500000000e-01,  1.7501316509595e-01,  2.6227845510957e-02,  8.5348025359903e-05
  3.9250000000000e+00,  0.0000000000000e+00,  8.9975000000000e-01,  1.7280985763700e-01,  2.4080858715653e-02,  7.7834955301800e-05
  3.9250000000000e+00,  0.0000000000000e+00,  9.3312500000000e-01,  1.7160025750837e-01,  3.5515762769646e-02,  8.5287068879691e-05
  3.9250000000000e+00,  0.0000000000000e+00,  9.6650000000000e-01,  1.7121109390196e-01,  4.7793607161332e-02,  9.7390515733054e-05
  3.9250000000000e+00,  0.0000000000000e+00,  9.9987500000000e-01,  1.7099599875876e-01,  6.4976315948080e-02,  1.1126313367698e-04
  3.9250000000000e+00,  0.0000000000000e+00,  1.0332500000000e+00,  1.7131332675411e-01,  7.0372166192008e-02,  1.1247950315429e-04
  3.9250000000000e+00,  0.0000000000000e+00,  1.0666250000000e+00,  1.7185725563779e-01,  6.7525238654060e-02,  1.1238397079702e-04
  4.0100000000000e+00,  0.0000000000000e+00,  8.3300000000000e-01,  1.7815552275790e-01,  7.1453733788976e-02,  1.2855207922184e-04
  4.0100000000000e+00,  0.0000000000000e+00,  8.6637500000000e-01,  1.7434475295975e-01,  2.5453428099959e-02,  8.3481997789733e-05
  4.0100000000000e+00,  0.0000000000000e+00,  8.9975000000000e-01,  1.7219650757314e-01,  2.3232801617436e-02,  7.5585994233404e-05
  4.0100000000000e+00,  0.0000000000000e+00,  9.3312500000000e-01,  1.7081521542285e-01,  5.1808095703464e-02,  1.0574100673301e-04
  4.0100000000000e+00,  0.0000000000000e+00,  9.6650000000000e-01,  1.7054800045073e-01,  5.2257571118460e-02,  9.8962096958388e-05
  4.0100000000000e+00,  0.0000000000000e+00,  9.9987500000000e-01,  1.7045688246275e-01,  5.3042139098438e-02,  9.8709253352370e-05
  4.0100000000000e+00,  0.0000000000000e+00,  1.0332500000000e+00,  1.7089435213894e-01,  5.6080439758153e-02,  9.8705925451517e-05
  4.0100000000000e+00,  0.0000000000000e+00,  1.0666250000000e+00,  1.7116301270833e-01,  7.1916195648986e-02,  1.0956916813011e-04
  4.0950000000000e+00,  0.0000000000000e+00,  8.3300000000000e-01,  1.7707850797749e-01,  6.6804856475853e-02,  1.2430524641374e-04
  4.0950000000000e+00,  0.0000000000000e+00,  8.6637500000000e-01,  1.7382643024907e-01,  2.3677689419367e-02,  8.1050400844168e-05
