#                p[0],                 p[1],                 p[2],               energy,             variance,                error
  4.8000000000000e+00,  1.0000000000000e+00,  8.4000000000000e-01,  8.4407178567411e-01,  1.9758953147507e+02,  9.3742978607934e-03
  4.8000000000000e+00,  1.0000000000000e+00,  8.8000000000000e-01,  5.9212530437794e-01,  9.3160296291049e+01,  6.5864778647485e-03
  4.8000000000000e+00,  1.0000000000000e+00,  9.2000000000000e-01,  4.2098246698393e-01,  2.5612456464001e+01,  3.4646139044275e-03
  4.8000000000000e+00,  1.0000000000000e+00,  9.6000000000000e-01,  3.3227134501760e-01,  8.9232423805266e+00,  2.0087154289077e-03
  4.8000000000000e+00,  1.0000000000000e+00,  1.0000000000000e+00,  2.8446698171362e-01,  3.8604947945952e+00,  1.3344335599691e-03
  4.8000000000000e+00,  1.0000000000000e+00,  1.0400000000000e+00,  2.5885533961696e-01,  1.7010371247149e+00,  8.5552604550700e-04
  4.8000000000000e+00,  1.0000000000000e+00,  1.0800000000000e+00,  2.5014045652063e-01,  1.2667151560324e+00,  7.7492606395368e-04
  4.8000000000000e+00,  1.0000000000000e+00,  1.1200000000000e+00,  2.4859424135678e-01,  1.0114376507336e+00,  6.9111179399411e-04
  4.8000000000000e+00,  1.0000000000000e+00,  1.1600000000000e+00,  2.5495253798357e-01,  1.2818283480240e+00,  8.1503483732300e-04
  4.8000000000000e+00,  1.0000000000000e+00,  1.2000000000000e+00,  2.6378740768723e-01,  1.4920141671675e+00,  8.5259434872188e-04
  4.8000000000000e+00,  1.0400000000000e+00,  8.4000000000000e-01,  8.5266332205156e-01,  2.3145597556924e+02,  1.0339579797708e-02
  4.8000000000000e+00,  1.0400000000000e+00,  8.8000000000000e-01,  5.5993085689644e-01,  6.8974922439235e+01,  5.6772918651565e-03
  4.8000000000000e+00,  1.0400000000000e+00,  9.2000000000000e-01,  4.0991081421958e-01,  2.3825902074165e+01,  3.6703189468788e-03
  4.8000000000000e+00,  1.0400000000000e+00,  9.6000000000000e-01,  3.2603268035438e-01,  9.3886430092818e+00,  2.0689731656674e-03
  4.8000000000000e+00,  1.0400000000000e+00,  1.0000000000000e+00,  2.7325778911850e-01,  3.1597276021745e+00,  1.2267137573052e-03
  4.8000000000000e+00,  1.0400000000000e+00,  1.0400000000000e+00,  2.4937367988138e-01,  1.0608245913836e+00,  7.1708422990136e-04
  4.8000000000000e+00,  1.0400000000000e+00,  1.0800000000000e+00,  2.3753648382111e-01,  3.9188232450025e-01,  4.2065378638974e-04
  4.8000000000000e+00,  1.0400000000000e+00,  1.1200000000000e+00,  2.3740684198370e-01,  3.6264251550276e-01,  3.9796512681466e-04
  4.8000000000000e+00,  1.0400000000000e+00,  1.1600000000000e+00,  2.4259240021406e-01,  4.4571496240103e-01,  4.6686946719121e-04
  4.8000000000000e+00,  1.0400000000000e+00,  1.2000000000000e+00,  2.4941100050725e-01,  4.2138827431668e-01,  4.3085873524546e-04
  4.8000000000000e+00,  1.0800000000000e+00,  8.4000000000000e-01,  8.2598483360709e-01,  2.2609508960440e+02,  1.0610250350142e-02
  4.8000000000000e+00,  1.0800000000000e+00,  8.8000000000000e-01,  5.6768749281717e-01,  7.9799360351802e+01,  6.1858816215250e-03
  4.8000000000000e+00,  1.0800000000000e+00,  9.2000000000000e-01,  4.1205246037342e-01,  2.6063823499907e+01,  3.4950052839761e-03
  4.8000000000000e+00,  1.0800000000000e+00,  9.6000000000000e-01,  3.1438524918590e-01,  7.8130798961089e+00,  1.9737336853333e-03
  4.8000000000000e+00,  1.0800000000000e+00,  1.0000000000000e+00,  2.6778581436894e-01,  2.8602958980237e+00,  1.1166102875663e-03
  4.8000000000000e+00,  1.0800000000000e+00,  1.0400000000000e+00,  2.4354716882077e-01,  7.8453508438261e-01,  6.4526858056432e-04
  4.8000000000000e+00,  1.0800000000000e+00,  1.0800000000000e+00,  2.3349573383559e-01,  1.8013707081618e-01,  3.0473056387557e-04
  4.8000000000000e+00,  1.0800000000000e+00,  1.1200000000000e+00,  2.3309288772755e-01,  7.0729543872705e-02,  2.2060385576916e-04
  4.8000000000000e+00,  1.0800000000000e+00,  1.1600000000000e+00,  2.3735306315771e-01,  8.4815690770450e-02,  2.1642837911582e-04
  4.8000000000000e+00,  1.0800000000000e+00,  1.2000000000000e+00,  2.4504569234384e-01,  1.4590351122658e-01,  2.6279631921932e-04
  4.8000000000000e+00,  1.1200000000000e+00,  8.4000000000000e-01,  8.4629327887240e-01,  2.0944448732151e+02,  9.9341057972523e-03
  4.8000000000000e+00,  1.1200000000000e+00,  8.8000000000000e-01,  5.6733605460045e-01,  7.8153776042888e+01,  6.3431327089639e-03
  4.8000000000000e+00,  1.1200000000000e+00,  9.2000000000000e-01,  4.0437134035431e-01,  2.4130885946140e+01,  3.4211487919388e-03
  4.8000000000000e+00,  1.1200000000000e+00,  9.6000000000000e-01,  3.1587409982768e-01,  8.5137757081572e+00,  2.0695891712416e-03
  4.8000000000000e+00,  1.1200000000000e+00,  1.0000000000000e+00,  2.6813317171944e-01,  2.8933141558897e+00,  1.1527248309110e-03
  4.8000000000000e+00,  1.1200000000000e+00,  1.0400000000000e+00,  2.4313860119111e-01,  7.1836273026527e-01,  5.8891205456873e-04
  4.8000000000000e+00,  1.1200000000000e+00,  1.0800000000000e+00,  2.3349704961728e-01,  1.4385900674917e-01,  2.8620018679005e-04
  4.8000000000000e+00,  1.1200000000000e+00,  1.1200000000000e+00,  2.3239940314292e-01,  1.4921990668313e-02,  1.4673223460312e-04
  4.8000000000000e+00,  1.1200000000000e+00,  1.1600000000000e+00,  2.3686384140728e-01,  3.2109004122469e-02,  1.6270883278068e-04
  4.8000000000000e+00,  1.1200000000000e+00,  1.2000000000000e+00,  2.4408046502217e-01,  7.7403754132925e-02,  2.0965146049899e-04
  4.8000000000000e+00,  1.1600000000000e+00,  8.4000000000000e-01,  8.2886131014211e-01,  1.8618316181998e+02,  9.2844503523345e-03
  4.8000000000000e+00,  1.1600000000000e+00,  8.8000000000000e-01,  5.6357133694021e-01,  7.0002427709662e+01,  5.7448669333880e-03
  4.8000000000000e+00,  1.1600000000000e+00,  9.2000000000000e-01,  4.1144062672311e-01,  2.7255079344750e+01,  3.6962303566912e-03
  4.8000000000000e+00,  1.1600000000000e+00,  9.6000000000000e-01,  3.1897925006299e-01,  8.6839390541958e+00,  1.9767694400595e-03
  4.8000000000000e+00,  1.1600000000000e+00,  1.0000000000000e+00,  2.7092041138964e-01,  2.7671345185914e+00,  1.1035259086725e-03
  4.8000000000000e+00,  1.1600000000000e+00,  1.0400000000000e+00,  2.4540913900499e-01,  7.0086899632478e-01,  5.8453984475773e-04
  4.8000000000000e+00,  1.1600000000000e+00,  1.0800000000000e+00,  2.3556587966648e-01,  1.3660526954741e-01,  2.6481406492182e-04
  4.8000000000000e+00,  1.1600000000000e+00,  1.1200000000000e+00,  2.3480765940880e-01,  2.2733072992205e-02,  1.4341978417317e-04
  4.8000000000000e+00,  1.1600000000000e+00,  1.1600000000000e+00,  2.3928810466734e-01,  3.9205356278184e-02,  1.7773940849178e-04
  4.8000000000000e+00,  1.1600000000000e+00,  1.2000000000000e+00,  2.4626766586696e-01,  8.5545180135030e-02,  2.2013416117546e-04
  4.8000000000000e+00,  1.2000000000000e+00,  8.4000000000000e-01,  8.3431291845407e-01,  2.0796500520447e+02,  9.9778378557057e-03
  4.8000000000000e+00,  1.2000000000000e+00,  8.8000000000000e-01,  5.6192885767552e-01,  7.1552817432312e+01,  5.7115593085845e-03
  4.8000000000000e+00,  1.2000000000000e+00,  9.2000000000000e-01,  4.1118565694596e-01,  2.6361300245272e+01,  3.3765421750328e-03
  4.8000000000000e+00,  1.2000000000000e+00,  9.6000000000000e-01,  3.2348159738802e-01,  8.3381781575177e+00,  2.0519484200719e-03
