#              p[0],             energy,               error
 3.000000000000e-01, 3.399873647121e+00, 2.927497976858e-03
 3.500000000000e-01, 3.192892481067e+00, 2.052037125079e-03
 4.000000000000e-01, 3.074634885575e+00, 1.300572563254e-03
 4.500000000000e-01, 3.016089787230e+00, 6.174202179526e-04
 5.000000000000e-01, 3.000000000000e+00,6.384388442279e-162
 5.500000000000e-01, 3.013055739141e+00, 5.332586587419e-04
 6.000000000000e-01, 3.051729039448e+00, 1.007634121031e-03
 6.500000000000e-01, 3.102405703138e+00, 1.471650826353e-03
 7.000000000000e-01, 3.168860690312e+00, 1.904796456754e-03
 7.500000000000e-01, 3.251134869040e+00, 2.288277089789e-03
