# r, density, density error estimate, density A, density error estimate A, density B, density error estimate B, radial probability, probability error estimate, radial probability A, probability error estimate A, radial probability B, probability error estimate B
2.750000000e-02, 4.146877105e-02, 2.439339473e-03, 2.353245139e-02, 1.837575730e-03, 1.793631966e-02, 1.604273201e-03, 5.254545455e-04, 3.090909091e-05, 2.981818182e-04, 2.328408814e-05, 2.272727273e-04, 2.032789070e-05
8.250000000e-02, 3.564715415e-02, 8.548207844e-04, 1.795681831e-02, 6.067046664e-04, 1.769033584e-02, 6.021860354e-04, 3.161818182e-03, 7.582057986e-05, 1.592727273e-03, 5.381326759e-05, 1.569090909e-03, 5.341247571e-05
1.375000000e-01, 3.453591149e-02, 5.107052495e-04, 1.758136933e-02, 3.643856028e-04, 1.695454216e-02, 3.578309438e-04, 8.314545455e-03, 1.229526550e-04, 4.232727273e-03, 8.772609514e-05, 4.081818182e-03, 8.614805629e-05
1.925000000e-01, 3.340227486e-02, 3.599140675e-04, 1.597786746e-02, 2.489259689e-04, 1.742440740e-02, 2.599499914e-04, 1.566000000e-02, 1.687386360e-04, 7.490909091e-03, 1.167040475e-04, 8.169090909e-03, 1.218724438e-04
2.475000000e-01, 3.431070931e-02, 2.840936927e-04, 1.755289407e-02, 2.031987863e-04, 1.675781524e-02, 1.985433944e-04, 2.652000000e-02, 2.195863881e-04, 1.356727273e-02, 1.570597612e-04, 1.295272727e-02, 1.534614389e-04
3.025000000e-01, 3.249351553e-02, 2.263545952e-04, 1.639576719e-02, 1.607891859e-04, 1.609774834e-02, 1.593211864e-04, 3.746727273e-02, 2.610025173e-04, 1.890545455e-02, 1.854010618e-04, 1.856181818e-02, 1.837083567e-04
3.575000000e-01, 3.367282739e-02, 1.950516339e-04, 1.658163322e-02, 1.368747859e-04, 1.709119417e-02, 1.389619836e-04, 5.418727273e-02, 3.138826438e-04, 2.668363636e-02, 2.202628032e-04, 2.750363636e-02, 2.236215812e-04
4.125000000e-01, 3.293065836e-02, 1.672124135e-04, 1.655914993e-02, 1.185734150e-04, 1.637150843e-02, 1.178996883e-04, 7.051818182e-02, 3.580710489e-04, 3.546000000e-02, 2.539148032e-04, 3.505818182e-02, 2.524720752e-04
4.675000000e-01, 3.276015059e-02, 1.471820132e-04, 1.634139236e-02, 1.039504378e-04, 1.641875823e-02, 1.041962162e-04, 9.007818182e-02, 4.046955799e-04, 4.493272727e-02, 2.858248900e-04, 4.514545455e-02, 2.865006887e-04
5.225000000e-01, 3.170347087e-02, 1.295628287e-04, 1.589356479e-02, 9.173555102e-05, 1.580990609e-02, 9.149379900e-05, 1.088654545e-01, 4.449013262e-04, 5.457636364e-02, 3.150075429e-04, 5.428909091e-02, 3.141773990e-04
5.775000000e-01, 3.201053244e-02, 1.177996807e-04, 1.595606327e-02, 8.316881986e-05, 1.605446918e-02, 8.342488940e-05, 1.342563636e-01, 4.940672822e-04, 6.692181818e-02, 3.488209183e-04, 6.733454545e-02, 3.498949075e-04
6.325000000e-01, 3.141467324e-02, 1.065571708e-04, 1.575251626e-02, 7.545558249e-05, 1.566215697e-02, 7.523885779e-05, 1.580290909e-01, 5.360276297e-04, 7.924181818e-02, 3.795734883e-04, 7.878727273e-02, 3.784832715e-04
6.875000000e-01, 3.108390967e-02, 9.751985770e-05, 1.565362659e-02, 6.920424335e-05, 1.543028308e-02, 6.870877198e-05, 1.847236364e-01, 5.795352940e-04, 9.302545455e-02, 4.112629209e-04, 9.169818182e-02, 4.083184627e-04
7.425000000e-01, 3.015505214e-02, 8.894018732e-05, 1.497915503e-02, 6.268471501e-05, 1.517589711e-02, 6.309503486e-05, 2.090072727e-01, 6.164521256e-04, 1.038218182e-01, 4.344731777e-04, 1.051854545e-01, 4.373171401e-04
7.975000000e-01, 2.982943558e-02, 8.236059954e-05, 1.485320559e-02, 5.811752053e-05, 1.497622998e-02, 5.835770870e-05, 2.385000000e-01, 6.585107164e-04, 1.187581818e-01, 4.646761958e-04, 1.197418182e-01, 4.665966102e-04
8.525000000e-01, 2.895742934e-02, 7.591437684e-05, 1.454210127e-02, 5.379694467e-05, 1.441532806e-02, 5.356193942e-05, 2.645509091e-01, 6.935428270e-04, 1.328545455e-01, 4.914811482e-04, 1.316963636e-01, 4.893341740e-04
9.075000000e-01, 2.878750765e-02, 7.110541345e-05, 1.433096573e-02, 5.016933698e-05, 1.445654192e-02, 5.038866390e-05, 2.980163636e-01, 7.361032087e-04, 1.483581818e-01, 5.193670655e-04, 1.496581818e-01, 5.216375994e-04
9.625000000e-01, 2.787292364e-02, 6.596980008e-05, 1.390234573e-02, 4.659056184e-05, 1.397057791e-02, 4.670475425e-05, 3.245727273e-01, 7.682006453e-04, 1.618890909e-01, 5.425346087e-04, 1.626836364e-01, 5.438643487e-04
1.017500000e+00, 2.729212754e-02, 6.175116215e-05, 1.363747110e-02, 4.365091593e-05, 1.365465644e-02, 4.367841074e-05, 3.551581818e-01, 8.035808290e-04, 1.774672727e-01, 5.680385274e-04, 1.776909091e-01, 5.683963231e-04
