#                   r,             dens_tot,             dens_err,               dens_A,           dens_err_A,               dens_B,           dens_err_B,           dens_alike,       dens_err_alike,          dens_unlike,      dens_err_unlike,         dens_alike_n,     dens_err_alike_n,        dens_unlike_n,    dens_err_unlike_n,             prob_tot,             prob_err,               prob_A,           prob_err_A,               prob_B,           prob_err_B,           prob_alike,       prob_err_alike,          prob_unlike,      prob_err_unlike,         prob_alike_n,     prob_err_alike_n,        prob_unlike_n,    prob_err_unlike_n
  3.0000000000000e-02,  1.1052426603604e-02,  9.0242685327972e-04,  5.3788476137539e-03,  6.2954649530692e-04,  5.6735789898500e-03,  6.4656433227259e-04,  7.5893329344746e-03,  7.4779919420744e-04,  7.8840643105707e-03,  7.6218126510114e-04,  1.6349206349206e+00,  2.6149406249625e-01,  7.9259259259259e-01,  1.0258855652107e-01,  1.6666666666667e-04,  1.3608276348795e-05,  8.1111111111111e-05,  9.4933374947973e-06,  8.5555555555556e-05,  9.7499604304357e-06,  1.1444444444444e-04,  1.1276546183436e-05,  1.1888888888889e-04,  1.1493422703098e-05,  1.6349206349206e+00,  2.6149406249625e-01,  7.9259259259259e-01,  1.0258855652107e-01
  9.0000000000000e-02,  2.0199625383158e-02,  4.6111136653756e-04,  9.4208779145004e-03,  3.1490521883429e-04,  1.0778747468657e-02,  3.3683585839555e-04,  5.6314745075505e-03,  2.4346987427756e-04,  8.7366800771345e-03,  3.0325459257182e-04,  9.3043478260870e-01,  5.5890322212686e-02,  1.0519645120406e+00,  5.2305452761976e-02,  2.1322222222222e-03,  4.8673769141799e-05,  9.9444444444444e-04,  3.3240611781448e-05,  1.1377777777778e-03,  3.5555555555556e-05,  5.9444444444444e-04,  2.5700074458268e-05,  9.2222222222222e-04,  3.2010800646418e-05,  9.3043478260870e-01,  5.5890322212686e-02,  1.0519645120406e+00,  5.2305452761976e-02
  1.5000000000000e-01,  1.7625711899431e-02,  2.6144462840334e-04,  8.6131366619664e-03,  1.8276248682537e-04,  9.0125752374650e-03,  1.8695231244990e-04,  5.5417254794912e-03,  1.4659828643526e-04,  8.9582826155526e-03,  1.8638835245472e-04,  9.7542662116041e-01,  3.6266775235169e-02,  1.0158311345646e+00,  3.0008383675499e-02,  5.0500000000000e-03,  7.4907350180814e-05,  2.4677777777778e-03,  5.2363874079770e-05,  2.5822222222222e-03,  5.3564314636418e-05,  1.5877777777778e-03,  4.2002351492080e-05,  2.5666666666667e-03,  5.3402732625324e-05,  9.7542662116041e-01,  3.6266775235169e-02,  1.0158311345646e+00,  3.0008383675499e-02
  2.1000000000000e-01,  1.7341356912465e-02,  1.8583344013987e-04,  8.6706784562326e-03,  1.3140408569413e-04,  8.6706784562326e-03,  1.3140408569413e-04,  6.1993160391025e-03,  1.1111027353731e-04,  9.0410841045696e-03,  1.3418148157214e-04,  1.0527561717957e+00,  2.7033788956912e-02,  1.0538532961931e+00,  2.2414907008406e-02,  9.6755555555556e-03,  1.0368518353145e-04,  4.8377777777778e-03,  7.3316496383661e-05,  4.8377777777778e-03,  7.3316496383661e-05,  3.4588888888889e-03,  6.1993627709170e-05,  5.0444444444444e-03,  7.4866135679658e-05,  1.0527561717957e+00,  2.7033788956912e-02,  1.0538532961931e+00,  2.2414907008406e-02
  2.7000000000000e-01,  1.7102875221905e-02,  1.4373179071200e-04,  8.5254674282225e-03,  1.0147927889481e-04,  8.5774077936821e-03,  1.0178793453189e-04,  6.1905668134940e-03,  8.6473588210598e-05,  8.9929307173585e-03,  1.0422427829603e-04,  1.0894982993197e+00,  2.1998883144291e-02,  9.9625317810785e-01,  1.6313426067668e-02,  1.5732222222222e-02,  1.3221288482436e-04,  7.8422222222222e-03,  9.3346559909370e-05,  7.8900000000000e-03,  9.3630479367921e-05,  5.6944444444444e-03,  7.9543450351535e-05,  8.2722222222222e-03,  9.5871570471602e-05,  1.0894982993197e+00,  2.1998883144291e-02,  9.9625317810786e-01,  1.6313426067668e-02
  3.3000000000000e-01,  1.7061222048684e-02,  1.1753509473898e-04,  8.4921501991646e-03,  8.2922297704740e-05,  8.5690718495194e-03,  8.3297004980180e-05,  6.1472544157187e-03,  7.0550986028219e-05,  8.8905233778440e-03,  8.4844981288866e-05,  1.0736812332061e+00,  1.7744683646925e-02,  1.0102125310516e+00,  1.3668868620240e-02,  2.3412222222222e-02,  1.6128726002668e-04,  1.1653333333333e-02,  1.1378992990660e-04,  1.1758888888889e-02,  1.1430412109266e-04,  8.4355555555556e-03,  9.6813426270187e-05,  1.2200000000000e-02,  1.1642832797715e-04,  1.0736812332061e+00,  1.7744683646925e-02,  1.0102125310516e+00,  1.3668868620240e-02
  3.9000000000000e-01,  1.6819414553201e-02,  9.8784036259289e-05,  8.6435197659050e-03,  7.0815225837884e-05,  8.1758947872958e-03,  6.8872996226431e-05,  5.9398815521100e-03,  5.8704341676705e-05,  9.0577681960873e-03,  7.2492308644320e-05,  9.9795301686324e-01,  1.3941039844347e-02,  1.0085271317829e+00,  1.1439239856020e-02,  3.2211111111111e-02,  1.8918277790748e-04,  1.6553333333333e-02,  1.3561929284800e-04,  1.5657777777778e-02,  1.3189970001557e-04,  1.1375555555556e-02,  1.1242555836125e-04,  1.7346666666667e-02,  1.3883109908833e-04,  9.9795301686324e-01,  1.3941039844347e-02,  1.0085271317829e+00,  1.1439239856020e-02
  4.5000000000000e-01,  1.6191913972570e-02,  8.4021210047334e-05,  8.2446306538126e-03,  5.9955004553492e-05,  7.9472833187570e-03,  5.8863920756342e-05,  5.7751653961079e-03,  5.0179005669960e-05,  8.8197056317279e-03,  6.2010735585164e-05,  9.5950742484607e-01,  1.1670230155019e-02,  9.6204879440719e-01,  9.4746853104188e-03,  4.1264444444444e-02,  2.1412468964613e-04,  2.1011111111111e-02,  1.5279292854169e-04,  2.0253333333333e-02,  1.5001234517100e-04,  1.4717777777778e-02,  1.2787918681221e-04,  2.2476666666667e-02,  1.5803187676565e-04,  9.5950742484607e-01,  1.1670230155019e-02,  9.6204879440719e-01,  9.4746853104188e-03
  5.1000000000000e-01,  1.7254688488133e-02,  7.6543247633704e-05,  8.8239450122228e-03,  5.4737469959505e-05,  8.4307434759103e-03,  5.3504001165771e-05,  5.9143215539653e-03,  4.4813182750650e-05,  8.8140979962012e-03,  5.4706919497078e-05,  1.0103248259861e+00,  1.0854129518742e-02,  1.0122051082082e+00,  8.9118739303428e-03,  5.6462222222222e-02,  2.5047116095298e-04,  2.8874444444444e-02,  1.7911648737451e-04,  2.7587777777778e-02,  1.7508022852325e-04,  1.9353333333333e-02,  1.4664141196710e-04,  2.8842222222222e-02,  1.7901651761848e-04,  1.0103248259861e+00,  1.0854129518742e-02,  1.0122051082082e+00,  8.9118739303428e-03
  5.7000000000000e-01,  1.6470426724883e-02,  6.6919235437266e-05,  8.3446500588243e-03,  4.7632415887136e-05,  8.1257766660592e-03,  4.7003585270308e-05,  5.8010965317218e-03,  3.9714910754254e-05,  8.6869626072606e-03,  4.8599580534890e-05,  1.0056087099967e+00,  9.7497982369102e-03,  9.8021168890934e-01,  7.7168535045014e-03,  6.7307777777778e-02,  2.7347105834638e-04,  3.4101111111111e-02,  1.9465385548915e-04,  3.3206666666667e-02,  1.9208408652540e-04,  2.3706666666667e-02,  1.6229830788009e-04,  3.5500000000000e-02,  1.9860625479688e-04,  1.0056087099967e+00,  9.7497982369102e-03,  9.8021168890934e-01,  7.7168535045014e-03
