#                   r,             dens_tot,             dens_err,               dens_A,           dens_err_A,               dens_B,           dens_err_B,           dens_alike,       dens_err_alike,          dens_unlike,      dens_err_unlike,         dens_alike_n,     dens_err_alike_n,        dens_unlike_n,    dens_err_unlike_n,             prob_tot,             prob_err,               prob_A,           prob_err_A,               prob_B,           prob_err_B,           prob_alike,       prob_err_alike,          prob_unlike,      prob_err_unlike,         prob_alike_n,     prob_err_alike_n,        prob_unlike_n,    prob_err_unlike_n
  3.0000000000000e-02,  2.6304775316577e-02,  9.8443147469450e-04,  1.2894497704204e-02,  6.8923989405252e-04,  1.3410277612373e-02,  7.0288953386408e-04,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,  3.9666666666667e-04,  1.4844876906542e-05,  1.9444444444444e-04,  1.0393492741039e-05,  2.0222222222222e-04,  1.0599324460188e-05,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00
  9.0000000000000e-02,  2.4746909471498e-02,  3.6089399617627e-04,  1.2257667409425e-02,  2.5399378448906e-04,  1.2489242062072e-02,  2.5638181276565e-04,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,  2.6122222222222e-03,  3.8095072750964e-05,  1.2938888888889e-03,  2.6810952248919e-05,  1.3183333333333e-03,  2.7063026575152e-05,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00
  1.5000000000000e-01,  2.4753557547650e-02,  2.1908376911603e-04,  1.2489242062072e-02,  1.5561785809763e-04,  1.2264315485578e-02,  1.5421018167161e-04,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,  7.0922222222222e-03,  6.2770402713302e-05,  3.5783333333333e-03,  4.4586578282741e-05,  3.5138888888889e-03,  4.4183260334964e-05,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00
  2.1000000000000e-01,  2.4472661357061e-02,  1.5610180711357e-04,  1.2117840699627e-02,  1.0984491316561e-04,  1.2354820657434e-02,  1.1091379190959e-04,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,  1.3654444444444e-02,  8.7096512382160e-05,  6.7611111111111e-03,  6.1287623868985e-05,  6.8933333333333e-03,  6.1884001402864e-05,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00
  2.7000000000000e-01,  2.4138378910723e-02,  1.2074171078603e-04,  1.1942056351533e-02,  8.4926423096516e-05,  1.2196322559190e-02,  8.5825773422496e-05,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,  2.2203888888889e-02,  1.1106526832075e-04,  1.0985000000000e-02,  7.8120277635053e-05,  1.1218888888889e-02,  7.8947552523069e-05,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00
  3.3000000000000e-01,  2.3839233997312e-02,  9.8241196800376e-05,  1.1951195360380e-02,  6.9558974252921e-05,  1.1888038636931e-02,  6.9374936754217e-05,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,  3.2713333333333e-02,  1.3481125351422e-04,  1.6400000000000e-02,  9.5452140421842e-05,  1.6313333333333e-02,  9.5199595392853e-05,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00
  3.9000000000000e-01,  2.3325841752472e-02,  8.2259297145287e-05,  1.1633476747620e-02,  5.8092637554169e-05,  1.1692365004852e-02,  5.8239483418352e-05,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,  4.4671666666667e-02,  1.5753600411523e-04,  2.2279444444444e-02,  1.1125407469303e-04,  2.2392222222222e-02,  1.1153530139283e-04,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00
  4.5000000000000e-01,  2.3309938301186e-02,  7.1284548315662e-05,  1.1660637061672e-02,  5.0418042400659e-05,  1.1649301239514e-02,  5.0393529634799e-05,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,  5.9404444444444e-02,  1.8166581719135e-04,  2.9716666666667e-02,  1.2848836234951e-04,  2.9687777777778e-02,  1.2842589254719e-04,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00
  5.1000000000000e-01,  2.2920457775621e-02,  6.2380660539221e-05,  1.1353439696817e-02,  4.3903794234614e-05,  1.1567018078804e-02,  4.4314824394487e-05,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,  7.5002222222222e-02,  2.0412716927094e-04,  3.7151666666667e-02,  1.4366563546936e-04,  3.7850555555556e-02,  1.4501064243618e-04,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00
  5.7000000000000e-01,  2.2583111962330e-02,  5.5408378486046e-05,  1.1260696192247e-02,  3.9126064611509e-05,  1.1322415770083e-02,  3.9233142551534e-05,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,  9.2287777777778e-02,  2.2643097768265e-04,  4.6017777777778e-02,  1.5989193881733e-04,  4.6270000000000e-02,  1.6032952178422e-04,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00
  6.3000000000000e-01,  2.2276037820665e-02,  4.9793559020819e-05,  1.1068231684950e-02,  3.5098884672203e-05,  1.1207806135715e-02,  3.5319496241130e-05,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,  1.1118777777778e-01,  2.4853769865821e-04,  5.5245555555556e-02,  1.7519125351638e-04,  5.5942222222222e-02,  1.7629240580830e-04,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00
