# r, density, density error estimate, density A, density error estimate A, density B, density error estimate B, radial probability, probability error estimate, radial probability A, probability error estimate A, radial probability B, probability error estimate B
1.402500000e+00, 2.188595057e-02, 4.012044426e-05, 1.091910922e-02, 2.833848518e-05, 1.096684135e-02, 2.840035749e-05, 5.410490909e-01, 9.918294308e-04, 2.699345455e-01, 7.005641174e-04, 2.711145455e-01, 7.020936812e-04
1.457500000e+00, 2.111218043e-02, 3.791804501e-05, 1.051424164e-02, 2.675890700e-05, 1.059793879e-02, 2.686520115e-05, 5.636527273e-01, 1.012335488e-03, 2.807090909e-01, 7.144089622e-04, 2.829436364e-01, 7.172468022e-04
1.512500000e+00, 2.045806027e-02, 3.596885723e-05, 1.021875371e-02, 2.542104381e-05, 1.023930657e-02, 2.544659549e-05, 5.881836364e-01, 1.034129969e-03, 2.937963636e-01, 7.308729073e-04, 2.943872727e-01, 7.316075360e-04
1.567500000e+00, 1.977973466e-02, 3.412668684e-05, 9.896373571e-03, 2.413914797e-05, 9.883361091e-03, 2.412327279e-05, 6.107872727e-01, 1.053813225e-03, 3.055945455e-01, 7.454035459e-04, 3.051927273e-01, 7.449133290e-04
1.622500000e+00, 1.896498923e-02, 3.228379087e-05, 9.502306313e-03, 2.285192227e-05, 9.462682915e-03, 2.280422771e-05, 6.274418182e-01, 1.068083941e-03, 3.143763636e-01, 7.560379544e-04, 3.130654545e-01, 7.544600171e-04
1.677500000e+00, 1.822700243e-02, 3.061183534e-05, 9.111778916e-03, 2.164379091e-05, 9.115223512e-03, 2.164788160e-05, 6.445981818e-01, 1.082587961e-03, 3.222381818e-01, 7.654329515e-04, 3.223600000e-01, 7.655776191e-04
1.732500000e+00, 1.758156974e-02, 2.911059402e-05, 8.802955299e-03, 2.059854251e-05, 8.778614442e-03, 2.057004451e-05, 6.632090909e-01, 1.098105055e-03, 3.320636364e-01, 7.770148429e-04, 3.311454545e-01, 7.759398460e-04
1.787500000e+00, 1.686333268e-02, 2.763263150e-05, 8.408936059e-03, 1.951286620e-05, 8.454396620e-03, 1.956554053e-05, 6.771418182e-01, 1.109579624e-03, 3.376581818e-01, 7.835330031e-04, 3.394836364e-01, 7.856481243e-04
1.842500000e+00, 1.609510610e-02, 2.619009206e-05, 8.068115628e-03, 1.854283611e-05, 8.026990476e-03, 1.849551705e-05, 6.866745455e-01, 1.117362597e-03, 3.442145455e-01, 7.911034244e-04, 3.424600000e-01, 7.890846250e-04
1.897500000e+00, 1.561612034e-02, 2.504974502e-05, 7.797753442e-03, 1.770115013e-05, 7.818366899e-03, 1.772453129e-05, 7.066054545e-01, 1.133462478e-03, 3.528363636e-01, 8.009498493e-04, 3.537690909e-01, 8.020078110e-04
1.952500000e+00, 1.487573173e-02, 2.376005771e-05, 7.447846824e-03, 1.681216681e-05, 7.427884901e-03, 1.678962148e-05, 7.126872727e-01, 1.138329935e-03, 3.568218182e-01, 8.054607018e-04, 3.558654545e-01, 8.043805686e-04
2.007500000e+00, 1.421339127e-02, 2.258881470e-05, 7.111201032e-03, 1.597776632e-05, 7.102190241e-03, 1.596764018e-05, 7.198563636e-01, 1.144040975e-03, 3.601563636e-01, 8.092155165e-04, 3.597000000e-01, 8.087026648e-04
2.062500000e+00, 1.359347710e-02, 2.150166932e-05, 6.797452772e-03, 1.520477500e-05, 6.796024328e-03, 1.520317732e-05, 7.266981818e-01, 1.149464841e-03, 3.633872727e-01, 8.128370884e-04, 3.633109091e-01, 8.127516775e-04
2.117500000e+00, 1.288378707e-02, 2.038918497e-05, 6.472240483e-03, 1.445125017e-05, 6.411546591e-03, 1.438333175e-05, 7.259800000e-01, 1.148896704e-03, 3.647000000e-01, 8.143039415e-04, 3.612800000e-01, 8.104768518e-04
2.172500000e+00, 1.238693501e-02, 1.948607052e-05, 6.179933840e-03, 1.376367006e-05, 6.207001168e-03, 1.379377870e-05, 7.347109091e-01, 1.155784589e-03, 3.665527273e-01, 8.163697104e-04, 3.681581818e-01, 8.181555551e-04
2.227500000e+00, 1.167702886e-02, 1.845232756e-05, 5.819517459e-03, 1.302652167e-05, 5.857511403e-03, 1.306897568e-05, 7.281145455e-01, 1.150584472e-03, 3.628727273e-01, 8.122614081e-04, 3.652418182e-01, 8.149086041e-04
2.282500000e+00, 1.113239011e-02, 1.758274342e-05, 5.562112780e-03, 1.242831710e-05, 5.570277328e-03, 1.243743544e-05, 7.288545455e-01, 1.151169007e-03, 3.641600000e-01, 8.137008608e-04, 3.646945455e-01, 8.142978520e-04
2.337500000e+00, 1.059666776e-02, 1.675084595e-05, 5.301736454e-03, 1.184843945e-05, 5.294931311e-03, 1.184083286e-05, 7.276163636e-01, 1.150190785e-03, 3.640418182e-01, 8.135688139e-04, 3.635745455e-01, 8.130465104e-04
2.392500000e+00, 9.988934516e-03, 1.588955728e-05, 4.987187836e-03, 1.122742278e-05, 5.001746680e-03, 1.124379866e-05, 7.185418182e-01, 1.142995918e-03, 3.587472727e-01, 8.076309606e-04, 3.597945455e-01, 8.088089396e-04
2.447500000e+00, 9.470473389e-03, 1.512403692e-05, 4.723329466e-03, 1.068085465e-05, 4.747143923e-03, 1.070774658e-05, 7.129272727e-01, 1.138521587e-03, 3.555672727e-01, 8.040435003e-04, 3.573600000e-01, 8.060678970e-04
2.502500000e+00, 9.001369888e-03, 1.442066210e-05, 4.513079515e-03, 1.021097914e-05, 4.488290372e-03, 1.018289744e-05, 7.084090909e-01, 1.134908159e-03, 3.551800000e-01, 8.036055115e-04, 3.532290909e-01, 8.013954771e-04
2.557500000e+00, 8.486492089e-03, 1.370104894e-05, 4.235681104e-03, 9.679464690e-06, 4.250810985e-03, 9.696736836e-06, 6.975672727e-01, 1.126190096e-03, 3.481618182e-01, 7.956264749e-04, 3.494054545e-01, 7.970461998e-04
2.612500000e+00, 7.961998275e-03, 1.299153428e-05, 3.978306967e-03, 9.183295288e-06, 3.983691308e-03, 9.189507638e-06, 6.829054545e-01, 1.114291829e-03, 3.412218182e-01, 7.876568452e-04, 3.416836364e-01, 7.881896823e-04
2.667500000e+00, 7.500243498e-03, 1.234921307e-05, 3.758692143e-03, 8.742184754e-06, 3.741551355e-03, 8.722228455e-06, 6.706709091e-01, 1.104265209e-03, 3.361018182e-01, 7.817251530e-04, 3.345690909e-01, 7.799406631e-04
2.722500000e+00, 7.100196202e-03, 1.177263352e-05, 3.531554225e-03, 8.302739064e-06, 3.568641976e-03, 8.346222140e-06, 6.613490909e-01, 1.096564131e-03, 3.289472727e-01, 7.733601686e-04, 3.324018182e-01, 7.774104078e-04
2.777500000e+00, 6.665099813e-03, 1.118036260e-05, 3.333497008e-03, 7.906833524e-06, 3.331602805e-03, 7.904586743e-06, 6.461581818e-01, 1.083897162e-03, 3.231709091e-01, 7.665399344e-04, 3.229872727e-01, 7.663221169e-04
2.832500000e+00, 6.259611007e-03, 1.062455270e-05, 3.137496684e-03, 7.521918436e-06, 3.122114323e-03, 7.503456738e-06, 6.311181818e-01, 1.071208478e-03, 3.163345455e-01, 7.583888969e-04, 3.147836364e-01, 7.565275172e-04
2.887500000e+00, 5.920247905e-03, 1.013573183e-05, 2.966258178e-03, 7.174466953e-06, 2.953989727e-03, 7.159614773e-06, 6.203072727e-01, 1.061994070e-03, 3.107963636e-01, 7.517208907e-04, 3.095109091e-01, 7.501647202e-04
2.942500000e+00, 5.550329053e-03, 9.630532368e-06, 2.773927971e-03, 6.808297419e-06, 2.776401082e-03, 6.811331730e-06, 6.039127273e-01, 1.047865994e-03, 3.018218182e-01, 7.407880548e-04, 3.020909091e-01, 7.411182081e-04
2.997500000e+00, 5.188783441e-03, 9.140736968e-06, 2.584907270e-03, 6.451651846e-06, 2.603876171e-03, 6.475280749e-06, 5.858763636e-01, 1.032099681e-03, 2.918672727e-01, 7.284694699e-04, 2.940090909e-01, 7.311374587e-04
3.052500000e+00, 4.829161428e-03, 8.659404711e-06, 2.418672237e-03, 6.128309433e-06, 2.410489191e-03, 6.117933756e-06, 5.654636364e-01, 1.013960405e-03, 2.832109091e-01, 7.175854831e-04, 2.822527273e-01, 7.163705583e-04
3.107500000e+00, 4.545955254e-03, 8.252955354e-06, 2.276446152e-03, 5.840171603e-06, 2.269509102e-03, 5.831266391e-06, 5.516563636e-01, 1.001504653e-03, 2.762490909e-01, 7.087108539e-04, 2.754072727e-01, 7.076301971e-04
3.162500000e+00, 4.207923158e-03, 7.802101865e-06, 2.099831470e-03, 5.511501577e-06, 2.108091688e-03, 5.522331381e-06, 5.288709091e-01, 9.806036259e-04, 2.639163636e-01, 6.927105701e-04, 2.649545455e-01, 6.940717090e-04
3.217500000e+00, 3.934662858e-03, 7.415554703e-06, 1.962090467e-03, 5.236599910e-06, 1.972572391e-03, 5.250568821e-06, 5.118763636e-01, 9.647198026e-04, 2.552563636e-01, 6.812506729e-04, 2.566200000e-01, 6.830679455e-04
3.272500000e+00, 3.653814584e-03, 7.025903964e-06, 1.828764928e-03, 4.970589509e-06, 1.825049656e-03, 4.965537881e-06, 4.917290909e-01, 9.455437021e-04, 2.461145455e-01, 6.689402004e-04, 2.456145455e-01, 6.682603541e-04
3.327500000e+00, 3.406558083e-03, 6.671885960e-06, 1.710387580e-03, 4.727570157e-06, 1.696170503e-03, 4.707880911e-06, 4.739927273e-01, 9.283345080e-04, 2.379854545e-01, 6.577999897e-04, 2.360072727e-01, 6.550604035e-04
3.382500000e+00, 3.177872612e-03, 6.339271843e-06, 1.592508711e-03, 4.487578328e-06, 1.585363901e-03, 4.477500223e-06, 4.569109091e-01, 9.114532942e-04, 2.289690909e-01, 6.452189071e-04, 2.279418182e-01, 6.437698886e-04
3.437500000e+00, 2.924714435e-03, 5.984227813e-06, 1.467683474e-03, 4.239187110e-06, 1.457030962e-03, 4.223774990e-06, 4.342981818e-01, 8.886129967e-04, 2.179400000e-01, 6.294875261e-04, 2.163581818e-01, 6.271989416e-04
3.492500000e+00, 2.736628374e-03, 5.697452768e-06, 1.368266741e-03, 4.028637639e-06, 1.368361634e-03, 4.028777336e-06, 4.194763636e-01, 8.733179819e-04, 2.097309091e-01, 6.175183606e-04, 2.097454545e-01, 6.175397735e-04
3.547500000e+00, 2.528485037e-03, 5.391593778e-06, 1.263684928e-03, 3.811591698e-06, 1.264800109e-03, 3.813273161e-06, 3.998745455e-01, 8.526691199e-04, 1.998490909e-01, 6.027951422e-04, 2.000254545e-01, 6.030610621e-04
3.602500000e+00, 2.345748981e-03, 5.113829971e-06, 1.177411873e-03, 3.623011575e-06, 1.168337107e-03, 3.609022596e-06, 3.825672727e-01, 8.340125056e-04, 1.920236364e-01, 5.908755235e-04, 1.905436364e-01, 5.885940666e-04
3.657500000e+00, 2.168246474e-03, 4.842611410e-06, 1.083885294e-03, 3.423867570e-06, 1.084361180e-03, 3.424619122e-06, 3.644981818e-01, 8.140786000e-04, 1.822090909e-01, 5.755773243e-04, 1.822890909e-01, 5.757036657e-04
3.712500000e+00, 1.995116055e-03, 4.576435766e-06, 9.941463343e-04, 3.230490343e-06, 1.000969720e-03, 3.241557722e-06, 3.455563636e-01, 7.926438655e-04, 1.721872727e-01, 5.595245916e-04, 1.733690909e-01, 5.614414742e-04
3.767500000e+00, 1.853339001e-03, 4.346443498e-06, 9.280965574e-04, 3.075765255e-06, 9.252424439e-04, 3.071032265e-06, 3.305818182e-01, 7.752792086e-04, 1.655454545e-01, 5.486271371e-04, 1.650363636e-01, 5.477829093e-04
3.822500000e+00, 1.716262325e-03, 4.122439753e-06, 8.574578231e-04, 2.913861239e-06, 8.588045015e-04, 2.916148520e-06, 3.151345455e-01, 7.569490741e-04, 1.574436364e-01, 5.350337905e-04, 1.576909091e-01, 5.354537737e-04
3.877500000e+00, 1.581254201e-03, 3.900848846e-06, 7.963721116e-04, 2.768320045e-06, 7.848820891e-04, 2.748276886e-06, 2.987600000e-01, 7.370210309e-04, 1.504654545e-01, 5.230425926e-04, 1.482945455e-01, 5.192556656e-04
3.932500000e+00, 1.466069884e-03, 3.703554915e-06, 7.268834756e-04, 2.607797414e-06, 7.391864085e-04, 2.629774070e-06, 2.849109091e-01, 7.197359479e-04, 1.412600000e-01, 5.067902561e-04, 1.436509091e-01, 5.110611226e-04
3.987500000e+00, 1.336812592e-03, 3.487745993e-06, 6.648756768e-04, 2.459686782e-06, 6.719369154e-04, 2.472713701e-06, 2.671090909e-01, 6.968880058e-04, 1.328490909e-01, 4.914710588e-04, 1.342600000e-01, 4.940739731e-04
