# r, density, density error estimate, density A, density error estimate A, density B, density error estimate B, radial probability, probability error estimate, radial probability A, probability error estimate A, radial probability B, probability error estimate B
 2.750000000000e-02,  3.386377151287e-02,  2.204343767482e-03,  1.520999906934e-02,  1.477325706252e-03,  1.865377244353e-02,  1.636044071192e-03,  4.290909090909e-04,  2.793143908316e-05,  1.927272727273e-04,  1.871932752907e-05,  2.363636363636e-04,  2.073046227453e-05
 8.250000000000e-02,  3.341280119006e-02,  8.275973367275e-04,  1.596844915770e-02,  5.721290648825e-04,  1.744435203235e-02,  5.979846861543e-04,  2.963636363636e-03,  7.340592450250e-05,  1.416363636364e-03,  5.074649358892e-05,  1.547272727273e-03,  5.303982598478e-05
 1.375000000000e-01,  3.194552932637e-02,  4.911791293429e-04,  1.564047074111e-02,  3.436843611910e-04,  1.630505858525e-02,  3.509102406240e-04,  7.690909090909e-03,  1.182517275746e-04,  3.765454545455e-03,  8.274225638533e-05,  3.925454545455e-03,  8.448189203992e-05
 1.925000000000e-01,  3.337124987039e-02,  3.597468794934e-04,  1.719559813193e-02,  2.582375796095e-04,  1.617565173845e-02,  2.504619128385e-04,  1.564545454545e-02,  1.686602531474e-04,  8.061818181818e-03,  1.210696131970e-04,  7.583636363636e-03,  1.174241446725e-04
 2.475000000000e-01,  3.306634038319e-02,  2.788944100111e-04,  1.664020003348e-02,  1.978454263211e-04,  1.642614034970e-02,  1.965687646074e-04,  2.555818181818e-02,  2.155676726404e-04,  1.286181818182e-02,  1.529219538423e-04,  1.269636363636e-02,  1.519351753896e-04
 3.025000000000e-01,  3.190063147126e-02,  2.242800296992e-04,  1.586753272183e-02,  1.581778492906e-04,  1.603309874943e-02,  1.590009424994e-04,  3.678363636364e-02,  2.586103997193e-04,  1.829636363636e-02,  1.823900098758e-04,  1.848727272727e-02,  1.833390933230e-04
 3.575000000000e-01,  3.228876492375e-02,  1.910009455408e-04,  1.588903706077e-02,  1.339857432227e-04,  1.639972786298e-02,  1.361219372861e-04,  5.196000000000e-02,  3.073641606836e-04,  2.556909090909e-02,  2.156136734958e-04,  2.639090909091e-02,  2.190512978149e-04
 4.125000000000e-01,  3.171311126710e-02,  1.640921232113e-04,  1.596311223080e-02,  1.164198652595e-04,  1.574999903630e-02,  1.156401308930e-04,  6.791090909091e-02,  3.513892146400e-04,  3.418363636364e-02,  2.493031610624e-04,  3.372727272727e-02,  2.476334267614e-04
 4.675000000000e-01,  3.127961898861e-02,  1.438177603789e-04,  1.564642196238e-02,  1.017160094263e-04,  1.563319702623e-02,  1.016730132671e-04,  8.600727272727e-02,  3.954451409540e-04,  4.302181818182e-02,  2.796810461996e-04,  4.298545454545e-02,  2.795628228160e-04
 5.225000000000e-01,  3.119198792643e-02,  1.285134382042e-04,  1.560605418679e-02,  9.090202770867e-05,  1.558593373964e-02,  9.084341009404e-05,  1.071090909091e-01,  4.412978604672e-04,  5.358909090909e-02,  3.121453359315e-04,  5.352000000000e-02,  3.119440509276e-04
 5.775000000000e-01,  3.007709472239e-02,  1.141867220816e-04,  1.489700758191e-02,  8.036134254627e-05,  1.518008714048e-02,  8.112128033939e-05,  1.261472727273e-01,  4.789140608564e-04,  6.248000000000e-02,  3.370459909271e-04,  6.366727272727e-02,  3.402332695166e-04
 6.325000000000e-01,  3.055625995250e-02,  1.050912374183e-04,  1.538095885166e-02,  7.456038002171e-05,  1.517530110083e-02,  7.406023165732e-05,  1.537109090909e-01,  5.286533648482e-04,  7.737272727273e-02,  3.750702413554e-04,  7.633818181818e-02,  3.725542835814e-04
 6.875000000000e-01,  3.011894332345e-02,  9.599422470080e-05,  1.517206126742e-02,  6.813143459196e-05,  1.494688205603e-02,  6.762395135120e-05,  1.789890909091e-01,  5.704688516859e-04,  9.016363636364e-02,  4.048874958523e-04,  8.882545454545e-02,  4.018716541961e-04
 7.425000000000e-01,  2.968601901764e-02,  8.824578659180e-05,  1.483855002167e-02,  6.238981968689e-05,  1.484746899597e-02,  6.240856712538e-05,  2.057563636364e-01,  6.116391741369e-04,  1.028472727273e-01,  4.324292327333e-04,  1.029090909091e-01,  4.325591728498e-04
 7.975000000000e-01,  2.891982823974e-02,  8.109514153672e-05,  1.442841896586e-02,  5.728044111777e-05,  1.449140927388e-02,  5.740533987544e-05,  2.312272727273e-01,  6.483928000375e-04,  1.153618181818e-01,  4.579833625041e-04,  1.158654545455e-01,  4.589819852782e-04
 8.525000000000e-01,  2.838048186853e-02,  7.515431335801e-05,  1.417173244352e-02,  5.310745636742e-05,  1.420874942500e-02,  5.317677025259e-05,  2.592800000000e-01,  6.865989963714e-04,  1.294709090909e-01,  4.851820822048e-04,  1.298090909091e-01,  4.858153238893e-04
 9.075000000000e-01,  2.791708022989e-02,  7.002218042717e-05,  1.394633375787e-02,  4.949150493505e-05,  1.397074647202e-02,  4.953480282628e-05,  2.890054545455e-01,  7.248892762415e-04,  1.443763636364e-01,  5.123499578792e-04,  1.446290909091e-01,  5.127981898087e-04
