# r, density, density error estimate, radial probability, probability error estimate
2.750000000e-02, 2.496735696e-02, 1.892770447e-03, 3.163636364e-04, 2.398346538e-05
8.250000000e-02, 1.930972928e-02, 6.291449770e-04, 1.712727273e-03, 5.580367001e-05
1.375000000e-01, 2.176525190e-02, 4.054307731e-04, 5.240000000e-03, 9.760774932e-05
1.925000000e-01, 2.290807356e-02, 2.980609515e-04, 1.074000000e-02, 1.397400183e-04
2.475000000e-01, 2.377944333e-02, 2.365089530e-04, 1.838000000e-02, 1.828064053e-04
3.025000000e-01, 2.335427081e-02, 1.918996227e-04, 2.692909091e-02, 2.212735490e-04
3.575000000e-01, 2.314152436e-02, 1.616984222e-04, 3.724000000e-02, 2.602097056e-04
4.125000000e-01, 2.388990420e-02, 1.424214860e-04, 5.115818182e-02, 3.049834029e-04
4.675000000e-01, 2.373743790e-02, 1.252848955e-04, 6.526909091e-02, 3.444866824e-04
5.225000000e-01, 2.294207511e-02, 1.102156749e-04, 7.878000000e-02, 3.784658025e-04
5.775000000e-01, 2.385411300e-02, 1.016902466e-04, 1.000472727e-01, 4.265022066e-04
6.325000000e-01, 2.284319070e-02, 9.086461493e-05, 1.149109091e-01, 4.570874376e-04
6.875000000e-01, 2.341466063e-02, 8.463873690e-05, 1.391472727e-01, 5.029861244e-04
7.425000000e-01, 2.337007359e-02, 7.829752569e-05, 1.619800000e-01, 5.426869179e-04
7.975000000e-01, 2.362568614e-02, 7.329750581e-05, 1.888981818e-01, 5.860471309e-04
8.525000000e-01, 2.337562676e-02, 6.820648374e-05, 2.135563636e-01, 6.231246244e-04
9.075000000e-01, 2.343023413e-02, 6.414886061e-05, 2.425563636e-01, 6.640870201e-04
9.625000000e-01, 2.328996952e-02, 6.030292325e-05, 2.712054545e-01, 7.022113830e-04
1.017500000e+00, 2.314263771e-02, 5.686340575e-05, 3.011600000e-01, 7.399754296e-04
1.072500000e+00, 2.323616414e-02, 5.405689006e-05, 3.359418182e-01, 7.815390622e-04
1.127500000e+00, 2.344016682e-02, 5.164573552e-05, 3.745327273e-01, 8.252082131e-04
1.182500000e+00, 2.328043769e-02, 4.907598230e-05, 4.091490909e-01, 8.625006887e-04
1.237500000e+00, 2.350883543e-02, 4.712467110e-05, 4.524836364e-01, 9.070267475e-04
1.292500000e+00, 2.324434452e-02, 4.486514325e-05, 4.880381818e-01, 9.419884016e-04
1.347500000e+00, 2.335398451e-02, 4.313554590e-05, 5.329527273e-01, 9.843804949e-04
1.402500000e+00, 2.319369306e-02, 4.130170488e-05, 5.733781818e-01, 1.021031726e-03
1.457500000e+00, 2.285851567e-02, 3.945512342e-05, 6.102763636e-01, 1.053372388e-03
1.512500000e+00, 2.286230179e-02, 3.802370132e-05, 6.573072727e-01, 1.093208183e-03
1.567500000e+00, 2.315508948e-02, 3.692386278e-05, 7.150163636e-01, 1.140188472e-03
1.622500000e+00, 2.266513313e-02, 3.529290136e-05, 7.498581818e-01, 1.167638006e-03
1.677500000e+00, 2.276230143e-02, 3.420895659e-05, 8.049890909e-01, 1.209800202e-03
1.732500000e+00, 2.285919774e-02, 3.319347617e-05, 8.622909091e-01, 1.252118865e-03
1.787500000e+00, 2.244683145e-02, 3.188071583e-05, 9.013454545e-01, 1.280160114e-03
1.842500000e+00, 2.245471670e-02, 3.093455643e-05, 9.579981818e-01, 1.319778344e-03
1.897500000e+00, 2.218192839e-02, 2.985495256e-05, 1.003698182e+00, 1.350890738e-03
1.952500000e+00, 2.226088445e-02, 2.906561590e-05, 1.066505455e+00, 1.392516006e-03
2.007500000e+00, 2.201092017e-02, 2.811018387e-05, 1.114772727e+00, 1.423678160e-03
2.062500000e+00, 2.181702671e-02, 2.723984801e-05, 1.166323636e+00, 1.456224031e-03
2.117500000e+00, 2.181350098e-02, 2.653021584e-05, 1.229154545e+00, 1.494933593e-03
2.172500000e+00, 2.164212193e-02, 2.575682103e-05, 1.283667273e+00, 1.527723959e-03
2.227500000e+00, 2.137939322e-02, 2.496793736e-05, 1.333100000e+00, 1.556861645e-03
2.282500000e+00, 2.109027932e-02, 2.420101585e-05, 1.380812727e+00, 1.584477389e-03
2.337500000e+00, 2.089883433e-02, 2.352410544e-05, 1.435010909e+00, 1.615274201e-03
2.392500000e+00, 2.087007851e-02, 2.296752805e-05, 1.501263636e+00, 1.652141110e-03
2.447500000e+00, 2.023226518e-02, 2.210569325e-05, 1.523063636e+00, 1.664093330e-03
2.502500000e+00, 2.011335165e-02, 2.155624544e-05, 1.582923636e+00, 1.696479583e-03
2.557500000e+00, 1.981262404e-02, 2.093440932e-05, 1.628545455e+00, 1.720753247e-03
2.612500000e+00, 1.969640549e-02, 2.043350612e-05, 1.689372727e+00, 1.752594299e-03
2.667500000e+00, 1.915205494e-02, 1.973373500e-05, 1.712574545e+00, 1.764588309e-03
2.722500000e+00, 1.881898862e-02, 1.916622532e-05, 1.752898182e+00, 1.785241609e-03
2.777500000e+00, 1.838063214e-02, 1.856661713e-05, 1.781938182e+00, 1.799968778e-03
2.832500000e+00, 1.811807677e-02, 1.807561281e-05, 1.826734545e+00, 1.822453165e-03
2.887500000e+00, 1.755870471e-02, 1.745546420e-05, 1.839752727e+00, 1.828935471e-03
2.942500000e+00, 1.712879885e-02, 1.691820894e-05, 1.863727273e+00, 1.840813690e-03
2.997500000e+00, 1.681878087e-02, 1.645681153e-05, 1.899043636e+00, 1.858172923e-03
3.052500000e+00, 1.640279829e-02, 1.595920113e-05, 1.920661818e+00, 1.868719454e-03
3.107500000e+00, 1.589947891e-02, 1.543435066e-05, 1.929418182e+00, 1.872974388e-03
3.162500000e+00, 1.548268755e-02, 1.496583286e-05, 1.945934545e+00, 1.880973899e-03
3.217500000e+00, 1.497836252e-02, 1.446845137e-05, 1.948596364e+00, 1.882259939e-03
3.272500000e+00, 1.447203798e-02, 1.398278898e-05, 1.947641818e+00, 1.881798858e-03
3.327500000e+00, 1.402685860e-02, 1.353851171e-05, 1.951714545e+00, 1.883765352e-03
3.382500000e+00, 1.357414096e-02, 1.310168975e-05, 1.951674545e+00, 1.883746048e-03
3.437500000e+00, 1.312945333e-02, 1.267913733e-05, 1.949625455e+00, 1.882756902e-03
3.492500000e+00, 1.264013384e-02, 1.224471432e-05, 1.937507273e+00, 1.876896506e-03
3.547500000e+00, 1.218760346e-02, 1.183712210e-05, 1.927443636e+00, 1.872015752e-03
3.602500000e+00, 1.166519925e-02, 1.140385263e-05, 1.902472727e+00, 1.859849812e-03
3.657500000e+00, 1.114711915e-02, 1.098010816e-05, 1.873912727e+00, 1.845836951e-03
3.712500000e+00, 1.068700748e-02, 1.059183840e-05, 1.851001818e+00, 1.834518425e-03
3.767500000e+00, 1.031537786e-02, 1.025413844e-05, 1.839963636e+00, 1.829040303e-03
3.822500000e+00, 9.761308810e-03, 9.831425873e-06, 1.792340000e+00, 1.805214669e-03
3.877500000e+00, 9.302164389e-03, 9.461288404e-06, 1.757538182e+00, 1.787602855e-03
3.932500000e+00, 8.857138723e-03, 9.103076149e-06, 1.721265455e+00, 1.769060076e-03
3.987500000e+00, 8.389115510e-03, 8.737107347e-06, 1.676232727e+00, 1.745765124e-03
4.042500000e+00, 8.053567998e-03, 8.444122207e-06, 1.653883636e+00, 1.734087990e-03
4.097500000e+00, 7.576113561e-03, 8.080062845e-06, 1.598456364e+00, 1.704782771e-03
4.152500000e+00, 7.133161367e-03, 7.736453722e-06, 1.545672727e+00, 1.676399132e-03
4.207500000e+00, 6.766711304e-03, 7.436615553e-06, 1.505365455e+00, 1.654396597e-03
4.262500000e+00, 6.360528125e-03, 7.116933489e-06, 1.452238182e+00, 1.624940940e-03
4.317500000e+00, 6.005150065e-03, 6.827164587e-06, 1.406709091e+00, 1.599266361e-03
4.372500000e+00, 5.651519497e-03, 6.539787805e-06, 1.357814545e+00, 1.571226820e-03
4.427500000e+00, 5.266947079e-03, 6.234933680e-06, 1.297452727e+00, 1.535905257e-03
4.482500000e+00, 4.943212613e-03, 5.966166180e-06, 1.248145455e+00, 1.506437975e-03
4.537500000e+00, 4.629624202e-03, 5.703839499e-06, 1.197827273e+00, 1.475760065e-03
4.592500000e+00, 4.321290470e-03, 5.444634025e-06, 1.145320000e+00, 1.443052321e-03
4.647500000e+00, 4.049145305e-03, 5.208029930e-06, 1.099049091e+00, 1.413602163e-03
