# r, density, density error estimate, radial probability, probability error estimate
3.500000000e-02, 5.779690878e-01, 8.969659123e-03, 1.186285714e-02, 1.841028994e-04
1.050000000e-01, 5.844519505e-01, 3.409172836e-03, 8.397142857e-02, 4.898146255e-04
1.750000000e-01, 5.723863319e-01, 2.047818490e-03, 2.232171429e-01, 7.986008172e-04
2.450000000e-01, 5.413399996e-01, 1.427111252e-03, 4.111085714e-01, 1.083787764e-03
3.150000000e-01, 5.130664581e-01, 1.082045510e-03, 6.423742857e-01, 1.354752783e-03
3.850000000e-01, 4.778227788e-01, 8.549414271e-04, 8.924685714e-01, 1.596843826e-03
4.550000000e-01, 4.324815722e-01, 6.885025868e-04, 1.127342857e+00, 1.794708776e-03
5.250000000e-01, 3.906172493e-01, 5.672258173e-04, 1.354948571e+00, 1.967557276e-03
5.950000000e-01, 3.461948774e-01, 4.712529533e-04, 1.541931429e+00, 2.098932673e-03
6.650000000e-01, 3.040405094e-01, 3.951888780e-04, 1.691162857e+00, 2.198156927e-03
7.350000000e-01, 2.626786218e-01, 3.323701406e-04, 1.784585714e+00, 2.258055873e-03
8.050000000e-01, 2.246179048e-01, 2.806406423e-04, 1.830288571e+00, 2.286787248e-03
8.750000000e-01, 1.905665431e-01, 2.378266617e-04, 1.834442857e+00, 2.289380988e-03
9.450000000e-01, 1.587828031e-01, 2.010164978e-04, 1.782688571e+00, 2.256855316e-03
1.015000000e+00, 1.315550362e-01, 1.703580627e-04, 1.703811429e+00, 2.206361859e-03
1.085000000e+00, 1.075773325e-01, 1.441173893e-04, 1.591991429e+00, 2.132732271e-03
1.155000000e+00, 8.737219096e-02, 1.220110650e-04, 1.465142857e+00, 2.046001576e-03
1.225000000e+00, 7.043786576e-02, 1.032925435e-04, 1.328637143e+00, 1.948359854e-03
1.295000000e+00, 5.635576229e-02, 8.739922380e-05, 1.187937143e+00, 1.842309996e-03
1.365000000e+00, 4.480529480e-02, 7.393421745e-05, 1.049300000e+00, 1.731473361e-03
1.435000000e+00, 3.522697211e-02, 6.235966130e-05, 9.117485714e-01, 1.613999975e-03
1.505000000e+00, 2.740173065e-02, 5.244141471e-05, 7.800800000e-01, 1.492916609e-03
1.575000000e+00, 2.113129899e-02, 4.400558955e-05, 6.588228571e-01, 1.371987981e-03
1.645000000e+00, 1.615363124e-02, 3.683812025e-05, 5.493857143e-01, 1.252866102e-03
1.715000000e+00, 1.229805662e-02, 3.083081611e-05, 4.546057143e-01, 1.139681302e-03
1.785000000e+00, 9.212627561e-03, 2.563815422e-05, 3.689142857e-01, 1.026664900e-03
1.855000000e+00, 6.919431609e-03, 2.138092923e-05, 2.992400000e-01, 9.246466507e-04
1.925000000e+00, 5.143071924e-03, 1.776305596e-05, 2.395200000e-01, 8.272501781e-04
1.995000000e+00, 3.753043057e-03, 1.464156979e-05, 1.877257143e-01, 7.323654714e-04
2.065000000e+00, 2.723753470e-03, 1.205047304e-05, 1.459685714e-01, 6.457964549e-04
2.135000000e+00, 1.972377283e-03, 9.918333584e-06, 1.129885714e-01, 5.681764601e-04
2.205000000e+00, 1.415592452e-03, 8.135857531e-06, 8.649714286e-02, 4.971264365e-04
2.275000000e+00, 9.894847538e-04, 6.592756977e-06, 6.436000000e-02, 4.288189761e-04
2.345000000e+00, 7.003539073e-04, 5.380973496e-06, 4.840000000e-02, 3.718678721e-04
2.415000000e+00, 4.938553379e-04, 4.387615724e-06, 3.619714286e-02, 3.215904354e-04
2.485000000e+00, 3.300584705e-04, 3.485906514e-06, 2.561428571e-02, 2.705248112e-04
2.555000000e+00, 2.225081927e-04, 2.783745719e-06, 1.825428571e-02, 2.283749155e-04
2.625000000e+00, 1.577123262e-04, 2.281138683e-06, 1.365714286e-02, 1.975358402e-04
2.695000000e+00, 1.032985146e-04, 1.798196329e-06, 9.428571429e-03, 1.641303613e-04
2.765000000e+00, 6.527443927e-05, 1.393239849e-06, 6.271428571e-03, 1.338595060e-04
2.835000000e+00, 4.955962404e-05, 1.184025218e-06, 5.005714286e-03, 1.195911402e-04
2.905000000e+00, 3.157449524e-05, 9.223008537e-07, 3.348571429e-03, 9.781281582e-05
2.975000000e+00, 1.949709425e-05, 7.076996866e-07, 2.168571429e-03, 7.871415608e-05
3.045000000e+00, 1.127940534e-05, 5.259049856e-07, 1.314285714e-03, 6.127888740e-05
3.115000000e+00, 8.083637111e-06, 4.352083923e-07, 9.857142857e-04, 5.306907320e-05
3.185000000e+00, 4.504865143e-06, 3.177486878e-07, 5.742857143e-04, 4.050699108e-05
3.255000000e+00, 2.682337254e-06, 2.399155375e-07, 3.571428571e-04, 3.194382825e-05
3.325000000e+00, 2.097601206e-06, 2.076934680e-07, 2.914285714e-04, 2.885572840e-05
3.395000000e+00, 1.775291437e-06, 1.871321484e-07, 2.571428571e-04, 2.710523709e-05
3.465000000e+00, 6.817157759e-07, 1.136192960e-07, 1.028571429e-04, 1.714285714e-05
