# r, density, density error estimate, radial probability, probability error estimate
3.214285714e-02, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
9.642857143e-02, 1.283718883e+02, 1.815452654e-01, 1.555555556e+01, 2.199887764e-02
1.607142857e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
2.250000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
2.892857143e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
3.535714286e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
4.178571429e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
4.821428571e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
5.464285714e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
6.107142857e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
6.750000000e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
7.392857143e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
8.035714286e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
8.678571429e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
9.321428571e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
9.964285714e-01, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
1.060714286e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
1.125000000e+00, 9.778054601e-01, 1.382825743e-03, 1.555555556e+01, 2.199887764e-02
1.189285714e+00, 8.749787904e-01, 1.237406872e-03, 1.555555556e+01, 2.199887764e-02
1.253571429e+00, 7.875575967e-01, 1.113774634e-03, 1.555555556e+01, 2.199887764e-02
1.317857143e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
1.382142857e+00, 6.478754274e-01, 9.162342161e-04, 1.555555556e+01, 2.199887764e-02
1.446428571e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
1.510714286e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
1.575000000e+00, 4.989468172e-01, 7.056173558e-04, 1.555555556e+01, 2.199887764e-02
1.639285714e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
1.703571429e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
1.767857143e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
1.832142857e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
1.896428571e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
1.960714286e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
2.025000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
2.089285714e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
2.153571429e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
2.217857143e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
2.282142857e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
2.346428571e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
2.410714286e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
2.475000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
2.539285714e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
2.603571429e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
2.667857143e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
2.732142857e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
2.796428571e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
2.860714286e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
2.925000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
2.989285714e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
3.053571429e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
3.117857143e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
3.182142857e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
3.246428571e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
3.310714286e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
3.375000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
3.439285714e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00, 0.000000000e+00
