#                   r,             dens_tot,             dens_err,               dens_A,           dens_err_A,               dens_B,           dens_err_B,           dens_alike,       dens_err_alike,          dens_unlike,      dens_err_unlike,         dens_alike_n,     dens_err_alike_n,        dens_unlike_n,    dens_err_unlike_n,             prob_tot,             prob_err,               prob_A,           prob_err_A,               prob_B,           prob_err_B,           prob_alike,       prob_err_alike,          prob_unlike,      prob_err_unlike,         prob_alike_n,     prob_err_alike_n,        prob_unlike_n,    prob_err_unlike_n
  3.0000000000000e-02,  1.0217354371332e-02,  3.5422302966752e-04,  4.1753611613615e-03,  2.2644075207309e-04,  6.0419932099701e-03,  2.7239409051484e-04,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.5407407407407e-04,  5.3415574451318e-06,  6.2962962962963e-05,  3.4146460952937e-06,  9.1111111111111e-05,  4.1076061134850e-06,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00
  9.0000000000000e-02,  1.3075196107406e-02,  1.5145466360516e-04,  6.7823303570686e-03,  1.0908072478448e-04,  6.2928657503376e-03,  1.0507097890590e-04,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.3801851851852e-03,  1.5987177646738e-05,  7.1592592592593e-04,  1.1514290042007e-05,  6.6425925925926e-04,  1.1091031238659e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00
  1.5000000000000e-01,  1.2712229616356e-02,  9.0644535741656e-05,  6.5435536219231e-03,  6.5033570338239e-05,  6.1686759944325e-03,  6.3143222826221e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  3.6422222222222e-03,  2.5970860530753e-05,  1.8748148148148e-03,  1.8632979597193e-05,  1.7674074074074e-03,  1.8091369987881e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00
  2.1000000000000e-01,  1.2849690569325e-02,  6.5305993060547e-05,  6.4767883706524e-03,  4.6364604164499e-05,  6.3729021986726e-03,  4.5991262325506e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  7.1694444444444e-03,  3.6437273458909e-05,  3.6137037037037e-03,  2.5868985089770e-05,  3.5557407407407e-03,  2.5660680184761e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00
  2.7000000000000e-01,  1.2303424398045e-02,  4.9768625886494e-05,  6.0723924161112e-03,  3.4964116783196e-05,  6.2310319819334e-03,  3.5417886162232e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.1317407407407e-02,  4.5780085043138e-05,  5.5857407407407e-03,  3.2162034038140e-05,  5.7316666666667e-03,  3.2579437580879e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00
  3.3000000000000e-01,  1.2330675502131e-02,  4.0792498227019e-05,  6.1622338949983e-03,  2.8837390478435e-05,  6.1684416071322e-03,  2.8851911929639e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  1.6920740740741e-02,  5.5977410689890e-05,  8.4561111111111e-03,  3.9572041924288e-05,  8.4646296296296e-03,  3.9591968951884e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00
  3.9000000000000e-01,  1.2370982064380e-02,  3.4586593785029e-05,  6.2379973108057e-03,  2.4559996250929e-05,  6.1329847535746e-03,  2.4352393184345e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  2.3691851851852e-02,  6.6237300462543e-05,  1.1946481481481e-02,  4.7035214312890e-05,  1.1745370370370e-02,  4.6637630590604e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00
  4.5000000000000e-01,  1.2161665867930e-02,  2.9727661449323e-05,  6.0682254650911e-03,  2.0998828521070e-05,  6.0934404028389e-03,  2.1042410888210e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  3.0993518518519e-02,  7.5759754925635e-05,  1.5464629629630e-02,  5.3514673705286e-05,  1.5528888888889e-02,  5.3625741622928e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00
  5.1000000000000e-01,  1.2140918018318e-02,  2.6212199301203e-05,  6.0177718142387e-03,  1.8454214151221e-05,  6.1231462040795e-03,  1.8615084535583e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  3.9728518518518e-02,  8.5773731753870e-05,  1.9691851851852e-02,  6.0387409547226e-05,  2.0036666666667e-02,  6.0913822956374e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00
  5.7000000000000e-01,  1.1857681301210e-02,  2.3180500375644e-05,  5.9005638396140e-03,  1.6351954738465e-05,  5.9571174615956e-03,  1.6430130063283e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  4.8457407407407e-02,  9.4729055544404e-05,  2.4113148148148e-02,  6.6823632086356e-05,  2.4344259259259e-02,  6.7143102096359e-05,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00,  0.0000000000000e+00
