#                 r,           dens_tot,           dens_err,             dens_A,         dens_err_A,             dens_B,         dens_err_B,         dens_alike,     dens_alike_err,        dens_unlike,    dens_unlike_err,           prob_tot,           prob_err,             prob_A,         prob_err_A,             prob_B,         prob_err_B,         prob_alike,     prob_alike_err,        prob_unlike,    prob_unlike_err
 6.900000000000e-01, 1.057011640040e-02, 1.278607356352e-05, 5.262832707577e-03, 9.022088780362e-06, 5.307283692826e-03, 9.060109889572e-06, 1.299193723346e-07, 2.835073133163e-08, 1.211549702326e-06, 7.903278827269e-08, 6.327925925926e-02, 7.654535042805e-05, 3.150657407407e-02, 5.401180775746e-05, 3.177268518519e-02, 5.423942565076e-05, 7.777777777778e-07, 1.697250257391e-07, 7.253086419753e-06, 4.731391887888e-07
 7.500000000000e-01, 1.044070712880e-02, 1.169152338493e-05, 5.180605676261e-03, 8.235622176602e-06, 5.260101452542e-03, 8.298568938359e-06, 5.933380403640e-06, 1.762735853387e-07, 1.884838920515e-05, 2.868023060853e-07, 7.384037037037e-02, 8.268658494937e-05, 3.663907407407e-02, 5.824523035160e-05, 3.720129629630e-02, 5.869041209499e-05, 4.196296296296e-05, 1.246669087386e-06, 1.333024691358e-04, 2.028367259339e-06
 8.100000000000e-01, 1.032284970469e-02, 1.076462006748e-05, 5.150873073948e-03, 7.603951325529e-06, 5.171976630738e-03, 7.619512414590e-06, 5.033422800179e-05, 4.754015635369e-07, 1.135251618774e-04, 6.517549550254e-07, 8.514870370370e-02, 8.879267555280e-05, 4.248731481481e-02, 6.272169186973e-05, 4.266138888889e-02, 6.285004853477e-05, 4.151851851852e-04, 3.921381017057e-06, 9.364197530864e-04, 5.376043548100e-06
 8.700000000000e-01, 1.024447456234e-02, 9.984417476819e-06, 5.126436191258e-03, 7.062942418715e-06, 5.118038371079e-03, 7.057155003350e-06, 1.976747614242e-04, 8.771694444093e-07, 3.698641334534e-04, 1.095313321395e-06, 9.747879629630e-02, 9.500428659739e-05, 4.877935185185e-02, 6.720570402093e-05, 4.869944444444e-02, 6.715063528315e-05, 1.880925925926e-03, 8.346491669105e-06, 3.519351851852e-03, 1.042218646620e-05
 9.300000000000e-01, 1.014775934112e-02, 9.296297519130e-06, 5.052921108478e-03, 6.559884513047e-06, 5.094838232645e-03, 6.587037478235e-06, 5.080505335454e-04, 1.315553112443e-06, 8.079961432639e-04, 1.514498862222e-06, 1.103307407407e-01, 1.010732869152e-04, 5.493750000000e-02, 7.132184486927e-05, 5.539324074074e-02, 7.161706341572e-05, 5.523740740741e-03, 1.430325104296e-05, 8.784876543210e-03, 1.646627355882e-05
 9.900000000000e-01, 1.004762228755e-02, 8.689868194842e-06, 5.046944129687e-03, 6.158795552596e-06, 5.000678157858e-03, 6.130501332277e-06, 9.874372907655e-04, 1.722924698792e-06, 1.363343050964e-03, 1.848091570032e-06, 1.237874074074e-01, 1.070597822815e-04, 6.217870370370e-02, 7.587679078594e-05, 6.160870370370e-02, 7.552820401807e-05, 1.216529629630e-02, 2.122655246366e-05, 1.679648148148e-02, 2.276861704777e-05
 1.050000000000e+00, 9.879935319277e-03, 8.124784716312e-06, 4.976705519438e-03, 5.766413520987e-06, 4.903229799839e-03, 5.723687778993e-06, 1.548304523442e-03, 2.034196948511e-06, 1.969332356506e-03, 2.094274922692e-06, 1.369180555556e-01, 1.125948388543e-04, 6.896814814815e-02, 7.991207445278e-05, 6.794990740741e-02, 7.931997285223e-05, 2.145670370370e-02, 2.819029495707e-05, 2.729138888889e-02, 2.902286714917e-05
 1.110000000000e+00, 9.798795878830e-03, 7.654092402537e-06, 4.857884078048e-03, 5.389282122779e-06, 4.940911800781e-03, 5.435142013571e-06, 2.083074506108e-03, 2.231977143906e-06, 2.512395253675e-03, 2.237642490301e-06, 1.517519444444e-01, 1.185373610600e-04, 7.523305555556e-02, 8.346270821482e-05, 7.651888888889e-02, 8.417293094889e-05, 3.226014814815e-02, 3.456617279629e-05, 3.890895061728e-02, 3.465391085535e-05
 1.170000000000e+00, 9.613953657846e-03, 7.192845919032e-06, 4.789842285002e-03, 5.077037273623e-06, 4.824111372845e-03, 5.095166821330e-06, 2.602181855797e-03, 2.366729166425e-06, 2.995427531591e-03, 2.318027192073e-06, 1.654164814815e-01, 1.237592052250e-04, 8.241342592593e-02, 8.735486689887e-05, 8.300305555556e-02, 8.766680162408e-05, 4.477281481481e-02, 4.072164535660e-05, 5.153895061728e-02, 3.988368529092e-05
 1.230000000000e+00, 9.483131027678e-03, 6.795335436042e-06, 4.741173532016e-03, 4.804829149057e-06, 4.741957495662e-03, 4.805226377259e-06, 3.012210368945e-03, 2.422187001454e-06, 3.364453837491e-03, 2.336854558305e-06, 1.803258333333e-01, 1.292162389940e-04, 9.015546296296e-02, 9.136590202108e-05, 9.017037037037e-02, 9.137345548696e-05, 5.727848148148e-02, 4.605893225049e-05, 6.397654320988e-02, 4.443629897923e-05
 1.290000000000e+00, 9.344475632933e-03, 6.431789237394e-06, 4.665920499811e-03, 4.544886103187e-06, 4.678555133123e-03, 4.551035388054e-06, 3.336669420962e-03, 2.430753518013e-06, 3.635768466723e-03, 2.316284060848e-06, 1.954440740741e-01, 1.345238771571e-04, 9.758990740741e-02, 9.505841644864e-05, 9.785416666667e-02, 9.518703161489e-05, 6.978800000000e-02, 5.084034560013e-05, 7.604379629630e-02, 4.844616341761e-05
