#                 r,           dens_tot,           dens_err,             dens_A,         dens_err_A,             dens_B,         dens_err_B,         dens_alike,     dens_alike_err,        dens_unlike,    dens_unlike_err,           prob_tot,           prob_err,             prob_A,         prob_err_A,             prob_B,         prob_err_B,         prob_alike,     prob_alike_err,        prob_unlike,    prob_unlike_err
 3.000000000000e-02, 8.381423507733e-04, 8.786119173301e-05, 2.394692430781e-04, 4.696378243694e-05, 5.986731076952e-04, 7.425626001867e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.263888888889e-05, 1.324915557524e-06, 3.611111111111e-06, 7.081971546657e-07, 9.027777777778e-06, 1.119758020597e-06, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 9.000000000000e-02, 6.289357043479e-04, 2.876684953597e-05, 3.539408043297e-04, 2.158015171036e-05, 2.749949000182e-04, 1.902179498320e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 6.638888888889e-05, 3.036557098483e-06, 3.736111111111e-05, 2.277947148175e-06, 2.902777777778e-05, 2.007893374278e-06, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 1.500000000000e-01, 3.989538199459e-04, 1.390665594330e-05, 1.754815101099e-04, 9.223103405994e-06, 2.234723098360e-04, 1.040814311430e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.143055555556e-04, 3.984441191050e-06, 5.027777777778e-05, 2.642541332006e-06, 6.402777777778e-05, 2.982070910220e-06, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 2.100000000000e-01, 4.620113463128e-04, 1.072416914940e-05, 2.178124612197e-04, 7.363405133308e-06, 2.441988850931e-04, 7.796670365464e-06, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 2.577777777778e-04, 5.983516452372e-06, 1.215277777778e-04, 4.108388738264e-06, 1.362500000000e-04, 4.350127712046e-06, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 2.700000000000e-01, 5.403911859877e-04, 9.032904270931e-06, 2.319197713543e-04, 5.917553136260e-06, 3.084714146334e-04, 6.824655628480e-06, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 4.970833333333e-04, 8.308992228414e-06, 2.133333333333e-04, 5.443310539518e-06, 2.837500000000e-04, 6.277716322216e-06, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 3.300000000000e-01, 5.036343844280e-04, 7.139621472496e-06, 2.364328621430e-04, 4.891830724217e-06, 2.672015222849e-04, 5.200402574429e-06, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 6.911111111111e-04, 9.797328938082e-06, 3.244444444444e-04, 6.712803318664e-06, 3.666666666667e-04, 7.136240321481e-06, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 3.900000000000e-01, 4.829272227913e-04, 5.918030239966e-06, 2.327246520405e-04, 4.108256311156e-06, 2.502025707509e-04, 4.259731447286e-06, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 9.248611111111e-04, 1.133370778249e-05, 4.456944444444e-04, 7.867782799038e-06, 4.791666666667e-04, 8.157875086438e-06, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 4.500000000000e-01, 4.709816109879e-04, 5.066369025643e-06, 2.254629628161e-04, 3.505358569388e-06, 2.455186481718e-04, 3.657944286620e-06, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.200277777778e-03, 1.291143860744e-05, 5.745833333333e-04, 8.933265961603e-06, 6.256944444444e-04, 9.322124552528e-06, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 5.100000000000e-01, 4.976563054042e-04, 4.595926613162e-06, 2.467696170252e-04, 3.236340241281e-06, 2.508866883790e-04, 3.263225900276e-06, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.628472222222e-03, 1.503917210257e-05, 8.075000000000e-04, 1.059022085595e-05, 8.209722222222e-04, 1.067819833835e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 5.700000000000e-01, 4.963056140604e-04, 4.107032553702e-06, 2.590794833926e-04, 2.967358800242e-06, 2.372261306678e-04, 2.839453846745e-06, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 2.028194444444e-03, 1.678373238703e-05, 1.058750000000e-03, 1.212636017571e-05, 9.694444444444e-04, 1.160366587456e-05, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
