#                   r,             dens_tot,             dens_err,               dens_A,           dens_err_A,               dens_B,           dens_err_B,           dens_alike,       dens_err_alike,          dens_unlike,      dens_err_unlike,         dens_alike_n,     dens_err_alike_n,        dens_unlike_n,    dens_err_unlike_n,             prob_tot,             prob_err,               prob_A,           prob_err_A,               prob_B,           prob_err_B,           prob_alike,       prob_err_alike,          prob_unlike,      prob_err_unlike,         prob_alike_n,     prob_err_alike_n,        prob_unlike_n,    prob_err_unlike_n
  4.0500000000000e+00,  3.7096662531768e-04,  9.9992457085120e-07,  1.8651963768361e-04,  7.0902590396384e-07,  1.8444698763407e-04,  7.0507546752119e-07,                 -nan,                 -nan,  1.0231560154853e-03,  2.3484739621880e-06,                 -nan,                 -nan,  1.0052644680186e+00,  3.2674582647096e-03,  7.6464999999999e-02,  2.0610811618069e-04,  3.8446111111111e-02,  1.4614701713440e-04,  3.8018888888889e-02,  1.4533273870079e-04,                 -nan,                 -nan,  2.1089666666666e-01,  4.8407605769096e-04,                 -nan,                 -nan,  1.0052644680186e+00,  3.2674582647096e-03
  4.1100000000000e+00,  3.2730424946128e-04,  9.2552671505038e-07,  1.6371755312805e-04,  6.5457702766249e-07,  1.6358669633323e-04,  6.5431537894847e-07,                 -nan,                 -nan,  9.6171369353630e-04,  2.2436289485132e-06,                 -nan,                 -nan,  1.0059623860494e+00,  3.3239032179903e-03,  6.9478888888889e-02,  1.9646725609131e-04,  3.4753333333334e-02,  1.3895109717957e-04,  3.4725555555556e-02,  1.3889555539556e-04,                 -nan,                 -nan,  2.0414888888889e-01,  4.7626893533532e-04,                 -nan,                 -nan,  1.0059623860494e+00,  3.3239032179903e-03
  4.1700000000000e+00,  2.9036613411179e-04,  8.5919550330428e-07,  1.4492755929851e-04,  6.0700812373409e-07,  1.4543857481328e-04,  6.0807733934025e-07,                 -nan,                 -nan,  9.0048052325131e-04,  2.1397901001871e-06,                 -nan,                 -nan,  9.9475366372894e-01,  3.3385434529534e-03,  6.3450555555555e-02,  1.8775065550345e-04,  3.1669444444444e-02,  1.3264288824686e-04,  3.1781111111111e-02,  1.3287653231292e-04,                 -nan,                 -nan,  1.9677222222222e-01,  4.6758507511375e-04,                 -nan,                 -nan,  9.9475366372894e-01,  3.3385434529534e-03
  4.2300000000000e+00,  2.5324493541448e-04,  7.9101586078489e-07,  1.2712032476146e-04,  5.6043119882748e-07,  1.2612461065302e-04,  5.5823199782354e-07,                 -nan,                 -nan,  8.4820511661726e-04,  2.0472941671271e-06,                 -nan,                 -nan,  9.9499168178630e-01,  3.3921055371114e-03,  5.6942777777778e-02,  1.7786195923584e-04,  2.8583333333334e-02,  1.2601440246904e-04,  2.8359444444445e-02,  1.2551990644348e-04,                 -nan,                 -nan,  1.9072111111111e-01,  4.6033938097779e-04,                 -nan,                 -nan,  9.9499168178630e-01,  3.3921055371114e-03
  4.2900000000000e+00,  2.2674637734902e-04,  7.3802005279769e-07,  1.1269819098361e-04,  5.2030315103613e-07,  1.1404818636541e-04,  5.2341019225210e-07,                 -nan,                 -nan,  7.9902911713789e-04,  1.9592699799469e-06,                 -nan,                 -nan,  1.0099466234310e+00,  3.5109315496655e-03,  5.2441111111111e-02,  1.7068670310626e-04,  2.6064444444444e-02,  1.2033389760820e-04,  2.6376666666666e-02,  1.2105248326120e-04,                 -nan,                 -nan,  1.8479666666667e-01,  4.5313312572535e-04,                 -nan,                 -nan,  1.0099466234310e+00,  3.5109315496655e-03
  4.3500000000000e+00,  1.9985344167364e-04,  6.8331653763008e-07,  1.0003419153328e-04,  4.8343751528192e-07,  9.9819250140355e-05,  4.8291785990663e-07,                 -nan,                 -nan,  7.4316453869270e-04,  1.8634751379124e-06,                 -nan,                 -nan,  9.9670368235029e-01,  3.5315185894663e-03,  4.7523333333334e-02,  1.6248646667293e-04,  2.3787222222222e-02,  1.1495705048752e-04,  2.3736111111111e-02,  1.1483348115886e-04,                 -nan,                 -nan,  1.7671777777778e-01,  4.4311746345609e-04,                 -nan,                 -nan,  9.9670368235029e-01,  3.5315185894663e-03
  4.4100000000000e+00,  1.7298214912372e-04,  6.2707216096589e-07,  8.6098951078362e-05,  4.4240070119764e-07,  8.6883198045360e-05,  4.4441097493004e-07,                 -nan,                 -nan,  6.9953920184419e-04,  1.7833554066241e-06,                 -nan,                 -nan,  9.9839082249734e-01,  3.5980454010027e-03,  4.2276111111111e-02,  1.5325380385185e-04,  2.1042222222222e-02,  1.0812087428795e-04,  2.1233888888889e-02,  1.0861217674953e-04,                 -nan,                 -nan,  1.7096444444445e-01,  4.3584457531001e-04,                 -nan,                 -nan,  9.9839082249734e-01,  3.5980454010027e-03
  4.4700000000000e+00,  1.5134166759015e-04,  5.7866509893059e-07,  7.5842307592803e-05,  4.0964136181063e-07,  7.5499359997352e-05,  4.0871414388823e-07,                 -nan,                 -nan,  6.5569367685184e-04,  1.7033877812401e-06,                 -nan,                 -nan,  1.0038412552165e+00,  3.6915540278308e-03,  3.8000555555555e-02,  1.4529769355735e-04,  1.9043333333333e-02,  1.0285732657244e-04,  1.8957222222222e-02,  1.0262451034454e-04,                 -nan,                 -nan,  1.6463888888889e-01,  4.2770562162009e-04,                 -nan,                 -nan,  1.0038412552165e+00,  3.6915540278308e-03
  4.5300000000000e+00,  1.3300914537288e-04,  5.3530116728427e-07,  6.6778174265035e-05,  3.7929289675854e-07,  6.6230971107849e-05,  3.7773567234829e-07,                 -nan,                 -nan,  6.1323808306903e-04,  1.6255000809262e-06,                 -nan,                 -nan,  9.9951543242389e-01,  3.7463621945292e-03,  3.4300000000000e-02,  1.3804186160566e-04,  1.7220555555556e-02,  9.7810916101640e-05,  1.7079444444445e-02,  9.7409343735156e-05,                 -nan,                 -nan,  1.5814000000000e-01,  4.1917909192983e-04,                 -nan,                 -nan,  9.9951543242389e-01,  3.7463621945292e-03
  4.5900000000000e+00,  1.1490570302192e-04,  4.9103656151608e-07,  5.7688920314077e-05,  3.4792788999692e-07,  5.7216782707840e-05,  3.4650120938869e-07,                 -nan,                 -nan,  5.7010720872584e-04,  1.5468076166415e-06,                 -nan,                 -nan,  9.9949232229441e-01,  3.8345914735661e-03,  3.0421666666666e-02,  1.3000356120478e-04,  1.5273333333333e-02,  9.2115064919833e-05,  1.5148333333333e-02,  9.1737346488443e-05,                 -nan,                 -nan,  1.5093777777778e-01,  4.0952245600859e-04,                 -nan,                 -nan,  9.9949232229441e-01,  3.8345914735661e-03
