#                 r,            density,      density error,          density A,    density error A,          density B,    density error B, radial probability,  probability error,     radial prob. A,      prob. error A,     radial prob. B,      prob. error B
 2.750000000000e-02, 3.745103544431e-02, 2.318160897304e-03, 2.094962135965e-02, 1.733803000124e-03, 1.650141408466e-02, 1.538764797671e-03, 4.745454545455e-04, 2.937362622073e-05, 2.654545454545e-04, 2.196917449744e-05, 2.090909090909e-04, 1.949782780866e-05
 8.250000000000e-02, 3.960339380318e-02, 9.010084069786e-04, 1.974020094848e-02, 6.361190852663e-04, 1.986319285470e-02, 6.380976875104e-04, 3.512727272727e-03, 7.991731263940e-05, 1.750909090909e-03, 5.642225690612e-05, 1.761818181818e-03, 5.659775424099e-05
 1.375000000000e-01, 4.005652187873e-02, 5.500111312842e-04, 1.952982005626e-02, 3.840466503338e-04, 2.052670182247e-02, 3.937263198008e-04, 9.643636363636e-03, 1.324155742257e-04, 4.701818181818e-03, 9.245950643703e-05, 4.941818181818e-03, 9.478989380172e-05
 1.925000000000e-01, 3.786211650024e-02, 3.831891846490e-04, 1.898729103607e-02, 2.713577956980e-04, 1.887482546417e-02, 2.705529485072e-04, 1.775090909091e-02, 1.796507171299e-04, 8.901818181818e-03, 1.272207686148e-04, 8.849090909091e-03, 1.268434318297e-04
 2.475000000000e-01, 3.920114978202e-02, 3.036659841947e-04, 2.001105197693e-02, 2.169610148363e-04, 1.919009780508e-02, 2.124639922390e-04, 3.030000000000e-02, 2.347145267999e-04, 1.546727272727e-02, 1.676970901643e-04, 1.483272727273e-02, 1.642211772011e-04
 3.025000000000e-01, 3.822683054509e-02, 2.455133490948e-04, 1.903378589736e-02, 1.732421460136e-04, 1.919304464773e-02, 1.739654087120e-04, 4.407818181818e-02, 2.830938868297e-04, 2.194727272727e-02, 1.997601868026e-04, 2.213090909091e-02, 2.005941587607e-04
 3.575000000000e-01, 3.837186067396e-02, 2.082170216844e-04, 1.913508722614e-02, 1.470364550988e-04, 1.923677344782e-02, 1.474266223961e-04, 6.174909090909e-02, 3.350687606748e-04, 3.079272727273e-02, 2.366152506909e-04, 3.095636363636e-02, 2.372431190165e-04
 4.125000000000e-01, 3.766839392158e-02, 1.788367877584e-04, 1.876075356906e-02, 1.262099074357e-04, 1.890764035252e-02, 1.267030225401e-04, 8.066363636364e-02, 3.829636497434e-04, 4.017454545455e-02, 2.702676971064e-04, 4.048909090909e-02, 2.713236608289e-04
 4.675000000000e-01, 3.721430908718e-02, 1.568688722546e-04, 1.850829814585e-02, 1.106279940331e-04, 1.870601094133e-02, 1.112173098876e-04, 1.023254545455e-01, 4.313308254597e-04, 5.089090909091e-02, 3.041856762240e-04, 5.143454545455e-02, 3.058060747793e-04
 5.225000000000e-01, 3.706927643404e-02, 1.400986886305e-04, 1.850445754631e-02, 9.898404443110e-05, 1.856481888774e-02, 9.914535543350e-05, 1.272909090909e-01, 4.810800521004e-04, 6.354181818182e-02, 3.398978942453e-04, 6.374909090909e-02, 3.404518145296e-04
 5.775000000000e-01, 3.655237706004e-02, 1.258796355206e-04, 1.831823863290e-02, 8.911268316215e-05, 1.823413842714e-02, 8.890788681805e-05, 1.533054545455e-01, 5.279556705659e-04, 7.682909090909e-02, 3.737502591281e-04, 7.647636363636e-02, 3.728913164506e-04
 6.325000000000e-01, 3.626985876643e-02, 1.144957430606e-04, 1.817486819071e-02, 8.104981776124e-05, 1.809499057572e-02, 8.087151674023e-05, 1.824527272727e-01, 5.759620051748e-04, 9.142727272727e-02, 4.077148574171e-04, 9.102545454545e-02, 4.068179278821e-04
 6.875000000000e-01, 3.526257498362e-02, 1.038681152324e-04, 1.764780879265e-02, 7.348025158650e-05, 1.761476619097e-02, 7.341142955100e-05, 2.095563636364e-01, 6.172613467956e-04, 1.048763636364e-01, 4.366741319573e-04, 1.046800000000e-01, 4.362651403989e-04
 7.425000000000e-01, 3.475566894372e-02, 9.548404831128e-05, 1.749325649232e-02, 6.774126929368e-05, 1.726241245140e-02, 6.729282217586e-05, 2.408945454545e-01, 6.618081917328e-04, 1.212472727273e-01, 4.695205924950e-04, 1.196472727273e-01, 4.664123667612e-04
 7.975000000000e-01, 3.413324268616e-02, 8.810199763576e-05, 1.705377313946e-02, 6.227406593951e-05, 1.707946954670e-02, 6.232096516240e-05, 2.729109090909e-01, 7.044158238516e-04, 1.363527272727e-01, 4.979096801497e-04, 1.365581818182e-01, 4.982846609176e-04
 8.525000000000e-01, 3.363709225528e-02, 8.181882756451e-05, 1.684929410420e-02, 5.790750911777e-05, 1.678779815109e-02, 5.780173813828e-05, 3.073036363636e-01, 7.474850395142e-04, 1.539327272727e-01, 5.290346736750e-04, 1.533709090909e-01, 5.280683652209e-04
 9.075000000000e-01, 3.285213673954e-02, 7.595956058584e-05, 1.650843932614e-02, 5.384602416786e-05, 1.634369741340e-02, 5.357667893504e-05, 3.400945454545e-01, 7.863547030496e-04, 1.709000000000e-01, 5.574291638650e-04, 1.691945454545e-01, 5.546408263741e-04
 9.625000000000e-01, 3.222026595716e-02, 7.092812280136e-05, 1.612465378579e-02, 5.017635446777e-05, 1.609561217137e-02, 5.013114856503e-05, 3.751963636364e-01, 8.259389847995e-04, 1.877672727273e-01, 5.842902030005e-04, 1.874290909091e-01, 5.837637923760e-04
