#                 r,            density,      density error,          density A,    density error A,          density B,    density error B, radial probability,  probability error,     radial prob. A,      prob. error A,     radial prob. B,      prob. error B
 2.832500000000e+00, 3.847880436851e-03, 8.330053037350e-06, 1.920017986905e-03, 5.884229875471e-06, 1.927862449945e-03, 5.896237985163e-06, 3.879581818182e-01, 8.398681517933e-04, 1.935836363636e-01, 5.932708048892e-04, 1.943745454545e-01, 5.944815089326e-04
 2.887500000000e+00, 3.766778965289e-03, 8.084817732015e-06, 1.893055009358e-03, 5.731480012080e-06, 1.873723955931e-03, 5.702141232119e-06, 3.946727272727e-01, 8.471049385168e-04, 1.983490909091e-01, 6.005286926899e-04, 1.963236363636e-01, 5.974546561168e-04
 2.942500000000e+00, 3.656711556458e-03, 7.816931060154e-06, 1.822849764648e-03, 5.519075916009e-06, 1.833861791810e-03, 5.535721473533e-06, 3.978745454545e-01, 8.505341054084e-04, 1.983381818182e-01, 6.005121780889e-04, 1.995363636364e-01, 6.023233254903e-04
 2.997500000000e+00, 3.598213721475e-03, 7.611879717253e-06, 1.796280848753e-03, 5.378182795595e-06, 1.801932872723e-03, 5.386637415596e-06, 4.062818181818e-01, 8.594732194060e-04, 2.028218181818e-01, 6.072618398589e-04, 2.034600000000e-01, 6.082164686419e-04
 3.052500000000e+00, 3.508104223526e-03, 7.380544782677e-06, 1.751063048645e-03, 5.214384687214e-06, 1.757041174881e-03, 5.223278053373e-06, 4.107763636364e-01, 8.642141607857e-04, 2.050381818182e-01, 6.105707937781e-04, 2.057381818182e-01, 6.116121495585e-04
 3.107500000000e+00, 3.429434806445e-03, 7.168168293022e-06, 1.715144413860e-03, 5.069291485611e-06, 1.714290392584e-03, 5.068029253170e-06, 4.161654545455e-01, 8.698646232661e-04, 2.081345454545e-01, 6.151637556627e-04, 2.080309090909e-01, 6.150105824528e-04
 3.162500000000e+00, 3.333830009419e-03, 6.944635271474e-06, 1.660983849505e-03, 4.901854552968e-06, 1.672846159914e-03, 4.919327290936e-06, 4.190109090909e-01, 8.728333268895e-04, 2.087600000000e-01, 6.160873609835e-04, 2.102509090909e-01, 6.182834141114e-04
 3.217500000000e+00, 3.262547889047e-03, 6.752558069872e-06, 1.640449122359e-03, 4.788188760296e-06, 1.622098766688e-03, 4.761332679279e-06, 4.244381818182e-01, 8.784678623171e-04, 2.134127272727e-01, 6.229150347326e-04, 2.110254545455e-01, 6.194212174507e-04
 3.272500000000e+00, 3.172977335241e-03, 6.547303025957e-06, 1.587393842965e-03, 4.630962907211e-06, 1.585583492276e-03, 4.628321452291e-06, 4.270181818182e-01, 8.811337550082e-04, 2.136309090909e-01, 6.232333709861e-04, 2.133872727273e-01, 6.228778849053e-04
 3.327500000000e+00, 3.106104720142e-03, 6.370870277130e-06, 1.546250899817e-03, 4.495010370314e-06, 1.559853820325e-03, 4.514739179486e-06, 4.321872727273e-01, 8.864508115639e-04, 2.151472727273e-01, 6.254413317843e-04, 2.170400000000e-01, 6.281864228222e-04
