# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   1.1954480177e-02,   9.6831528900e-01,   9.4157142857e-01
   1.5637809817e-02,   9.1001926800e-01,   9.4657142857e-01
   2.8156432022e-02,   8.9371161500e-01,   9.4628571429e-01
   5.7562205630e-02,   8.6500842200e-01,   9.4171428571e-01
   1.4391856320e-02,   8.5711391000e-01,   9.4057142857e-01
   6.6076300456e-02,   8.6930234000e-01,   9.4957142857e-01
   1.0192597456e-01,   8.7357634500e-01,   9.4457142857e-01
   6.4497151649e-02,   9.3925186500e-01,   9.4571428571e-01
   1.1296474378e-01,   1.0246305370e+00,   9.4585714286e-01
   1.7818044153e-01,   1.1353029390e+00,   9.4400000000e-01
   2.2353713455e-01,   1.0818186790e+00,   9.5257142857e-01
   3.2690541028e-01,   9.9815725500e-01,   9.4628571429e-01
   2.9374800597e-01,   9.8058138200e-01,   9.4928571429e-01
   4.0082437099e-01,   1.0135678530e+00,   9.4200000000e-01
   5.0866703699e-01,   1.0490872990e+00,   9.4571428571e-01
   5.6077263322e-01,   1.0441526740e+00,   9.4242857143e-01
   6.8808722068e-01,   9.9757453800e-01,   9.4414285714e-01
   7.5777015765e-01,   1.0383517740e+00,   9.4457142857e-01
   7.5108000356e-01,   1.0826868540e+00,   9.4600000000e-01
   7.8230347056e-01,   9.8200493200e-01,   9.3728571429e-01
   8.7705429339e-01,   9.8767419900e-01,   9.4428571429e-01
   7.7825258351e-01,   1.0037086180e+00,   9.4585714286e-01
   7.6786744350e-01,   1.0319334570e+00,   9.4000000000e-01
   8.5613606028e-01,   1.0595248030e+00,   9.4257142857e-01
   8.7796120081e-01,   1.0620925800e+00,   9.3957142857e-01
   8.6766805351e-01,   9.7195167700e-01,   9.4900000000e-01
   9.0248709398e-01,   9.7884709800e-01,   9.4485714286e-01
   8.9775433617e-01,   1.0341786120e+00,   9.4971428571e-01
   8.6746859705e-01,   1.0159083140e+00,   9.4242857143e-01
   8.9412202450e-01,   1.0116656590e+00,   9.4371428571e-01
   9.2066891038e-01,   1.0107373820e+00,   9.4342857143e-01
   8.5014696971e-01,   1.0187723030e+00,   9.4157142857e-01
   9.2562921485e-01,   1.0126941090e+00,   9.4142857143e-01
   8.8578292958e-01,   9.7715946300e-01,   9.4557142857e-01
   9.1951930535e-01,   9.6942972000e-01,   9.4242857143e-01
   8.1817944153e-01,   9.6866598000e-01,   9.4828571429e-01
   8.6721149121e-01,   9.7671668200e-01,   9.4428571429e-01
   8.8183030212e-01,   9.6011194900e-01,   9.4442857143e-01
   8.6147846801e-01,   9.6271455000e-01,   9.4571428571e-01
   9.7802582214e-01,   9.5311508700e-01,   9.4057142857e-01
   8.2675917133e-01,   9.7226714700e-01,   9.4757142857e-01
   8.8313909789e-01,   9.6587623200e-01,   9.4642857143e-01
   8.6475106349e-01,   9.5483568200e-01,   9.4528571429e-01
   8.5642585983e-01,   9.8095585300e-01,   9.4714285714e-01
   9.7590228229e-01,   9.5105329900e-01,   9.4771428571e-01
   8.3325978816e-01,   1.0058544010e+00,   9.4342857143e-01
   8.2216862236e-01,   1.0091540890e+00,   9.4128571429e-01
   9.3272820697e-01,   9.6887272400e-01,   9.4271428571e-01
   9.0409145199e-01,   1.0321611910e+00,   9.4500000000e-01
   9.6793355039e-01,   1.0987520540e+00,   9.4471428571e-01
   9.1838612675e-01,   9.8884029200e-01,   9.4785714286e-01
   9.5236781173e-01,   9.8742285300e-01,   9.4657142857e-01
   8.8552523462e-01,   9.5712781300e-01,   9.4142857143e-01
   8.5791038803e-01,   9.5463885100e-01,   9.4157142857e-01
   9.8088909499e-01,   9.4888667700e-01,   9.4028571429e-01
   8.1210856721e-01,   1.0099900690e+00,   9.4857142857e-01
   8.3673846482e-01,   1.0385275910e+00,   9.4600000000e-01
   9.6617034428e-01,   9.6980129300e-01,   9.4571428571e-01
   9.0974510033e-01,   9.6821340300e-01,   9.4671428571e-01
   9.4093480894e-01,   9.9657291900e-01,   9.4300000000e-01
   9.3248969716e-01,   9.7808812100e-01,   9.4914285714e-01
   9.4976398524e-01,   9.8562060100e-01,   9.4800000000e-01
   9.4888898410e-01,   1.0061346630e+00,   9.4271428571e-01
   9.3787743770e-01,   1.0757769970e+00,   9.4242857143e-01
   9.7835348439e-01,   1.0806656450e+00,   9.3628571429e-01
   9.7450709192e-01,   1.0537749500e+00,   9.4642857143e-01
   9.6776790931e-01,   9.9079773000e-01,   9.4328571429e-01
   9.6038393328e-01,   9.7494162300e-01,   9.4128571429e-01
   9.7898078194e-01,   9.5700051700e-01,   9.4157142857e-01
   9.9126856675e-01,   9.6611887300e-01,   9.4214285714e-01
   9.7582340673e-01,   9.6113191300e-01,   9.4214285714e-01
   9.9283130975e-01,   9.7117870900e-01,   9.3885714286e-01
   9.7927764507e-01,   9.5642516700e-01,   9.4585714286e-01
   9.9690645043e-01,   9.5540788400e-01,   9.4571428571e-01
   9.8691691641e-01,   9.6134635400e-01,   9.4514285714e-01
   9.9191973580e-01,   9.7153186000e-01,   9.4171428571e-01
   9.8729920994e-01,   9.7210703400e-01,   9.3814285714e-01
   9.9156882813e-01,   9.5384543000e-01,   9.4185714286e-01
   9.8936636102e-01,   9.7338804300e-01,   9.4314285714e-01
   9.9282481996e-01,   1.0691394040e+00,   9.4200000000e-01
   9.9365501693e-01,   1.0676980650e+00,   9.4857142857e-01
   9.9149586533e-01,   9.8249828800e-01,   9.4285714286e-01
   9.9824888932e-01,   9.8006867000e-01,   9.4371428571e-01
   9.9173107948e-01,   1.0263401610e+00,   9.3957142857e-01
   9.9554980453e-01,   1.0270818150e+00,   9.4557142857e-01
   9.9593382777e-01,   1.0757576910e+00,   9.4228571429e-01
   9.9604794865e-01,   1.0739038580e+00,   9.4485714286e-01
   9.9854368351e-01,   9.6771435600e-01,   9.4142857143e-01
   9.9404910819e-01,   9.6122431000e-01,   9.4342857143e-01
   9.9946303859e-01,   9.5680898200e-01,   9.4100000000e-01

# TRAINING
#            energy,           variance,              error,      Hint strength,       elapsed time,      accept. ratio,  Monte Carlo steps 
 3.765910377624e-02, 2.348519564129e-04, 1.831673537712e-04, 0.000000000000e+00, 3.789264885000e+00, 9.362857142857e-01,               7000
 6.527558752659e+00, 2.946009070870e+05, 6.487360315997e+00, 1.000000000000e-03, 3.797967278000e+00, 9.265714285714e-01,               7000
 1.875082795774e+00, 1.135381605098e+04, 1.273567321176e+00, 2.000000000000e-03, 3.801333336000e+00, 9.544285714286e-01,               7000
 1.229547016869e+02, 5.277382500758e+07, 8.682809371526e+01, 3.000000000000e-03, 3.770377013000e+00, 9.271428571429e-01,               7000
 1.273499078344e+03, 5.635170245467e+09, 8.972314755853e+02, 4.000000000000e-03, 3.781001185000e+00, 8.797142857143e-01,               7000
 4.301850291871e-01, 3.588545244041e+02, 2.264176054500e-01, 5.000000000000e-03, 3.769537803000e+00, 8.827142857143e-01,               7000
 8.732429469614e-02, 2.929736736806e-02, 2.045809911853e-03, 6.000000000000e-03, 3.762918051000e+00, 8.722857142857e-01,               7000
 4.512247463714e-01, 5.322801855132e-02, 2.757535611772e-03, 7.000000000000e-03, 3.762300518000e+00, 9.014285714286e-01,               7000
 1.019773777414e-01, 2.419229479575e-02, 1.859043332921e-03, 8.000000000000e-03, 3.759687823000e+00, 8.405714285714e-01,               7000
 1.799279182080e-01, 5.090901514929e+01, 8.528022308776e-02, 9.000000000000e-03, 4.214276595000e+00, 7.925714285714e-01,               7000
 1.053871006450e-01, 1.272501705625e+00, 1.348280230317e-02, 1.000000000000e-02, 3.963724613000e+00, 7.975714285714e-01,               7000
