# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   1.3067285241e-01,   2.0909116940e+00,   9.7800000000e-01
   1.7986355805e-01,   2.0667253580e+00,   9.7940000000e-01
   2.4193695149e-01,   2.0794307990e+00,   9.8240000000e-01
   3.0134417470e-01,   1.9695694440e+00,   9.8060000000e-01
   3.9172815514e-01,   1.9507589320e+00,   9.7960000000e-01
   4.4942751738e-01,   1.9309843700e+00,   9.7830000000e-01
   5.1571158019e-01,   1.9431235570e+00,   9.8160000000e-01
   5.6892551003e-01,   1.9347711660e+00,   9.7810000000e-01
   6.5580795238e-01,   1.9252351180e+00,   9.7930000000e-01
   7.1669561682e-01,   1.9395672970e+00,   9.8060000000e-01
   7.6414650982e-01,   2.0050408440e+00,   9.7870000000e-01
   8.6448775717e-01,   2.0160665500e+00,   9.8050000000e-01
   8.8797274255e-01,   1.9721922660e+00,   9.7800000000e-01
   8.9784206828e-01,   1.9903270210e+00,   9.7890000000e-01
   9.0193246407e-01,   2.1941710080e+00,   9.7820000000e-01
   8.8032842926e-01,   2.0942475830e+00,   9.8050000000e-01
   8.8059497547e-01,   1.9667757970e+00,   9.8140000000e-01
   8.8786043165e-01,   2.1804705190e+00,   9.7920000000e-01
   9.0493094145e-01,   2.1134181950e+00,   9.7750000000e-01
   9.2572467290e-01,   2.0022181250e+00,   9.8220000000e-01
   9.4049912013e-01,   1.9874939840e+00,   9.7990000000e-01
   9.6047719198e-01,   2.0050207800e+00,   9.7750000000e-01
   9.6708262430e-01,   2.0980451820e+00,   9.8000000000e-01
   9.6865464278e-01,   2.1299799570e+00,   9.8180000000e-01
   9.6703623342e-01,   2.1070716220e+00,   9.7930000000e-01
