# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   2.3596766600e-02,   6.5499456300e-01,   9.3300000000e-01
   3.3608054617e-03,   6.1027382800e-01,   9.3780000000e-01
   3.2143944386e-03,   6.4092300300e-01,   9.3520000000e-01
   3.7268588352e-03,   6.4084178300e-01,   9.3240000000e-01
   3.3234310922e-03,   6.4519932500e-01,   9.3380000000e-01
   3.2318269717e-03,   6.4684704900e-01,   9.3860000000e-01
   4.4048222547e-03,   6.2483137400e-01,   9.3140000000e-01
   4.9500380438e-03,   6.4181989200e-01,   9.3280000000e-01
   2.6670383471e-03,   6.3423736300e-01,   9.3820000000e-01
   2.1000747326e-03,   6.3352403900e-01,   9.2860000000e-01
   1.9204614849e-03,   6.3690382100e-01,   9.3780000000e-01
   2.4994910626e-03,   6.2823001700e-01,   9.3240000000e-01
   2.8035344108e-03,   6.4926570500e-01,   9.3780000000e-01
   1.6055293626e-03,   6.3836143800e-01,   9.3600000000e-01
   1.4424761340e-03,   6.1756120900e-01,   9.3100000000e-01
   3.8419765735e-03,   6.4342344400e-01,   9.3400000000e-01
   4.9113099684e-03,   6.4290360700e-01,   9.3200000000e-01
   2.9725330331e-03,   6.4254343200e-01,   9.3220000000e-01
   3.4685881851e-03,   6.4402029400e-01,   9.3140000000e-01
   1.6603602706e-02,   6.6179938600e-01,   9.3380000000e-01
   2.5854225889e-02,   6.5570677800e-01,   9.3480000000e-01
   5.1528915356e-02,   6.2956829000e-01,   9.3420000000e-01
   4.9626257286e-02,   6.6550907200e-01,   9.3180000000e-01
   3.3100150164e-02,   6.4509074700e-01,   9.3240000000e-01
   1.3380664103e-02,   6.5147889600e-01,   9.3480000000e-01
   6.8497524451e-03,   6.5810412200e-01,   9.3360000000e-01
   9.0997406517e-03,   6.4298059000e-01,   9.2680000000e-01
   6.1587512730e-03,   6.4138492500e-01,   9.3560000000e-01
   4.9458487278e-03,   6.5920708500e-01,   9.3460000000e-01
   5.7020483089e-03,   6.6786202500e-01,   9.2540000000e-01
   5.9001491605e-03,   6.5450818600e-01,   9.3320000000e-01
   5.5907868928e-03,   6.4869266800e-01,   9.2860000000e-01
   4.4781996943e-03,   6.7533709600e-01,   9.3240000000e-01
   3.2341854688e-03,   6.6879736600e-01,   9.3060000000e-01
   3.1002770748e-03,   6.6741974000e-01,   9.3600000000e-01
   3.3768441311e-03,   6.5109452900e-01,   9.3040000000e-01
   3.7291649163e-04,   6.6099910000e-01,   9.3280000000e-01
   3.6502723108e-03,   6.3713381800e-01,   9.2680000000e-01
   4.4803283636e-03,   6.4813853200e-01,   9.3160000000e-01
   2.4295997550e-03,   6.6891601700e-01,   9.3960000000e-01
   3.4318938615e-03,   6.6269245900e-01,   9.3760000000e-01
   2.4665456994e-03,   6.5205763400e-01,   9.3080000000e-01
   4.3866665381e-03,   6.5661883100e-01,   9.2980000000e-01
   6.3756211275e-03,   6.4206208200e-01,   9.2840000000e-01
   6.0934908590e-03,   6.5930321900e-01,   9.3620000000e-01
   5.5465775589e-03,   6.3548126000e-01,   9.2960000000e-01
   4.9636726719e-03,   6.6317064100e-01,   9.2880000000e-01
   2.9679196090e-03,   6.5806562000e-01,   9.2840000000e-01
