# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   9.9527746513e-01,   4.1474209300e-01,   9.4933333333e-01
   9.9605712927e-01,   4.2611668300e-01,   9.5000000000e-01
   9.9487243004e-01,   3.8536585200e-01,   9.5366666667e-01
   9.9559784836e-01,   3.9213295700e-01,   9.5266666667e-01
   9.9339153505e-01,   3.9831013400e-01,   9.5433333333e-01
   9.9803207494e-01,   4.0181762400e-01,   9.5766666667e-01
   9.9359600068e-01,   3.8777520300e-01,   9.5800000000e-01
   9.9886234137e-01,   3.9657585600e-01,   9.5300000000e-01
   9.9177082407e-01,   4.0724410000e-01,   9.5533333333e-01
   9.9874539027e-01,   4.1117212000e-01,   9.4900000000e-01
   9.9661584632e-01,   4.0244081900e-01,   9.5033333333e-01
   9.9810845940e-01,   4.0932522800e-01,   9.4666666667e-01
   9.9843191216e-01,   3.7088666700e-01,   9.5233333333e-01
   9.9432823783e-01,   3.6335651900e-01,   9.5700000000e-01
   9.9942760199e-01,   3.6268293000e-01,   9.5266666667e-01

# TRAINING
#            energy,           variance,              error,      Hint strength,       elapsed time,      accept. ratio,  Monte Carlo steps 
 3.752985800760e-02, 1.610594410282e-05, 7.327105864032e-05, 0.000000000000e+00, 1.736008822000e+00, 9.316666666667e-01,               3000
 1.065518302995e-01, 1.350655237354e+01, 6.709831685305e-02, 2.000000000000e-03, 1.628918043000e+00, 9.383333333333e-01,               3000
 4.340690717748e-02, 1.170065772438e-02, 1.974897273648e-03, 4.000000000000e-03, 1.567829291000e+00, 9.373333333333e-01,               3000
 1.090845998585e-01, 1.105563898156e+01, 6.070595517619e-02, 6.000000000000e-03, 1.597427303000e+00, 9.266666666667e-01,               3000
 9.408162703917e-02, 3.231411394615e-03, 1.037852172295e-03, 8.000000000000e-03, 1.639684427000e+00, 9.440000000000e-01,               3000
 5.349613264468e-02, 2.019491191842e-02, 2.594539902591e-03, 1.000000000000e-02, 1.563344562000e+00, 9.070000000000e-01,               3000
 7.829194729519e-02, 2.504448253750e+00, 2.889318405063e-02, 1.200000000000e-02, 1.588572052000e+00, 8.793333333333e-01,               3000
 1.944080191365e+00, 8.207577656783e+03, 1.654043294152e+00, 1.400000000000e-02, 1.583765437000e+00, 8.543333333333e-01,               3000
 1.033164297784e+02, 1.532248416898e+07, 7.146673857813e+01, 1.600000000000e-02, 1.574862932000e+00, 8.983333333333e-01,               3000
 4.753371106244e+00, 5.913641232479e+04, 4.439835294422e+00, 1.800000000000e-02, 1.570475219000e+00, 8.833333333333e-01,               3000
 1.651326704807e+02, 8.137156610612e+07, 1.646932159159e+02, 2.000000000000e-02, 1.606413081000e+00, 8.386666666667e-01,               3000
 7.979354994021e-02, 3.307814799523e-02, 3.320549552671e-03, 2.200000000000e-02, 1.573041292000e+00, 8.346666666667e-01,               3000
 1.613118912495e-01, 8.669031281182e+00, 5.375571684693e-02, 2.400000000000e-02, 1.575998820000e+00, 8.333333333333e-01,               3000
 1.032574772926e-01, 4.384610295984e-02, 3.823005055356e-03, 2.600000000000e-02, 1.587517853000e+00, 8.780000000000e-01,               3000
 7.262137407092e-01, 1.036497535826e-01, 5.877917816785e-03, 2.800000000000e-02, 1.567199143000e+00, 9.796666666667e-01,               3000
 6.284059158028e+07, 1.184287086017e+19, 6.283011714183e+07, 3.000000000000e-02, 1.563435376000e+00, 8.510000000000e-01,               3000
 4.566698952676e-01, 4.090599296746e-02, 3.692604905639e-03, 3.200000000000e-02, 1.611983461000e+00, 9.296666666667e-01,               3000
 1.475676178102e-01, 8.644850225433e-02, 5.368069244906e-03, 3.400000000000e-02, 1.607489855000e+00, 8.390000000000e-01,               3000
 1.706789743785e-01, 1.264852709228e-01, 6.493208526935e-03, 3.600000000000e-02, 1.794347385000e+00, 7.936666666667e-01,               3000
 1.867418006231e-01, 1.772419334397e-01, 7.686393463771e-03, 3.800000000000e-02, 1.693674827000e+00, 7.576666666667e-01,               3000
 1.581651426921e-01, 1.685949705804e-01, 7.496554110177e-03, 4.000000000000e-02, 1.709600861000e+00, 8.330000000000e-01,               3000
