# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
 2.335338079409e+00, 2.524759657395e-01, 5.024698655039e-03, 2.800000000000e-01, 1.221580580200e+01, 9.815000000000e-01
 2.356474563616e+00, 8.535763927040e-01, 9.238919810801e-03, 2.900000000000e-01, 1.247148052600e+01, 9.832000000000e-01
 2.356316098912e+00, 2.491976429328e-01, 4.991969981208e-03, 3.000000000000e-01, 1.348940071000e+01, 9.816000000000e-01
 2.372659205883e+00, 2.097411581350e-01, 4.579750627872e-03, 3.100000000000e-01, 1.428697646100e+01, 9.837000000000e-01
 2.385316287772e+00, 2.499341419110e-01, 4.999341375732e-03, 3.200000000000e-01, 1.300324030500e+01, 9.845000000000e-01
 2.395501349646e+00, 5.120370200184e-01, 7.155676208566e-03, 3.300000000000e-01, 1.235841096800e+01, 9.808000000000e-01
 2.407520156290e+00, 2.831829152684e-01, 5.321493354956e-03, 3.400000000000e-01, 1.283552429000e+01, 9.809000000000e-01
 2.430665863330e+00, 1.360596385465e+00, 1.166446049102e-02, 3.500000000000e-01, 1.257419337700e+01, 9.814000000000e-01
 2.431479040907e+00, 7.235084680671e-01, 8.505930096510e-03, 3.600000000000e-01, 1.207157259400e+01, 9.840000000000e-01
 2.438034885281e+00, 3.431311568184e-01, 5.857739810015e-03, 3.700000000000e-01, 1.262243199500e+01, 9.824000000000e-01
 2.476234249321e+00, 2.107006088901e+00, 1.451552992109e-02, 3.800000000000e-01, 1.254599507200e+01, 9.816000000000e-01
 2.471223693695e+00, 4.395779752371e-01, 6.630067686208e-03, 3.900000000000e-01, 1.271545671900e+01, 9.817000000000e-01
 2.463747670369e+00, 3.687047971472e-01, 6.072106694939e-03, 4.000000000000e-01, 1.413030030500e+01, 9.813000000000e-01
 2.494869254707e+00, 3.651223933356e-01, 6.042535836349e-03, 4.100000000000e-01, 1.619360412800e+01, 9.813000000000e-01
 2.503777594403e+00, 6.697804515270e-01, 8.184011556242e-03, 4.200000000000e-01, 1.791839639700e+01, 9.827000000000e-01
 2.500038146728e+00, 9.468398838902e-01, 9.730569787480e-03, 4.300000000000e-01, 1.684949794200e+01, 9.862000000000e-01
