# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   9.3594107717e-02,   3.1623933600e-01,   8.9300000000e-01
   1.0284817179e-01,   3.1577973400e-01,   8.8200000000e-01
   1.4639185322e-01,   3.0363141000e-01,   8.8900000000e-01
   1.2498996480e-01,   3.2689515700e-01,   8.9800000000e-01
   1.9105669348e-01,   2.7883686100e-01,   8.8200000000e-01
   1.7234887296e-01,   2.9515639400e-01,   8.9900000000e-01
   2.0824939719e-01,   2.5723891700e-01,   9.1200000000e-01
   3.0035389126e-01,   2.4715829700e-01,   9.0600000000e-01
   2.5112628628e-01,   2.3739597700e-01,   9.0900000000e-01
   3.0843102453e-01,   2.2093654400e-01,   8.9600000000e-01
   2.8128068669e-01,   2.1840213900e-01,   9.1600000000e-01
   3.2665982861e-01,   2.2786535800e-01,   9.1700000000e-01
   3.8293862251e-01,   2.2128924600e-01,   8.8900000000e-01
   4.2420731481e-01,   2.3289406900e-01,   8.8300000000e-01
   3.8183152260e-01,   2.1710483700e-01,   8.9900000000e-01
   3.9115135463e-01,   2.1925664200e-01,   9.0900000000e-01
   3.6807072686e-01,   2.3201456700e-01,   8.9400000000e-01
   4.2351239583e-01,   2.2634575500e-01,   9.0800000000e-01
   4.8836020474e-01,   2.2721135700e-01,   8.9400000000e-01
   5.4143136550e-01,   2.2161364700e-01,   9.1200000000e-01
   4.0428207603e-01,   2.8244426900e-01,   8.9900000000e-01
   5.2253609736e-01,   2.3195656700e-01,   8.9100000000e-01
   4.4611023246e-01,   2.2225794700e-01,   9.0400000000e-01
   5.0248549576e-01,   2.7864706100e-01,   8.9300000000e-01
   5.3745602007e-01,   2.5256280900e-01,   8.8900000000e-01
   5.5550044948e-01,   2.5881172100e-01,   8.9200000000e-01
   4.7639589500e-01,   2.3974518300e-01,   9.0200000000e-01
   4.7167491409e-01,   2.3216406700e-01,   9.0800000000e-01
   5.5204492262e-01,   2.2369965000e-01,   9.0200000000e-01
   4.2299378009e-01,   2.2114004500e-01,   8.9900000000e-01
   5.7234320955e-01,   2.2260854800e-01,   9.1600000000e-01
   5.0913582627e-01,   2.2112774100e-01,   8.9100000000e-01
   5.5145328341e-01,   2.2176011400e-01,   9.0900000000e-01
   5.6635890148e-01,   2.6221438900e-01,   8.8400000000e-01
   5.1442623215e-01,   2.2767612500e-01,   8.8300000000e-01
   5.4005048075e-01,   2.3146043200e-01,   8.9500000000e-01
