# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   6.4414540999e-03,   1.0821266250e+00,   9.1450000000e-01
   2.2848827598e-02,   9.4632493400e-01,   9.0750000000e-01
   2.7912319784e-02,   1.1518194560e+00,   9.1200000000e-01
   2.1716261672e-02,   9.2917205700e-01,   9.2000000000e-01
   3.3701639854e-02,   7.8933515600e-01,   9.0750000000e-01
   1.1737203039e-02,   8.1629267500e-01,   9.1200000000e-01
   4.9081850850e-02,   7.7754172300e-01,   9.2450000000e-01
   1.6275214408e-02,   8.0459634800e-01,   9.0600000000e-01
   3.2229881743e-02,   1.0833939830e+00,   9.1200000000e-01
   5.3337032309e-02,   9.1629062600e-01,   9.1950000000e-01
   5.5049037625e-02,   8.6922400900e-01,   9.0950000000e-01
   6.0404154235e-02,   7.9153397100e-01,   9.0900000000e-01
   5.5254378943e-02,   8.3185920300e-01,   9.1650000000e-01
   1.1630811877e-01,   8.1357500000e-01,   9.0600000000e-01
   9.2680248319e-02,   8.6854284300e-01,   9.0950000000e-01
   4.6731135867e-02,   8.0802471300e-01,   9.0950000000e-01
   1.9639004673e-01,   8.2651033300e-01,   9.0600000000e-01
   1.2663983302e-01,   8.6194411300e-01,   9.0050000000e-01
   3.3567945860e-01,   9.1287871200e-01,   9.1600000000e-01
   1.8587734377e-01,   1.0036699350e+00,   9.0250000000e-01
   2.4310523418e-01,   9.3783003600e-01,   9.1000000000e-01
   3.0699926833e-01,   8.7318823500e-01,   9.2200000000e-01
   2.2866463876e-01,   8.7138304600e-01,   9.1450000000e-01
   2.3356667045e-01,   8.0901824300e-01,   9.1300000000e-01
   2.4267065485e-01,   8.1241185200e-01,   9.0200000000e-01
   3.2087397230e-01,   8.8802465500e-01,   9.1150000000e-01
   3.8149182488e-01,   8.1235100400e-01,   9.2250000000e-01
   4.8342442423e-01,   7.9441779900e-01,   8.9900000000e-01
   2.8311536391e-01,   7.8049280300e-01,   9.1450000000e-01
   3.8455289263e-01,   7.8543111200e-01,   9.1500000000e-01
   4.6445079110e-01,   7.7836521500e-01,   9.0500000000e-01
   4.4242643719e-01,   7.8364122400e-01,   9.0650000000e-01
   4.4197354483e-01,   7.9578083700e-01,   9.0850000000e-01
   4.1210666620e-01,   7.8132443900e-01,   9.1100000000e-01
   5.6076821385e-01,   7.8523584700e-01,   9.1300000000e-01
   4.8431546339e-01,   7.8927855600e-01,   9.2050000000e-01
   4.9627322270e-01,   7.9824594700e-01,   9.1700000000e-01
   5.5006906918e-01,   7.9350955500e-01,   9.0650000000e-01
   4.4758559156e-01,   7.9242371100e-01,   9.1750000000e-01
   5.6365418427e-01,   7.8442081500e-01,   9.1600000000e-01
   5.7031719378e-01,   7.8596832200e-01,   9.0300000000e-01
   4.8140577013e-01,   7.9368603200e-01,   9.1750000000e-01
   5.7854788000e-01,   7.7334583100e-01,   9.1250000000e-01
   5.0623320004e-01,   7.8968824600e-01,   9.1500000000e-01
   4.6058055568e-01,   7.8413205000e-01,   9.0950000000e-01
   5.5507159755e-01,   8.0573956600e-01,   9.0950000000e-01
   5.3445163192e-01,   7.8489376300e-01,   9.1400000000e-01
   5.5324565481e-01,   7.9302826000e-01,   9.2200000000e-01
   5.0225856117e-01,   7.8345932900e-01,   9.0650000000e-01
   4.2088314465e-01,   7.7852530300e-01,   9.1350000000e-01
   5.6233221617e-01,   7.7962458500e-01,   9.0600000000e-01
   5.0998138476e-01,   7.9328460200e-01,   9.0700000000e-01
   5.1860529524e-01,   7.8283220300e-01,   9.0150000000e-01
   5.2968743302e-01,   7.9362331700e-01,   9.1100000000e-01
   5.2295984357e-01,   7.8537211700e-01,   9.0700000000e-01
   4.8734984464e-01,   7.8134522100e-01,   9.1700000000e-01
   5.6144317568e-01,   7.9196643600e-01,   9.0650000000e-01
   5.2145072814e-01,   7.9565102000e-01,   9.1850000000e-01
   5.0199969129e-01,   8.4175980800e-01,   9.1250000000e-01
   4.8603465984e-01,   8.6156232000e-01,   9.1900000000e-01
   5.2737473862e-01,   8.1092861900e-01,   9.0250000000e-01
   4.8947694100e-01,   7.9785072500e-01,   9.1800000000e-01
   3.8654350985e-01,   8.1856683400e-01,   9.0500000000e-01
   4.4956935336e-01,   7.9957683700e-01,   9.1700000000e-01
   4.9251384475e-01,   7.8028433000e-01,   9.1050000000e-01
   4.6732275806e-01,   7.9503854700e-01,   9.0550000000e-01
   5.6166052706e-01,   7.8489264700e-01,   9.1700000000e-01
   4.9954563680e-01,   7.8619666800e-01,   9.1650000000e-01
   3.7043916137e-01,   7.9023577800e-01,   9.1400000000e-01
   5.0063949458e-01,   8.1427878700e-01,   9.0250000000e-01
   5.2186289309e-01,   7.7567079000e-01,   9.1500000000e-01
   4.3085898648e-01,   7.8425169800e-01,   9.2750000000e-01
   4.9017764576e-01,   7.9680912100e-01,   9.2250000000e-01
   5.0316087221e-01,   7.9030173900e-01,   9.0650000000e-01
   6.0453210583e-01,   7.8548664300e-01,   9.1950000000e-01
   4.2788092654e-01,   7.7577394200e-01,   9.0350000000e-01
   5.6210823728e-01,   7.9089066000e-01,   9.1750000000e-01
   4.4758357543e-01,   7.9485341400e-01,   9.0100000000e-01
   5.5134860890e-01,   7.8703470500e-01,   9.2000000000e-01
   3.6273613113e-01,   7.8249121200e-01,   9.0350000000e-01
   5.5413525296e-01,   7.8946301900e-01,   9.1900000000e-01
   4.7337779769e-01,   8.0565352700e-01,   9.0000000000e-01
   4.2333791134e-01,   9.0171973800e-01,   9.1150000000e-01
